anio,agrupacion,nivel,campo_ideologico
2011,ALIANZA FRENTE AMPLIO PROGRESISTA,gobernacion,2
2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,gobernacion,1
2011,ALIANZA FRENTE PARA LA VICTORIA,gobernacion,3
2011,ALIANZA FRENTE POPULAR,gobernacion,3
2011,ALIANZA PROYECTO SUR,gobernacion,2
2011,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,gobernacion,4
2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,gobernacion,4
2011,COALICION CIVICA ARI,gobernacion,4
2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,gobernacion,4
2011,COMPROMISO FEDERAL,gobernacion,4
2011,FRENTE AMPLIO PROGRESISTA,gobernacion,2
2011,NUEVO ENCUENTRO,gobernacion,2
2011,ALIANZA COMPROMISO FEDERAL,intendente,4
2011,ALIANZA FRENTE AMPLIO PROGRESISTA,intendente,2
2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,intendente,1
2011,ALIANZA FRENTE PARA LA VICTORIA,intendente,3
2011,ALIANZA FRENTE POPULAR,intendente,3
2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,intendente,4
2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,intendente,4
2011,FRENTE SOCIAL DE LA PCIA. BS.AS.,intendente,2
2011,NUEVO ENCUENTRO,intendente,2
2011,PROYECTO SUR,intendente,2
2011,ALIANZA COMPROMISO FEDERAL,presidente,4
2011,ALIANZA FRENTE AMPLIO PROGRESISTA,presidente,2
2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,presidente,1
2011,ALIANZA FRENTE PARA LA VICTORIA,presidente,3
2011,ALIANZA FRENTE POPULAR,presidente,3
2011,ALIANZA PROYECTO SUR,presidente,2
2011,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,presidente,4
2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,presidente,4
2011,COALICION CIVICA ARI,presidente,4
2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,presidente,4
2011,DEL CAMPO POPULAR,presidente,4
2011,MOVIMIENTO DE ACCION VECINAL,presidente,4
2015,ALIANZA COMPROMISO FEDERAL,gobernacion,4
2015,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,gobernacion,1
2015,ALIANZA FRENTE PARA LA VICTORIA,gobernacion,3
2015,ALIANZA FRENTE POPULAR,gobernacion,4
2015,ALIANZA PROGRESISTAS,gobernacion,2
2015,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),gobernacion,4
2015,CAMBIEMOS BUENOS AIRES,gobernacion,5
2015,MOVIMIENTO AL SOCIALISMO,gobernacion,1
2015,MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,gobernacion,1
2015,PATRIA GRANDE,gobernacion,1
2015,ALIANZA COMPROMISO FEDERAL,intendente,4
2015,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,intendente,1
2015,ALIANZA FRENTE PARA LA VICTORIA,intendente,3
2015,ALIANZA FRENTE POPULAR,intendente,4
2015,ALIANZA PROGRESISTAS,intendente,2
2015,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),intendente,4
2015,CAMBIEMOS BUENOS AIRES,intendente,5
2015,MOVIMIENTO AL SOCIALISMO,intendente,1
2015,MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,intendente,1
2015,PARTIDO POPULAR,intendente,4
2015,PATRIA GRANDE,intendente,1
2015,TODOS POR BUENOS AIRES,intendente,3
2015,UNION DEL PUEBLO LA PLATA,intendente,1
2015,ALIANZA CAMBIEMOS,presidente,5
2015,ALIANZA COMPROMISO FEDERAL,presidente,4
2015,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,presidente,1
2015,ALIANZA FRENTE PARA LA VICTORIA,presidente,3
2015,ALIANZA FRENTE POPULAR,presidente,4
2015,ALIANZA PROGRESISTAS,presidente,2
