anio,agrupacion,nivel,campo_ideologico
2013,ESPACIO UNION PRO,municipal,5
2013,FRENTE CIUDAD NUEVA,municipal,1
2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,municipal,1
2013,FRENTE PARA LA VICTORIA,municipal,3
2013,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),municipal,2
2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,municipal,3
2013,FRENTE RENOVADOR,municipal,4
2013,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,municipal,3
2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,municipal,4
2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,nacional,1
2013,FRENTE PARA LA VICTORIA,nacional,3
2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,nacional,3
2013,FRENTE RENOVADOR,nacional,4
2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,nacional,4
2013,UNION CON FE,nacional,4
2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,provincial,1
2013,FRENTE PARA LA VICTORIA,provincial,3
2013,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),provincial,2
2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,provincial,3
2013,FRENTE RENOVADOR,provincial,4
2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,provincial,4
2017,1PAIS,municipal,3
2017,CAMBIEMOS BUENOS AIRES,municipal,5
2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,municipal,1
2017,FRENTE JUSTICIALISTA,municipal,3
2017,IZQUIERDA AL FRENTE POR EL SOCIALISMO,municipal,1
2017,UNIDAD CIUDADANA,municipal,3
2017,VAMOS CREANDO CIUDAD NUEVA,municipal,2
2017,1PAIS,nacional,3
2017,CAMBIEMOS BUENOS AIRES,nacional,5
2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,nacional,1
2017,FRENTE JUSTICIALISTA,nacional,3
2017,UNIDAD CIUDADANA,nacional,3
2017,1PAIS,provincial,3
2017,CAMBIEMOS BUENOS AIRES,provincial,5
2017,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,provincial,1
2017,FRENTE JUSTICIALISTA,provincial,3
2017,IZQUIERDA AL FRENTE POR EL SOCIALISMO,provincial,1
2017,PATRIA GRANDE,provincial,2
2017,UNIDAD CIUDADANA,provincial,3
2021,AVANZA LIBERTAD,municipal,6
2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,municipal,1
2021,FRENTE DE TODOS,municipal,3
2021,FRENTE VAMOS CON VOS,municipal,4
2021,JUNTOS,municipal,5
2021,+ VALORES,nacional,5
2021,AVANZA LIBERTAD,nacional,6
2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,nacional,1
2021,FRENTE DE TODOS,nacional,3
2021,FRENTE VAMOS CON VOS,nacional,4
2021,JUNTOS,nacional,5
2021,AVANZA LIBERTAD,provincial,6
2021,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,provincial,1
2021,FRENTE DE TODOS,provincial,3
2021,FRENTE VAMOS CON VOS,provincial,4
2021,JUNTOS,provincial,5
2025,ALIANZA FUERZA PATRIA,nacional,3
2025,ALIANZA LA LIBERTAD AVANZA,nacional,6
2025,ALIANZA NUEVOS AIRES,nacional,4
2025,ALIANZA POTENCIA,nacional,4
2025,ALIANZA PROVINCIAS UNIDAS,nacional,4
2025,ALIANZA UNIÓN FEDERAL,nacional,4
2025,COALICIÓN CÍVICA - A.R.I.,nacional,4
2025,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,nacional,1
2025,FRENTE PATRIOTA FEDERAL,nacional,5
2025,LIBER.AR,nacional,6
2025,MOVIMIENTO AVANZADA SOCIALISTA,nacional,1
2025,MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,nacional,2
2025,PARTIDO NUEVO BUENOS AIRES,nacional,4
2025,PROPUESTA FEDERAL PARA EL CAMBIO,nacional,5
2025,UNIÓN LIBERAL,nacional,6
