agrupacion,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo,fuente
+ VALORES,5,nacionalistas,0.325,-0.492,0.334,aprox-ivan
1PAIS,3,peronistas,0.369,0.123,0.43,v-party oficial
ACCION POR LA REPUBLICA,5,liberales,,,,
ACUERDO CIVICO Y SOCIAL,3,progresistas,-0.692,1.546,0.461,v-party oficial
AFEBA - PLATENSE,4,nacionalistas,1.579,-1.862,0.425,v-party propio ad-hoc
"AFEBA-PLATENSE (SECCION CAPITAL, DISTRITO LA PLATA)",5,nacionalistas,1.579,-1.862,0.425,v-party propio ad-hoc
AFIRMACION PARA UNA REPUBLICA IGUALITARIA,4,otros,0.452,0.299,0.372,v-party oficial
AGRUPACION COMUNAL ALTERNATIVA,,,,,,
AGRUPACION MUNICIPAL CONFLUENCIA CIVICA,,,,,,
ALIANZA CAMBIEMOS,5,liberales,1.427,0.001,0.148,v-party oficial
ALIANZA COMPROMISO FEDERAL,4,peronismo provincial,0.447,-0.547,0.375,aprox-ivan
ALIANZA ES CON VOS ES CON NOSOTROS,,,,,,
ALIANZA FRENTE AMPLIO PROGRESISTA,2,progresistas,-1.268,1.642,0.492,v-party oficial
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,1,marxistas,-1.991,2.325,0.723,v-party propio
ALIANZA FRENTE PARA LA VICTORIA,3,peronistas,-1.659,1.961,0.848,v-party oficial
ALIANZA FRENTE PLATENSE,3,radicalismo,0.262,0.755,0.288,v-party oficial
ALIANZA FRENTE POPULAR,2,progresistas,-1.412,1.557,0.723,aprox-ivan
ALIANZA FUERZA PATRIA,3,peronistas,-0.465,1.069,0.642,v-party oficial
ALIANZA LA LIBERTAD AVANZA,6,liberales,2.641,-1.260,0.237,v-party propio
ALIANZA NUEVOS AIRES,4,liberales,,,,
ALIANZA POTENCIA,4,liberales,,,,
ALIANZA PROGRESISTAS,2,progresistas,-1.268,1.642,0.492,v-party oficial
ALIANZA PROVINCIAS UNIDAS,4,peronismo provincial,0.325,-0.492,0.334,aprox-ivan
ALIANZA SOMOS BUENOS AIRES,4,radicalismo,0.325,0.533,0.334,aprox-ivan
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),4,peronistas,0.376,-0.016,0.363,aprox-ivan
ALIANZA UNION LIBERAL,6,liberales,2.641,-1.260,0.237,v-party propio
ALIANZA UNION Y LIBERTAD,6,liberales,2.641,-1.260,0.237,aprox-ivan
ALIANZA UNIÓN FEDERAL,4,peronismo provincial,,,,
ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,4,otros,0.185,0.925,0.351,aprox-ivan
AVANZA LIBERTAD,6,liberales,2.641,-1.260,0.237,v-party propio
AZA. AC. FEDERALISTA P/ BS. AS. - AFEBA,4,nacionalistas,1.579,-1.862,0.425,v-party propio ad-hoc
AZA. AFIRM. P/ UNA REP. IGUALIT. - ARI,4,otros,0.452,0.299,0.372,v-party oficial
AZA. FTE. CAMBIA BUENOS AIRES,2,peronistas,,,,
AZA. FTE. POPULAR BONAERENSE - FREPOBO,4,nacionalistas,1.579,-1.862,0.425,aprox-ivan
AZA. IZQUIERDA UNIDA - P. SOCIALISTA,2,progresistas,-1.683,2.154,0.481,v-party oficial
AZA. IZQUIERDA UNIDA-PARTIDO SOCIALISTA,2,progresistas,-1.683,2.154,0.481,v-party oficial
AZA. MOV. FED. P. RECREAR EL CRECIMIENTO,4,radicalismo,0.039,0.874,0.354,v-party oficial
AZA.AFIRMACION PARA UNA REPUBLICA IGUALITARIA,4,otros,0.452,0.299,0.372,v-party oficial
AZA.MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO,4,radicalismo,0.039,0.874,0.354,v-party oficial
CAMBIEMOS BUENOS AIRES,5,liberales,1.418,-0.055,0.145,v-party oficial
COALICIÓN CÍVICA - A.R.I.,4,otros,0.452,0.288,0.403,v-party oficial
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,4,otros,0.452,0.299,0.372,v-party oficial
CONFEDERACION VECINAL,,,,,,
CONSENSO FEDERAL,4,peronismo provincial,0.073,0.34,0.329,v-party oficial
CONSTRUYENDO PORVENIR,,,,,,
CONVOCATORIA DE INTEGRACION CIUDADANA,,,,,,
ENCUENTRO AMPLIO,1,progresistas,-1.991,1.557,0.821,aprox-ivan
ESPACIO UNION PRO,5,liberales,1.401,-0.142,0.186,v-party oficial
FED.DEMOCRATA CRIST. DE RENOVACION FEDERAL,,,,,,
FRENTE AMPLIO POR LA CIUDAD,,,,,,
FRENTE CAMBIA BUENOS AIRES,2,peronistas,,,,
FRENTE CIUDAD NUEVA,1,peronistas,-1.991,1.557,0.821,v-party propio
FRENTE COALICION CIVICA,4,otros,0.452,0.299,0.372,v-party oficial
FRENTE COMPROMISO SOCIAL,,,,,,
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,1,marxistas,-1.991,2.325,0.723,v-party propio
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1,marxistas,-1.991,2.325,0.723,v-party propio
FRENTE DE IZQUIERDA Y LOS TRABAJADORES,1,marxistas,-1.991,2.325,0.723,v-party propio
FRENTE DE TODOS,3,peronistas,-0.465,1.069,0.642,v-party oficial
FRENTE ES POSIBLE,,,,,,
FRENTE GRANDE,2,peronistas,-0.980,1.195,0.534,v-party oficial
FRENTE JUSTICIALISTA,3,peronistas,-0.101,0.947,0.479,v-party oficial
FRENTE JUSTICIALISTA PARA LA VICTORIA,3,peronistas,-1.664,1.831,0.871,v-party oficial
FRENTE JUSTICIALISTA PARA LA VICTORIA. (*),3,peronistas,-1.664,1.831,0.871,v-party oficial
FRENTE MAS - PTS,1,marxistas,-1.991,2.325,0.723,v-party propio
FRENTE NOS,5,conservadores,2.641,-1.260,0.237,aprox-ivan
FRENTE PARA LA VICTORIA,3,peronistas,-1.663,2.033,0.872,v-party oficial
FRENTE PATRIOTA FEDERAL,6,nacionalistas,,,,
FRENTE POLO SOCIAL,2,progresistas,-1.412,1.557,0.723,v-party propio
FRENTE POPULAR,,,,,,
FRENTE POPULAR BONAERENSE,4,nacionalistas,1.579,-1.862,0.425,aprox-ivan
FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),2,progresistas,-1.412,1.557,0.723,aprox-ivan
FRENTE PROGRESISTA CIVICO Y SOCIAL,3,progresistas,-0.692,1.546,0.461,v-party oficial
FRENTE PTS - MAS - IZQUIERDA SOCIALISTA,1,marxistas,-1.991,2.325,0.723,v-party propio
FRENTE RENOVADOR,4,peronistas,0.376,-0.016,0.363,v-party propio
FRENTE RENOVADOR PLATENSE,4,peronistas,0.376,-0.016,0.363,v-party propio
FRENTE RENOVADOR PLATENSE. (*),4,peronistas,0.376,-0.016,0.363,v-party propio
FRENTE RENOVADOR POPULAR,,,,,,
FRENTE RENOVADOR POPULAR EN BS.AS.-FREPEBA-,,,,,,
FRENTE SOCIAL DE LA PCIA. BS.AS.,2,progresistas,-1.686,2.097,0.871,aprox-ivan
FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,3,progresistas,-1.663,2.033,0.872,aprox-ivan
FRENTE UNION POPULAR,,,,,,
FRENTE UNION Y LIBERTAD,,,,,,
FRENTE VAMOS CON VOS,4,peronismo provincial,0.325,-0.492,0.334,aprox-ivan
FRENTE VECINALISTA PROVINCIAL,,,,,,
FTE. BONAERENSE AUTONOMISTA AUTENTICO,4,nacionalistas,-0.416,0.268,0.658,v-party oficial
FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1,marxistas,-1.991,2.325,0.723,v-party propio
FTE. POLO SOCIAL PARA LA VICTORIA,,,,,,
FUERZA PLATENSE,,,,,,
HACEMOS POR NUESTRO PAIS,3,peronismo provincial,0.325,-0.492,0.334,aprox-ivan
IZQUIERDA AL FRENTE POR EL SOCIALISMO,1,marxistas,-1.991,2.325,0.723,v-party propio
IZQUIERDA UNIDA,1,marxistas,-1.991,2.325,0.723,v-party propio
IZQUIERDA UNIDA -I.U.-,1,marxistas,-1.991,2.325,0.723,v-party propio
JUNTOS,5,liberales,1.401,-0.141,0.186,SIN-MATCH
JUNTOS POR EL CAMBIO,5,liberales,1.401,-0.1415,0.186,SIN-MATCH
LA LIBERTAD AVANZA,6,liberales,2.641,-1.260,0.237,v-party propio
LA PLATA AGRUPACION COMUNAL ALTERNATIVA,,,,,,
LIBER.AR,6,liberales,2.641,-1.260,0.237,v-party propio
MOV. POR LA JUSTICIA SOCIAL - MOJUSO,,,,,,
MOV. SOCIALISTA DE LOS TRABAJADORES,1,marxistas,-1.991,2.325,0.723,v-party propio
MOV. VECINALISTA PROVINCIAL - MOVEPRO,,,,,,
MOV.SOCIALISTA DE LOS TRABAJADORES,1,marxistas,-1.991,2.325,0.723,v-party propio
