anio,agrupacion,nivel,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
2011,ALIANZA FRENTE AMPLIO PROGRESISTA,gobernacion,2,progresistas,-1.268,1.642,0.492
2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,gobernacion,1,marxistas,-1.991,2.325,0.723
2011,ALIANZA FRENTE PARA LA VICTORIA,gobernacion,3,peronistas,-1.686,2.097,0.871
2011,ALIANZA FRENTE POPULAR,gobernacion,2,progresistas,-1.412,1.557,0.723
2011,ALIANZA PROYECTO SUR,gobernacion,2,progresistas,-1.412,1.557,0.723
2011,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,gobernacion,4,otros,,,
2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,gobernacion,4,otros,0.185,0.925,0.351
2011,COALICION CIVICA ARI,gobernacion,4,otros,0.452,0.299,0.372
2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,gobernacion,4,otros,0.452,0.299,0.372
2011,COMPROMISO FEDERAL,gobernacion,4,peronismo provincial,0.447,-0.547,0.375
2011,FRENTE AMPLIO PROGRESISTA,gobernacion,2,progresistas,-1.268,1.642,0.492
2011,NUEVO ENCUENTRO,gobernacion,2,progresistas,-1.991,1.557,0.821
2011,ALIANZA COMPROMISO FEDERAL,intendente,4,peronismo provincial,0.447,-0.547,0.375
2011,ALIANZA FRENTE AMPLIO PROGRESISTA,intendente,2,progresistas,-1.268,1.642,0.492
2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,intendente,1,marxistas,-1.991,2.325,0.723
2011,ALIANZA FRENTE PARA LA VICTORIA,intendente,3,peronistas,-1.686,2.097,0.871
2011,ALIANZA FRENTE POPULAR,intendente,2,progresistas,-1.412,1.557,0.723
2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,intendente,4,otros,0.185,0.925,0.351
2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,intendente,4,otros,0.452,0.299,0.372
2011,FRENTE SOCIAL DE LA PCIA. BS.AS.,intendente,2,progresistas,-1.686,2.097,0.871
2011,NUEVO ENCUENTRO,intendente,2,progresistas,-1.991,1.557,0.821
2011,PROYECTO SUR,intendente,2,peronistas,-1.412,1.557,0.723
2011,ALIANZA COMPROMISO FEDERAL,presidente,4,peronismo provincial,0.447,-0.547,0.375
2011,ALIANZA FRENTE AMPLIO PROGRESISTA,presidente,2,progresistas,-1.268,1.642,0.492
2011,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,presidente,1,marxistas,-1.991,2.325,0.723
2011,ALIANZA FRENTE PARA LA VICTORIA,presidente,3,peronistas,-1.686,2.097,0.871
2011,ALIANZA FRENTE POPULAR,presidente,2,progresistas,-1.412,1.557,0.723
2011,ALIANZA PROYECTO SUR,presidente,2,progresistas,-1.412,1.557,0.723
2011,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,presidente,4,otros,,,
2011,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,presidente,4,otros,0.185,0.925,0.351
2011,COALICION CIVICA ARI,presidente,4,otros,0.452,0.299,0.372
2011,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,presidente,4,otros,0.452,0.299,0.372
2011,DEL CAMPO POPULAR,presidente,4,otros,,,
2011,MOVIMIENTO DE ACCION VECINAL,presidente,4,otros,,,
2013,COMPROMISO FEDERAL,municipal,4,peronismo provincial,0.447,-0.547,0.375
2013,ESPACIO UNION PRO,municipal,5,liberales,1.401,-0.142,0.186
2013,FRENTE CIUDAD NUEVA,municipal,1,peronistas,-1.991,1.557,0.821
2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,municipal,1,marxistas,-1.991,2.325,0.723
2013,FRENTE PARA LA VICTORIA,municipal,3,peronistas,-1.663,2.033,0.872
2013,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),municipal,2,progresistas,-1.412,1.557,0.723
2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,municipal,3,progresistas,-0.692,1.546,0.461
2013,FRENTE RENOVADOR,municipal,4,peronistas,0.376,-0.016,0.363
2013,FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,municipal,3,progresistas,-1.663,2.033,0.872
2013,PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES,municipal,4,peronistas,,,
2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,municipal,4,peronistas,0.185,0.925,0.351
2013,UNION CON FE,municipal,4,nacionalistas,,,
2013,COMPROMISO FEDERAL,nacional,4,peronismo provincial,0.447,-0.547,0.375
2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,nacional,1,marxistas,-1.991,2.325,0.723
2013,FRENTE PARA LA VICTORIA,nacional,3,peronistas,-1.663,2.033,0.872
2013,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),nacional,2,progresistas,-1.412,1.557,0.723
2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,nacional,3,progresistas,-0.692,1.546,0.461
2013,FRENTE RENOVADOR,nacional,4,peronistas,0.376,-0.016,0.363
2013,GENTE EN ACCION,nacional,6,nacionalistas,,,
2013,MOVIMIENTO AVANZADA SOCIALISTA,nacional,1,marxistas,-1.991,2.325,0.723
2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,nacional,4,peronistas,0.185,0.925,0.351
2013,UNION CON FE,nacional,4,nacionalistas,,,
2013,COMPROMISO FEDERAL,provincial,4,peronismo provincial,0.447,-0.547,0.375
2013,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,provincial,1,marxistas,-1.991,2.325,0.723
2013,FRENTE PARA LA VICTORIA,provincial,3,peronistas,-1.663,2.033,0.872
2013,FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),provincial,2,progresistas,-1.412,1.557,0.723
2013,FRENTE PROGRESISTA CIVICO Y SOCIAL,provincial,3,progresistas,-0.692,1.546,0.461
2013,FRENTE RENOVADOR,provincial,4,peronistas,0.376,-0.016,0.363
2013,PARTIDO LEALTAD Y DIGNIDAD DE LA PROVINCIA DE BUENOS AIRES,provincial,4,peronistas,,,
2013,UNIDOS POR LA LIBERTAD Y EL TRABAJO,provincial,4,peronistas,0.185,0.925,0.351
2013,UNION CON FE,provincial,4,nacionalistas,,,
2015,ALIANZA COMPROMISO FEDERAL,gobernacion,4,peronismo provincial,0.447,-0.547,0.375
2015,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,gobernacion,1,marxistas,-1.991,2.325,0.723
2015,ALIANZA FRENTE PARA LA VICTORIA,gobernacion,3,peronistas,-1.659,1.961,0.848
2015,ALIANZA FRENTE POPULAR,gobernacion,4,peronistas,,,
