agrupacion,filiacion_politica,confianza_clasificacion,nota_clasificacion
CONSERVADOR POPULAR,conservadores,alta,Nombre explícito
FRENTE UNION POR EL FUTURO,liberales,baja,pro+ucr+ari
FRENTE VAMOS CON VOS,conservadores,baja,Sin información suficiente
PARTIDO AUTONOMISTA,conservadores,baja,Tradición liberal-conservadora provincial (Corrientes); no coincide con el campo_ideologico=2 original
PRINCIPIOS Y VALORES,peronistas,alta,randazzo
REPUBLICANO FEDERAL,conservadores,baja,Sin información suficiente
UNION POR TODOS,conservadores,baja,Sin información suficiente
ALIANZA CAMBIEMOS,liberales,alta,Ver Cambiemos
ALIANZA LA LIBERTAD AVANZA,liberales,alta,LLA
ALIANZA POTENCIA,liberales,baja,"Alianza 2025, probable espacio liberal/libertario"
AVANZA LIBERTAD,liberales,alta,"Marca provincial libertaria, afín a LLA"
BUENOS AIRES PRIMERO (BAP),liberales,baja,"Escisión libertaria post-LLA, poca información"
CAMBIEMOS BUENOS AIRES,liberales,alta,"Coalición PRO-UCR-CC, identidad dominante liberal-conservadora"
CREO,liberales,baja,Espacio liberal-conservador provincial (M. del Sel)
ESPACIO UNION PRO,liberales,alta,PRO
FRENTE LIBER.AR,liberales,alta,Ver Liber.ar
JUNTOS,liberales,alta,Marca provincial de JxC
JUNTOS POR EL CAMBIO,liberales,alta,Coalición PRO-UCR-CC
LA LIBERTAD AVANZA,liberales,alta,Partido libertario de J. Milei
LIBER.AR,liberales,media,Espacio libertario
MORAL Y PROGRESO,liberales,baja,Sin información suficiente
UNIDOS POR LA LIBERTAD Y EL TRABAJO,liberales,alta,"Espacio de F. de Narváez, peronismo disidente/liberal-empresarial"
UNION CELESTE Y BLANCO,liberales,media,"Espacio de F. de Narváez, peronismo disidente/liberal-empresarial"
UNION DEL CENTRO DEMOCRATICO,liberales,alta,"UCeDé, liberalismo económico histórico"
UNITE POR LA LIBERTAD Y LA DIGNIDAD,liberales,baja,https://es.wikipedia.org/wiki/Unite_por_la_Libertad_y_la_Dignidad
UNIÓN LIBERAL,liberales,alta,Nombre explícito
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,marxistas,alta,"FIT, coalición trotskista"
FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,marxistas,alta,"FIT, coalición trotskista"
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,marxistas,alta,FIT-U
IZQUIERDA AL FRENTE POR EL SOCIALISMO,marxistas,alta,"MST/IS, trotskista"
MOVIMIENTO AL SOCIALISMO,marxistas,alta,"MAS, trotskista"
MOVIMIENTO AVANZADA SOCIALISTA,marxistas,alta,Ver Movimiento de Avanzada Socialista
MOVIMIENTO DE AVANZADA SOCIALISTA,marxistas,alta,Izquierda socialista
MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD,nacionalistas,media,Castells + cuneo
MST - NUEVA IZQUIERDA,marxistas,alta,MST
MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES,marxistas,alta,"MST, trotskista"
POLITICA OBRERA,marxistas,alta,"Partido Obrero, trotskista"
+ VALORES,nacionalistas,media,Espacio confesional/pro-vida
CELESTE PROVIDA,nacionalistas,alta,"Partido confesional, agenda pro-vida/conservadurismo religioso"
ESPERANZA DEL PUEBLO,nacionalistas,media,"Espacio posterior de Gómez Centurión, derecha nacional-conservadora"
FRENTE NOS,nacionalistas,alta,"J.J. Gómez Centurión, derecha nacional-conservadora"
FRENTE PATRIOTA,nacionalistas,alta,Derecha nacionalista
FRENTE PATRIOTA BANDERA VECINAL,nacionalistas,media,Derecha nacionalista
FRENTE PATRIOTA FEDERAL,nacionalistas,media,Derecha nacionalista
JUSTICIA Y DIGNIDAD PATRIOTICA,nacionalistas,media,Derecha nacional-conservadora
PARTIDO DIGNIDAD POPULAR,nacionalistas,baja,Nombre sugiere espacio de derecha nacional; poca información
UNION CON FE,nacionalistas,media,Partido confesional evangélico
1PAIS,peronistas,media,Massa + Stolbizer; identidad dominante peronismo renovador
ALIANZA FRENTE PARA LA VICTORIA,peronistas,alta,FPV kirchnerista
ALIANZA FRENTE POPULAR,peronistas,media,"Frente Popular de Felipe Solá, peronismo federal/disidente"
ALIANZA FUERZA PATRIA,peronistas,alta,Coalición kirchnerista 2025
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),peronistas,alta,UNA 2015: Frente Renovador de Massa + peronismo federal
FRENTE CIUDAD NUEVA,peronistas,media,Espacio vecinalista de P. Bruera aliado al FPV
FRENTE DE TODOS,peronistas,alta,FdT kirchnerista
FRENTE JUSTICIALISTA,peronistas,alta,Peronismo tradicional
FRENTE PARA LA VICTORIA,peronistas,alta,FPV
FRENTE RENOVADOR,peronistas,alta,"Frente Renovador de S. Massa, peronismo renovador"
HACEMOS POR NUESTRO PAIS,peronismo provincial,alta,"J. Schiaretti, peronismo federal cordobés"
LABORISTA,peronistas,media,"Partido Laborista, origen fundacional del peronismo"
POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,peronistas,media,"PAIS, L. Barrionuevo, peronismo sindical"
RENOVADOR FEDERAL,peronistas,media,Derivación del Frente Renovador
UNIDAD CIUDADANA,peronistas,alta,"Lista de C. Fernández de Kirchner 2017, kirchnerismo"
UNION POR LA PATRIA,peronistas,alta,UxP kirchnerista
VAMOS CREANDO CIUDAD NUEVA,progresistas,media,Patria Grande
ALIANZA FRENTE AMPLIO PROGRESISTA,progresistas,alta,Frente Amplio Progresista (Binner/Solanas)
ALIANZA PROGRESISTAS,progresistas,alta,Ver Frente Amplio Progresista
ALIANZA PROYECTO SUR,progresistas,alta,"Proyecto Sur, Pino Solanas"
COALICION CIVICA ARI,otros,Centro-republicanos,"CC-ARI, origen en ARI/FREPASO, republicanismo progresista"
COALICIÓN CÍVICA - A.R.I.,otros,Centro-republicanos,Ver Coalición Cívica
COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,otros,Centro-republicanos,Idem CC-ARI
ENCUENTRO POPULAR POR TIERRA TECHO Y TRABAJO,progresistas,media,Movimientos populares/piqueteros de izquierda no marxista
FRENTE AMPLIO PROGRESISTA,progresistas,alta,Ver arriba
FRENTE POPULAR DEMOCRATICO Y SOCIAL (PODEMOS),progresistas,media,Frente de centroizquierda
FRENTE PROGRESISTA CIVICO Y SOCIAL,progresistas,alta,"Frente santafesino de H. Binner (PS+UCR), identidad dominante progresista"
FRENTE SOCIAL DE LA PCIA. BS.AS.,progresistas,media,"Frente social bonaerense, centroizquierda"
FRENTE SOCIAL DE LA PROVINCIA DE BUENOS AIRES,progresistas,media,Ver Frente Social
FRENTE SOCIALISTA Y POPULAR,progresistas,baja,Nombre sugiere socialdemocracia
