ID,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,A1: Gasto público y tamaño del Estado,A2: Regulación económica y mercado,A3: Redistribución de la riqueza,A4: Política fiscal y tributaria,B1. Roles de género,B2. Diversidad sexual y de identidad de género,B3. Inmigración,B4. Religión en la esfera pública,C1. Retórica anti-elite,"C2. Concepción de ""el pueblo"" como bloque homogéneo virtuoso",D1. Ubicación general izquierda-derecha,D2. Nivel de confianza en esta evaluación,Comentarios adicionales
1,4,4,4,4,4,4,4,4,4,3,0,Alta,0,0,0,0,0,1,1,2,4,3,10,Alta,3,4,4,3,3,3,4,4,2,3,2,Alta,1,1,2,2,1,3,3,0,0,1,8,Alta,2,3,3,1,0,1,1,2,2,3,8,Alta,1,0,2,0,2,4,2,2,0,0,7,Alta,1,1,2,1,2,3,3,2,0,0,7,Alta,1,2,3,2,2,3,3,2,0,0,6,Alta,4,4,4,2,4,4,4,2,3,3,6,Alta,4,4,4,4,4,4,4,1,3,3,3,Alta,2,2,3,1,1,1,1,1,0,1,7,Alta,1,1,2,1,1,3,2,1,0,0,8,Alta,
2,4,4,4,4,4,4,4,4,4,4,1,Ns/Nc,0,0,0,0,0,0,0,0,0,0,10,Ns/Nc,2,2,3,3,4,4,2,3,4,4,3,Ns/Nc,2,2,2,3,2,3,2,3,3,3,6,Ns/Nc,1,1,2,2,0,0,0,1,1,2,8,Ns/Nc,1,1,1,1,1,2,1,2,2,2,8,Ns/Nc,2,2,2,2,2,2,2,2,2,2,5,Ns/Nc,4,4,4,3,3,3,3,3,2,4,3,Ns/Nc,3,3,4,3,4,4,4,2,4,4,3,Ns/Nc,4,4,4,4,4,4,4,4,4,4,2,Ns/Nc,4,4,4,4,3,3,4,4,3,4,4,Ns/Nc,2,2,2,2,2,1,1,1,1,3,6,Ns/Nc,
3,4,4,4,4,4,4,4,4,4,2,1,Ns/Nc,0,0,1,1,1,2,2,2,2,2,7,Ns/Nc,4,4,4,4,4,4,4,4,4,2,1,Ns/Nc,2,2,2,2,2,2,2,2,2,2,5,Ns/Nc,2,3,3,3,2,2,3,2,2,2,7,Ns/Nc,1,1,1,1,1,1,1,1,1,2,7,Ns/Nc,2,2,2,2,2,2,2,2,2,2,4,Ns/Nc,3,3,3,3,3,3,3,3,3,2,5,Ns/Nc,4,4,4,4,4,4,4,2,2,2,3,Ns/Nc,3,3,3,3,3,3,3,2,2,2,5,Ns/Nc,2,2,2,2,2,2,2,2,2,2,5,Ns/Nc,2,2,2,2,2,2,2,2,2,2,7,Ns/Nc,
4,4,4,4,4,4,4,3,4,4,4,1,Alta,0,0,1,0,0,0,0,0,0,0,10,Alta,3,3,3,2,3,4,3,3,4,4,3,Alta,1,2,1,2,2,2,1,1,1,3,6,Alta,3,4,2,3,2,2,2,1,2,3,5,Alta,1,1,2,1,2,2,1,2,1,1,8,Alta,2,2,2,2,3,3,1,2,2,2,6,Alta,3,2,2,3,2,3,3,2,2,3,6,Alta,4,3,4,3,4,4,4,2,3,4,2,Alta,3,4,3,3,4,4,3,2,3,4,3,Alta,4,3,4,3,3,3,3,2,4,4,6,Alta,1,2,1,2,1,1,2,2,1,3,7,Alta,
5,4,4,4,4,4,4,2,4,4,4,0,Media,0,0,0,0,0,0,0,2,4,0,10,Media,4,4,4,4,4,4,4,4,4,3,1,Media,2,2,2,2,4,4,2,2,0,0,5,Media,4,4,4,4,2,2,2,2,4,4,8,Baja,1,1,1,1,3,3,2,2,0,0,8,Media,3,2,2,2,3,3,2,2,0,0,5,Media,3,3,3,3,2,2,2,2,0,3,6,Media,4,3,4,4,4,4,4,2,4,4,4,Media,4,4,4,4,4,4,4,1,4,4,9,Media,3,3,4,3,3,3,3,2,3,4,5,Media,2,2,2,2,0,0,0,4,0,3,7,Media,
6,4,4,4,4,3,2,4,4,4,2,0,Alta,0,0,0,0,0,0,0,0,2,0,10,Media,4,4,4,4,2,2,3,3,3,4,2,Baja,2,2,2,2,2,0,2,2,2,0,7,Baja,4,4,2,3,0,0,0,2,4,4,7,Baja,1,1,1,1,1,1,0,1,0,0,9,Baja,2,2,2,2,2,1,1,1,1,1,7,Baja,3,3,2,1,0,0,2,3,0,1,7,Media,3,2,2,2,2,2,4,2,2,4,5,Media,4,4,2,4,4,3,4,2,4,4,2,Media,2,2,1,2,0,0,2,0,0,4,7,Media,2,2,2,2,0,0,0,2,0,4,8,Media,
7,4,4,4,4,4,4,4,4,4,4,1,Alta,1,1,1,1,0,0,0,3,4,3,8,Alta,3,3,3,3,4,4,3,4,3,4,2,Baja,2,2,2,2,1,2,2,1,2,0,6,Media,3,4,4,3,1,1,1,4,0,3,6,Alta,1,1,1,1,2,2,2,3,1,3,7,Alta,3,3,3,2,3,3,2,4,0,0,5,Alta,2,2,2,2,2,2,2,2,2,2,5,Alta,4,4,4,4,4,4,4,4,4,4,3,Alta,4,4,4,4,4,4,4,4,4,4,1,Alta,2,2,2,2,2,2,2,2,2,2,5,Alta,1,1,1,1,0,1,0,4,0,0,7,Alta,
8,4,4,4,4,4,4,4,4,4,2,0,Alta,0,0,0,0,0,0,0,0,0,0,10,Alta,3,3,3,3,3,3,3,2,4,4,3,Media,2,2,2,2,3,3,2,2,2,2,4,Media,3,3,3,3,1,1,1,0,3,4,5,Alta,1,1,1,1,2,2,1,1,0,0,8,Alta,1,1,1,1,1,1,2,1,1,2,7,Alta,2,2,2,2,3,3,3,2,2,2,5,Alta,3,4,3,2,3,3,4,2,3,4,3,Alta,3,3,3,3,4,4,4,4,4,4,2,Alta,2,2,2,2,2,2,3,2,3,3,4,Alta,2,2,2,2,1,1,1,1,1,1,6,Media,
9,4,4,4,4,4,4,4,4,4,3,3,Media,0,0,0,0,1,1,0,1,0,2,8,Media,4,4,4,4,3,3,3,3,3,4,5,Media,2,2,1,2,2,2,1,2,2,1,6,Media,2,3,3,2,0,1,2,0,3,4,7,Media,2,1,2,1,2,3,1,2,0,1,8,Media,2,2,2,2,2,2,3,3,2,2,5,Media,3,3,3,1,3,3,2,2,1,2,6,Media,4,3,4,2,2,3,4,2,3,4,4,Media,4,4,4,4,4,4,4,2,3,4,3,Media,3,3,4,2,1,3,2,4,4,3,5,Media,1,1,2,2,1,1,1,1,1,1,6,Media,
10,4,4,4,4,4,4,4,4,4,4,8,Alta,0,0,0,0,0,0,0,2,4,0,10,Alta,4,4,4,4,4,4,4,3,4,4,5,Alta,2,2,2,2,3,2,2,1,2,2,6,Alta,0,0,0,0,0,0,0,0,0,0,10,Ns/Nc,0,0,1,0,1,2,0,2,0,0,8,Alta,2,2,2,2,2,2,2,2,2,2,5,Alta,3,2,2,2,1,2,2,2,2,4,5,Alta,2,4,2,2,4,4,4,2,3,4,5,Alta,4,4,4,4,4,4,4,2,4,4,8,Alta,3,2,2,2,4,4,4,2,3,4,5,Alta,2,2,2,2,2,2,2,2,2,2,6,Alta
