v2paenname,v2paenname_espaniol,v2paorname,v2pashname,year,historical_date,v2pavote,v2pariglef,v2pariglef_codelow,v2pariglef_codehigh,v2pariglef_osp,v2pariglef_osp_codelow,v2pariglef_osp_codehigh,v2pawelf,v2pawelf_codelow,v2pawelf_codehigh,v2pawelf_osp,v2pawelf_osp_codelow,v2pawelf_osp_codehigh,v2pawomlab,v2pawomlab_codelow,v2pawomlab_codehigh,v2pawomlab_osp,v2pawomlab_osp_codelow,v2pawomlab_osp_codehigh,v2palgbt,v2palgbt_codelow,v2palgbt_codehigh,v2palgbt_osp,v2palgbt_osp_codelow,v2palgbt_osp_codehigh,v2paimmig,v2paimmig_codelow,v2paimmig_codehigh,v2paimmig_osp,v2paimmig_osp_codelow,v2paimmig_osp_codehigh,v2parelig,v2parelig_codelow,v2parelig_codehigh,v2parelig_osp,v2parelig_osp_codelow,v2parelig_osp_codehigh,v2paanteli,v2paanteli_codelow,v2paanteli_codehigh,v2paanteli_osp,v2paanteli_osp_codelow,v2paanteli_osp_codehigh,v2papeople,v2papeople_codelow,v2papeople_codehigh,v2papeople_osp,v2papeople_osp_codelow,v2papeople_osp_codehigh,v2paclient,v2paclient_codelow,v2paclient_codehigh,v2paclient_osp,v2paclient_osp_codelow,v2paclient_osp_codehigh,v2xpa_popul,v2xpa_popul_codelow,v2xpa_popul_codehigh
"Aliance for Work, Justice, and Education","Alianza para el Trabajo, la Justicia y la Educación",,ALIANZA,2001.0,2001-10-14,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Front for a Country in Solidarity,Frente País Solidario,,FREPASO,2001.0,2001-10-14,,-0.98,-1.337,-0.703,2.071,1.77,2.293,0.387,-0.198,0.843,3.334,2.807,3.756,0.68,0.265,1.223,2.941,2.725,3.184,0.855,0.431,1.247,2.281,2.099,2.481,1.283,0.865,1.732,2.625,2.394,2.815,1.963,1.38,2.556,3.906,3.85,3.999,1.286,0.843,1.658,2.698,2.337,3.032,-0.473,-0.986,-0.027,1.806,1.357,2.136,-1.242,-1.609,-0.882,0.738,0.477,0.945,0.534,0.465,0.621
Justicialist [Peronist] Party,Partido Justicialista (Peronista),,PJ,2001.0,2001-10-14,35.8,0.544,0.221,0.829,3.444,3.144,3.693,0.156,-0.28,0.607,3.116,2.709,3.548,0.208,-0.26,0.721,2.71,2.503,2.98,-0.04,-0.476,0.354,1.891,1.702,2.075,-0.309,-0.66,0.169,1.965,1.826,2.132,0.34,-0.009,0.675,3.265,3.071,3.481,0.422,0.01,0.82,1.922,1.592,2.314,0.007,-0.477,0.474,2.215,1.792,2.609,1.535,1.138,1.873,2.944,2.657,3.179,0.503,0.434,0.577
Radical Civic Union,Unión Cívica Radical,,UCR,2001.0,2001-10-14,6.5,0.262,-0.067,0.565,3.187,2.876,3.455,0.275,-0.237,0.782,3.233,2.774,3.725,-0.014,-0.509,0.43,2.602,2.368,2.826,0.117,-0.282,0.55,1.96,1.787,2.15,1.009,0.605,1.496,2.495,2.272,2.69,1.91,1.297,2.388,3.893,3.833,3.999,-0.123,-0.453,0.308,1.443,1.158,1.813,-1.556,-2.006,-1.055,1.006,0.709,1.32,-0.254,-0.622,0.066,1.488,1.221,1.79,0.288,0.236,0.361
Support for an Egalitarian Republic,Afirmación para una República Igualitaria,,ARI,2001.0,2001-10-14,7.4,-0.836,-1.134,-0.478,2.191,1.902,2.461,1.218,0.745,1.738,4.04,3.669,4.412,0.578,0.084,1.034,2.887,2.666,3.126,1.747,1.343,2.133,2.752,2.502,2.947,1.535,1.172,2.101,2.75,2.544,3.003,0.284,-0.112,0.575,3.228,3.002,3.428,1.367,0.986,1.763,2.764,2.443,3.093,-0.504,-0.965,-0.01,1.78,1.406,2.188,-2.619,-3.154,-2.112,0.128,0.01,0.198,0.537,0.466,0.621
Justicialist [Peronist] Party,Partido Justicialista (Peronista),,PJ,2003.0,2003-04-27,35.4,-0.416,-0.719,-0.094,2.568,2.294,2.852,0.165,-0.261,0.632,3.13,2.753,3.59,0.172,-0.263,0.696,2.691,2.457,2.925,0.663,0.32,1.142,2.193,2.033,2.41,-0.106,-0.516,0.307,2.039,1.873,2.173,0.341,-0.026,0.665,3.261,3.068,3.482,1.378,0.941,1.768,2.774,2.391,3.077,0.434,-0.09,0.863,2.58,2.214,3.01,1.513,1.096,1.852,2.93,2.661,3.191,0.658,0.583,0.718
Radical Civic Union,Unión Cívica Radical,,UCR,2003.0,2003-04-27,13.6,0.039,-0.253,0.341,2.974,2.722,3.266,0.303,-0.139,0.751,3.258,2.869,3.693,-0.026,-0.492,0.438,2.595,2.375,2.828,0.686,0.277,1.166,2.2,1.993,2.395,1.009,0.605,1.496,2.495,2.272,2.69,1.91,1.297,2.388,3.893,3.833,3.999,0.421,0.035,0.837,1.923,1.555,2.281,-1.464,-1.916,-0.919,1.063,0.712,1.362,-0.348,-0.665,0.002,1.41,1.154,1.701,0.338,0.265,0.407
Support for an Egalitarian Republic,Afirmación para una República Igualitaria,,ARI,2003.0,2003-04-27,6.1,-0.606,-0.948,-0.318,2.397,2.123,2.674,1.352,0.885,1.828,4.138,3.775,4.458,0.578,0.084,1.034,2.887,2.666,3.126,1.93,1.501,2.317,2.856,2.57,3.044,1.551,1.098,1.984,2.758,2.522,2.959,0.351,-0.031,0.678,3.266,3.071,3.489,1.454,1.037,1.846,2.837,2.462,3.129,-0.526,-1.034,-0.06,1.759,1.331,2.115,-2.644,-3.154,-2.024,0.123,0.001,0.188,0.538,0.452,0.612
Front for Victory,Frente para la Victoria,,FPV-PJ,2005.0,2005-10-23,44.7,-1.541,-1.86,-1.201,1.636,1.431,1.918,0.648,0.179,1.123,3.571,3.128,3.952,1.4,0.87,1.806,3.283,3.042,3.481,2.009,1.525,2.323,2.9,2.649,3.114,2.354,1.924,2.845,3.159,2.945,3.4,0.915,0.532,1.265,3.574,3.438,3.767,2.511,2.031,2.971,3.569,3.38,3.845,0.783,0.291,1.242,2.869,2.596,3.339,0.722,0.451,1.14,2.317,2.078,2.635,0.791,0.727,0.853
Radical Civic Union,Unión Cívica Radical,,UCR,2005.0,2005-10-23,10.2,0.032,-0.262,0.327,2.972,2.694,3.239,0.316,-0.161,0.764,3.271,2.853,3.71,0.188,-0.237,0.693,2.7,2.489,2.939,0.451,0.043,0.868,2.098,1.921,2.284,1.004,0.538,1.444,2.489,2.229,2.647,1.674,1.121,2.175,3.843,3.764,3.987,0.136,-0.19,0.56,1.672,1.354,2.015,-1.128,-1.648,-0.657,1.296,0.929,1.63,-0.349,-0.653,0.017,1.408,1.158,1.706,0.356,0.285,0.414
Republican Proposal,Propuesta Republicana,,PRO,2005.0,2005-10-23,7.4,1.661,1.329,1.977,4.374,4.163,4.64,-1.497,-1.918,-0.968,1.515,1.134,1.997,-0.983,-1.458,-0.552,2.141,1.932,2.346,-0.121,-0.563,0.24,1.855,1.702,2.067,-1.642,-2.1,-1.222,1.379,1.133,1.604,0.893,0.48,1.242,3.56,3.406,3.761,-0.989,-1.492,-0.573,0.76,0.419,1.027,-2.006,-2.475,-1.476,0.73,0.464,1.037,-1.332,-1.667,-0.952,0.682,0.445,0.887,0.176,0.121,0.234
Support for an Egalitarian Republic,Afirmación para una República Igualitaria,,ARI,2005.0,2005-10-23,7.8,-0.605,-0.93,-0.315,2.393,2.081,2.619,1.248,0.768,1.768,4.056,3.694,4.432,0.578,0.084,1.034,2.887,2.666,3.126,2.226,1.723,2.59,3.026,2.73,3.234,1.52,1.065,1.976,2.745,2.502,2.951,0.571,0.179,0.887,3.394,3.218,3.601,1.375,1.04,1.834,2.768,2.424,3.089,-0.552,-0.997,-0.044,1.742,1.301,2.074,-2.471,-2.897,-1.852,0.163,0.01,0.24,0.529,0.465,0.617
Civic Coalition ARI,Coalición Cívica ARI,,CC,2007.0,2007-10-28,,-0.253,-0.574,0.046,2.707,2.431,2.994,0.677,0.195,1.101,3.597,3.201,3.991,0.214,-0.271,0.661,2.715,2.506,2.954,1.744,1.337,2.153,2.748,2.507,2.97,0.238,-0.214,0.582,2.162,2.007,2.307,-0.262,-0.654,0.037,2.863,2.668,3.153,0.831,0.42,1.183,2.289,1.937,2.62,-0.703,-1.165,-0.234,1.617,1.209,1.946,-2.459,-2.868,-1.828,0.167,0.015,0.241,0.468,0.406,0.544
