v2paenname,v2paorname,v2pashname,year,historical_date,v2pavote,v2pariglef,v2pariglef_codelow,v2pariglef_codehigh,v2pariglef_osp,v2pariglef_osp_codelow,v2pariglef_osp_codehigh,v2pawelf,v2pawelf_codelow,v2pawelf_codehigh,v2pawelf_osp,v2pawelf_osp_codelow,v2pawelf_osp_codehigh,v2pawomlab,v2pawomlab_codelow,v2pawomlab_codehigh,v2pawomlab_osp,v2pawomlab_osp_codelow,v2pawomlab_osp_codehigh,v2palgbt,v2palgbt_codelow,v2palgbt_codehigh,v2palgbt_osp,v2palgbt_osp_codelow,v2palgbt_osp_codehigh,v2paimmig,v2paimmig_codelow,v2paimmig_codehigh,v2paimmig_osp,v2paimmig_osp_codelow,v2paimmig_osp_codehigh,v2parelig,v2parelig_codelow,v2parelig_codehigh,v2parelig_osp,v2parelig_osp_codelow,v2parelig_osp_codehigh,v2paanteli,v2paanteli_codelow,v2paanteli_codehigh,v2paanteli_osp,v2paanteli_osp_codelow,v2paanteli_osp_codehigh,v2papeople,v2papeople_codelow,v2papeople_codehigh,v2papeople_osp,v2papeople_osp_codelow,v2papeople_osp_codehigh,v2paclient,v2paclient_codelow,v2paclient_codehigh,v2paclient_osp,v2paclient_osp_codelow,v2paclient_osp_codehigh,v2xpa_popul,v2xpa_popul_codelow,v2xpa_popul_codehigh
Federal Peronism / Dissident Peronism,,PF-PJ,2011.0,2011-10-23,,0.447,0.151,0.775,3.356,3.025,3.594,-0.206,-0.646,0.283,2.769,2.314,3.224,-0.814,-1.251,-0.303,2.219,2.019,2.46,-0.757,-1.121,-0.34,1.534,1.325,1.757,-0.998,-1.44,-0.632,1.697,1.547,1.904,0.381,0.062,0.739,3.284,3.098,3.493,-0.074,-0.439,0.377,1.484,1.108,1.806,-0.767,-1.185,-0.237,1.573,1.191,1.927,0.539,0.191,0.879,2.16,1.871,2.454,0.375,0.316,0.442
Front for Victory,,FPV-PJ,2011.0,2011-10-23,,-1.686,-1.998,-1.334,1.534,1.314,1.774,0.702,0.233,1.149,3.616,3.224,4.019,1.427,0.933,1.953,3.292,3.092,3.57,3.341,2.785,3.758,3.622,3.465,3.866,2.701,2.148,3.071,3.333,3.156,3.601,0.919,0.546,1.294,3.573,3.435,3.775,3.482,2.848,3.965,3.904,3.847,4.0,1.194,0.733,1.681,3.179,2.845,3.508,0.506,0.211,0.87,2.131,1.877,2.426,0.871,0.823,0.925
Generation for a National Encounter,,GEN,2011.0,2011-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popular Union,,UP,2011.0,2011-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical Civic Union,,UCR,2011.0,2011-10-23,,0.185,-0.18,0.452,3.113,2.768,3.349,0.091,-0.358,0.585,3.054,2.643,3.534,0.203,-0.254,0.709,2.709,2.487,2.951,1.111,0.68,1.539,2.407,2.186,2.613,0.751,0.294,1.13,2.372,2.187,2.547,1.634,1.062,2.06,3.834,3.767,3.99,0.088,-0.326,0.451,1.62,1.264,1.946,-1.138,-1.681,-0.703,1.286,0.886,1.577,-0.349,-0.653,0.017,1.408,1.158,1.706,0.351,0.28,0.41
Republican Proposal,,PRO,2011.0,2011-10-23,,1.535,1.151,1.828,4.278,4.043,4.559,-1.514,-1.919,-1.007,1.499,1.122,1.952,-0.346,-0.877,0.078,2.44,2.187,2.641,0.26,-0.163,0.648,2.018,1.842,2.198,-1.454,-1.881,-1.02,1.475,1.276,1.713,0.589,0.238,0.91,3.406,3.252,3.613,-1.239,-1.662,-0.765,0.598,0.288,0.817,-2.246,-2.762,-1.713,0.6,0.322,0.864,-0.757,-1.083,-0.42,1.084,0.837,1.339,0.139,0.084,0.187
Socialist Party,,PS,2011.0,2011-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alliance: Frente Amplio Progresista,,Frente Ampli...,2011.0,2011-10-23,,-1.268,-1.624,-0.963,1.844,1.548,2.065,0.82,0.381,1.294,3.717,3.346,4.109,1.706,1.19,2.218,3.422,3.213,3.675,1.757,1.343,2.17,2.759,2.526,2.992,1.699,1.235,2.094,2.833,2.614,3.042,1.406,0.972,1.861,3.765,3.659,3.932,0.847,0.478,1.255,2.308,1.952,2.644,-0.535,-0.975,-0.045,1.757,1.418,2.178,-1.006,-1.335,-0.682,0.898,0.642,1.101,0.492,0.418,0.557
Front for Victory,,FPV-PJ,2013.0,2013-10-27,30.7,-1.663,-2.055,-1.404,1.545,1.295,1.748,0.702,0.233,1.149,3.616,3.224,4.019,1.426,0.957,1.908,3.298,3.064,3.516,3.175,2.635,3.597,3.546,3.34,3.781,2.701,2.148,3.071,3.333,3.156,3.601,0.829,0.464,1.205,3.532,3.364,3.729,3.482,2.848,3.965,3.904,3.847,4.0,1.192,0.74,1.713,3.178,2.84,3.512,0.506,0.211,0.87,2.131,1.877,2.426,0.872,0.823,0.928
"Progressive, Civic and Social Front",,FPCyS,2013.0,2013-10-27,25.2,-0.692,-0.963,-0.341,2.32,2.034,2.577,1.27,0.823,1.721,4.08,3.736,4.397,1.966,1.406,2.414,3.541,3.347,3.769,1.921,1.524,2.353,2.851,2.626,3.098,1.025,0.581,1.463,2.501,2.266,2.68,1.271,0.802,1.66,3.72,3.597,3.908,0.359,-0.001,0.776,1.867,1.538,2.24,-0.383,-0.795,0.175,1.879,1.438,2.245,-0.862,-1.221,-0.566,1.002,0.742,1.223,0.461,0.393,0.531
