partido,vparty_economico,vparty_progresismo,vparty_populismo
Frente de Izquierda,-1.991,2.325,0.723
La Libertad Avanza,2.641,-1.260,0.237
Proyecto Sur,-1.412,1.557,0.723
#Coalicion Civica,0.452,0.297,0.377
Principios y Valores,-0.833,-0.748,0.529
#PRO,1.410,-0.092,0.169
#Union Civica Radical,0.325,0.533,0.334
#Frente Renovador,0.376,-0.016,0.363
#Frente para la Victoria,-1.671,2.039,0.866
Patria Grande,-1.991,1.557,0.821
#Partido Justicialista,-0.101,0.947,0.479
Encuentro Republicano Federal,0.325,-0.492,0.334
