id_transicion,nivel,anio_t,anio_t_menos_1,anio_t_menos_2,fecha_inicio_vc,fecha_fin_vc,fecha_inicio_vl,tipo_eleccion_t,tipo_eleccion_t_menos_1
municipal_2001_2003,municipal,2003,2001,,2001-10-14,2003-04-27,,ejecutiva,legislativa
municipal_2003_2005,municipal,2005,2003,2001,2003-04-27,2005-10-23,2001-10-14,legislativa,ejecutiva
municipal_2005_2007,municipal,2007,2005,2003,2005-10-23,2007-10-28,2003-04-27,ejecutiva,legislativa
municipal_2007_2009,municipal,2009,2007,2005,2007-10-28,2009-06-28,2005-10-23,legislativa,ejecutiva
municipal_2009_2011,municipal,2011,2009,2007,2009-06-28,2011-10-23,2007-10-28,ejecutiva,legislativa
municipal_2011_2013,municipal,2013,2011,2009,2011-10-23,2013-10-27,2009-06-28,legislativa,ejecutiva
municipal_2013_2015,municipal,2015,2013,2011,2013-10-27,2015-10-25,2011-10-23,ejecutiva,legislativa
municipal_2015_2017,municipal,2017,2015,2013,2015-10-25,2017-10-22,2013-10-27,legislativa,ejecutiva
municipal_2017_2019,municipal,2019,2017,2015,2017-10-22,2019-10-27,2015-10-25,ejecutiva,legislativa
municipal_2019_2021,municipal,2021,2019,2017,2019-10-27,2021-11-14,2017-10-22,legislativa,ejecutiva
municipal_2021_2023,municipal,2023,2021,2019,2021-11-14,2023-10-22,2019-10-27,ejecutiva,legislativa
municipal_2023_2025,municipal,2025,2023,2021,2023-10-22,2025-09-07,2021-11-14,legislativa,ejecutiva
provincial_2001_2003,provincial,2003,2001,,2001-10-14,2003-04-27,,ejecutiva,legislativa
provincial_2003_2005,provincial,2005,2003,2001,2003-04-27,2005-10-23,2001-10-14,legislativa,ejecutiva
provincial_2005_2007,provincial,2007,2005,2003,2005-10-23,2007-10-28,2003-04-27,ejecutiva,legislativa
provincial_2007_2009,provincial,2009,2007,2005,2007-10-28,2009-06-28,2005-10-23,legislativa,ejecutiva
provincial_2009_2011,provincial,2011,2009,2007,2009-06-28,2011-10-23,2007-10-28,ejecutiva,legislativa
provincial_2011_2013,provincial,2013,2011,2009,2011-10-23,2013-10-27,2009-06-28,legislativa,ejecutiva
provincial_2013_2015,provincial,2015,2013,2011,2013-10-27,2015-10-25,2011-10-23,ejecutiva,legislativa
provincial_2015_2017,provincial,2017,2015,2013,2015-10-25,2017-10-22,2013-10-27,legislativa,ejecutiva
provincial_2017_2019,provincial,2019,2017,2015,2017-10-22,2019-10-27,2015-10-25,ejecutiva,legislativa
provincial_2019_2021,provincial,2021,2019,2017,2019-10-27,2021-11-14,2017-10-22,legislativa,ejecutiva
provincial_2021_2023,provincial,2023,2021,2019,2021-11-14,2023-10-22,2019-10-27,ejecutiva,legislativa
provincial_2023_2025,provincial,2025,2023,2021,2023-10-22,2025-09-07,2021-11-14,legislativa,ejecutiva
nacional_2011_2013,nacional,2013,2011,,2011-10-23,2013-10-27,,legislativa,ejecutiva
nacional_2013_2015,nacional,2015,2013,2011,2013-10-27,2015-10-25,2011-10-23,ejecutiva,legislativa
nacional_2015_2017,nacional,2017,2015,2013,2015-10-25,2017-10-22,2013-10-27,legislativa,ejecutiva
nacional_2017_2019,nacional,2019,2017,2015,2017-10-22,2019-10-27,2015-10-25,ejecutiva,legislativa
nacional_2019_2021,nacional,2021,2019,2017,2019-10-27,2021-11-14,2017-10-22,legislativa,ejecutiva
nacional_2021_2023,nacional,2023,2021,2019,2021-11-14,2023-10-22,2019-10-27,ejecutiva,legislativa
nacional_2023_2025,nacional,2025,2023,2021,2023-10-22,2025-10-26,2021-11-14,legislativa,ejecutiva
