Año,eleccion_tipo,recuento_tipo,padron_tipo,distrito_id,distrito_nombre,seccionprovincial_id,seccionprovincial_nombre,seccion_id,seccion_nombre,circuito_id,mesa_id,mesa_electores,mesa_tipo,cargo_id,cargo_nombre,agrupacion_id,agrupacion_nombre,lista_numero,lista_nombre,votos_tipo,votos_cantidad
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000475,131,348,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,5
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000475,131,348,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,91
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000475,131,348,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000488,250,351,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,26
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000488,251,352,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,25
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,533,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,68
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,712,348,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,8
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,712,348,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,141
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,712,348,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,8
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,110
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,02-1911,FRENTE NOS,A,LINEA ÚNICA,POSITIVO,11
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,02-503,FRENTE DE TODOS,2,CELESTE Y BLANCA,POSITIVO,133
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000516,1518,352,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,3
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,532,349,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,83
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000516,1519,353,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,4
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,715,348,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,715,348,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,716,351,NATIVOS,4,GOBERNADOR         ,02-309,MOVIMIENTO ORGANIZACION DEMOCRATICA,A,AZUL Y BLANCO,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,716,351,NATIVOS,4,GOBERNADOR         ,02-865,FRENTE PATRIOTA,A,LEALTAD,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00504A,1158,350,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,22
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,528,348,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,18
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,529,350,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,15
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,534,349,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,76
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,103
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,63
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000516,1520,205,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000516,1521,213,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,3
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000517,1522,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000517,1523,351,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,4
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000517,1524,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,9
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000517,1525,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,4
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,712,348,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,6
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,530,350,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,16
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,531,354,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,15
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,532,349,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,16
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,715,348,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,716,351,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,717,349,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,1
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,718,348,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,719,348,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,2
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,720,349,NATIVOS,4,GOBERNADOR         ,02-276,MOVIMIENTO DE AVANZADA SOCIALISTA,1A,UNIDAD DE LA IZQUIERDA,POSITIVO,0
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,715,348,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,70
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,716,351,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,81
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,717,349,NATIVOS,4,GOBERNADOR         ,135,JUNTOS POR EL CAMBIO,1A,1A,POSITIVO,90
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,533,350,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,16
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00496D,534,349,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,16
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,713,350,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,17
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,714,350,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,21
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,715,348,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,18
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,00497E,716,351,NATIVOS,4,GOBERNADOR         ,137,CONSENSO FEDERAL,A,HAY CONSENSO,POSITIVO,20
2019,PASO,PROVISORIO,NORMAL,2,BUENOS AIRES,8,Sección Capital,63,LA PLATA,000504,1060,350,NATIVOS,4,GOBERNADOR         ,02-816,PARTIDO DIGNIDAD POPULAR,1A,POR LA VIDA,POSITIVO,0
