circuito;localidad;distancia_metros
460;La Plata;1176.9
461;La Plata;137.4
462;La Plata;410.5
463;La Plata;892.1
464;La Plata;1446.3
465;La Plata;1563.5
466;La Plata;1070.1
467;La Plata;724.8
468;La Plata;613.4
469;La Plata;1313.9
471;La Plata;1784.8
472;La Plata;1277.5
473;La Plata;1139.4
474;La Plata;1625.4
475;Tolosa;1847.1
476;Tolosa;1544.0
477;Tolosa;1847.0
480;La Plata;636.6
481;La Plata;1013.9
482;La Plata;1524.1
483;La Plata;1871.1
484;La Plata;1476.4
485;La Plata;1249.2
486;Villa Elvira;1577.2
487;Villa Elvira;1680.7
488;Villa Elvira;1953.4
493;Martín García;688.8
495;Rufino de Elizalde;2412.0
496;Villa Elvira;833.5
496A;Lomas de Copello;2733.8
496B;Villa Montoro;895.3
496C;Villa Montoro;722.5
496D;Villa Montoro;2518.1
496E;Villa Garibaldi;518.6
496F;Ignacio Correas;824.8
497;Los Hornos;1323.2
497A;Poblet;1586.6
497B;Arana;3222.3
497C;Los Hornos;1364.2
497D;Los Hornos;1231.0
497E;Arana;3136.2
497F;Lisandro Olmos;2921.7
498;Esquina Negra;8063.8
501;La Cumbre;1447.2
502;Tolosa;654.0
503;Joaquín Gorina;2696.6
503A;Barrio Las Quintas;1670.1
504;City Bell;1533.0
504A;Manuel B. Gonnet;1087.6
505;Villa Elisa;200.4
505A;Arturo Seguí;1619.3
505B;Buchanan;2719.5
508;Barrio Las Quintas;266.3
508A;El Retiro;683.1
508B;José Melchor Romero;1071.0
508C;El Retiro;1365.2
508D;José Melchor Romero;1863.0
508E;José Melchor Romero;3108.9
508F;Abasto;3911.5
508G;Abasto;4064.5
509;Ángel Etcheverry;3624.7
509A;Ángel Etcheverry;1955.7
516;La Plata;1271.5
517;La Plata;503.3
518;La Plata;1187.6
519;La Plata;1666.1
520;Villa Elvira;2158.3
521;Villa Elvira;1620.0
