Nombre;Código UTA 2020;Código UTA 2010;Latitud;Longitud;Municipio;Departamento;Provincia
BARRIO RUTA SOL;064410441050000;064410441050000;-34,943733354;-58,173265239;LA PLATA;LA PLATA;BUENOS AIRES
LA PLATA;064410441030015;064410441030015;-34,920863105;-57,954056006;LA PLATA;LA PLATA;BUENOS AIRES
VILLA ELISA;064410441030023;064410441030023;-34,877620519;-58,090713919;LA PLATA;LA PLATA;BUENOS AIRES
BARRIO LAS QUINTAS;064410441030008;064410441030008;-34,925721099;-58,039340304;LA PLATA;LA PLATA;BUENOS AIRES
VILLA ELVIRA;064410441030024;064410441030024;-34,940643763;-57,921498468;LA PLATA;LA PLATA;BUENOS AIRES
JOSE HERNANDEZ;064410441030012;064410441030012;-34,898589664;-58,014397203;LA PLATA;LA PLATA;BUENOS AIRES
COUNTRY CLUB EL RODEO;064410441010000;064410441010000;-35,079468805;-58,139327573;LA PLATA;LA PLATA;BUENOS AIRES
TRANSRADIO;064410441030022;064410441030022;-34,879005554;-58,081733865;LA PLATA;LA PLATA;BUENOS AIRES
CITY BELL;064410441030009;064410441030009;-34,887938274;-58,058232804;LA PLATA;LA PLATA;BUENOS AIRES
ARANA;064410441030003;064410441030003;-35,03005561;-57,886525001;LA PLATA;LA PLATA;BUENOS AIRES
TOLOSA;064410441030021;064410441030021;-34,900769931;-57,98212935;LA PLATA;LA PLATA;BUENOS AIRES
LOMAS DE COPELLO;064410441040000;064410441040000;-34,952038566;-57,840938598;LA PLATA;LA PLATA;BUENOS AIRES
RINGUELET;064410441030019;064410441030019;-34,891054494;-57,991378192;LA PLATA;LA PLATA;BUENOS AIRES
VILLA MONTORO;064410441030026;064410441030026;-34,963449053;-57,902500131;LA PLATA;LA PLATA;BUENOS AIRES
RUFINO DE ELIZALDE;064410441030020;064410441030020;-34,971090077;-57,952435129;LA PLATA;LA PLATA;BUENOS AIRES
JOSE MELCHOR ROMERO;064410441030013;064410441030013;-34,945509244;-58,036290475;LA PLATA;LA PLATA;BUENOS AIRES
LA CUMBRE;064410441030014;064410441030014;-34,923591772;-58,001947873;LA PLATA;LA PLATA;BUENOS AIRES
LA PROVIDENCIA;064410441000016;064410441000016;-35,0232476;-58,2307028;LA PLATA;LA PLATA;BUENOS AIRES
BARRIO EL CARMEN (OESTE);064410441030005;064410441030005;-34,970754422;-57,810895028;LA PLATA;LA PLATA;BUENOS AIRES
MANUEL B. GONNET;064410441030018;064410441030018;-34,881951193;-58,018991534;LA PLATA;LA PLATA;BUENOS AIRES
ARTURO SEGUI;064410441030004;064410441030004;-34,890739713;-58,132711651;LA PLATA;LA PLATA;BUENOS AIRES
JOAQUIN GORINA;064410441030011;064410441030011;-34,901781734;-58,039185929;LA PLATA;LA PLATA;BUENOS AIRES
ISLA MARTIN GARCIA;064410441000022;064410441000022;-34,1871001;-58,2526073;LA PLATA;LA PLATA;BUENOS AIRES
LOS HORNOS;064410441030017;064410441030017;-34,973715514;-57,985053906;LA PLATA;LA PLATA;BUENOS AIRES
IGNACIO CORREAS;064410441020000;064410441020000;-35,034560034;-57,844024959;LA PLATA;LA PLATA;BUENOS AIRES
LISANDRO OLMOS;064410441030016;064410441030016;-34,997608601;-58,043377426;LA PLATA;LA PLATA;BUENOS AIRES
VILLA GARIBALDI;064410441030025;064410441030025;-34,99865172;-57,840496624;LA PLATA;LA PLATA;BUENOS AIRES
ABASTO;064410441030001;064410441030001;-35,010368196;-58,115184859;LA PLATA;LA PLATA;BUENOS AIRES
VILLA PARQUE SICARDI;064410441030027;064410441030027;-34,983028846;-57,867465307;LA PLATA;LA PLATA;BUENOS AIRES
BARRIO LAS MALVINAS;064410441030007;064410441030007;-34,937488016;-58,009395417;LA PLATA;LA PLATA;BUENOS AIRES
POBLET;064410441000020;064410441000020;-35,0604581;-57,9547426;LA PLATA;LA PLATA;BUENOS AIRES
ESQUINA NEGRA;064410441000006;064410441000006;-35,038806067;-58,059306162;LA PLATA;LA PLATA;BUENOS AIRES
ANGEL ETCHEVERRY;064410441030002;064410441030002;-35,026158091;-58,095906006;LA PLATA;LA PLATA;BUENOS AIRES
BARRIO GAMBIER;064410441030006;064410441030006;-34,935959453;-57,983763052;LA PLATA;LA PLATA;BUENOS AIRES
EL RETIRO;064410441030010;064410441030010;-34,947617556;-57,995743221;LA PLATA;LA PLATA;BUENOS AIRES
