nombre,georef_id,lat,lon,uta_2020,uta_2010,lat_ministerio,lon_ministerio,delta_metros,fuentes,nota
Abasto,0644103001,-34.9867591259577,-58.0908657138948,064410441030001,064410441030001,-35.010368196,-58.115184859,3434.9,georef+ministerio,
Arana,0644103003,-34.9996034102201,-57.8924655082918,064410441030003,064410441030003,-35.03005561,-57.886525001,3429.1,georef+ministerio,
Arturo Seguí,0644103004,-34.8913472133746,-58.1319357401525,064410441030004,064410441030004,-34.890739713,-58.132711651,97.8,georef+ministerio,
Barrio El Carmen Oeste,0644103005,-34.9389300458219,-57.8775985098977,064410441030005,064410441030005,-34.970754422,-57.810895028,7034.0,georef+ministerio,
Barrio Gambier,0644103006,-34.9361065477829,-57.9849314095121,064410441030006,064410441030006,-34.935959453,-57.983763052,107.8,georef+ministerio,
Barrio Las Malvinas,0644103007,-34.9343317745387,-58.001724758917,064410441030007,064410441030007,-34.937488016,-58.009395417,782.4,georef+ministerio,
Barrio Las Quintas,0644103008,-34.9251183154547,-58.0164733151666,064410441030008,064410441030008,-34.925721099,-58.039340304,2085.8,georef+ministerio,
Buchanan,06441A00,-34.9758412106105,-58.2263069421169,,,,,,solo_georef,Sin contraparte en el listado del Ministerio de Obras Públicas; localidad real confirmada manualmente por el equipo del proyecto (no es un error de Georef).
City Bell,0644103009,-34.8674740179381,-58.0474227947356,064410441030009,064410441030009,-34.887938274,-58.058232804,2480.0,georef+ministerio,
Country Club El Rodeo,06441010,-35.080682405557,-58.1365012142146,064410441010000,064410441010000,-35.079468805,-58.139327573,290.4,georef+ministerio,
El Retiro,0644103010,-34.9483129769295,-57.9948819613567,064410441030010,064410441030010,-34.947617556,-57.995743221,110.2,georef+ministerio,
Esquina Negra,06441A01,-35.0397751587339,-58.0625365685212,064410441000006,064410441000006,-35.038806067,-58.059306162,313.2,georef+ministerio,
Ignacio Correas,06441020,-35.0351656674041,-57.839787454501,064410441020000,064410441020000,-35.034560034,-57.844024959,391.6,georef+ministerio,
Joaquín Gorina,0644103011,-34.9054472269577,-58.0436367820879,064410441030011,064410441030011,-34.901781734,-58.039185929,575.2,georef+ministerio,
José Hernández,0644103012,-34.8988594896955,-58.0106354609076,064410441030012,064410441030012,-34.898589664,-58.014397203,344.4,georef+ministerio,
José Melchor Romero,0644103013,-34.9456752062054,-58.0364808189891,064410441030013,064410441030013,-34.945509244,-58.036290475,25.3,georef+ministerio,
La Cumbre,0644103014,-34.9233041542336,-58.0033796785846,064410441030014,064410441030014,-34.923591772,-58.001947873,134.4,georef+ministerio,
La Plata,0644103015,-34.9154959630273,-57.9479884807815,064410441030015,064410441030015,-34.920863105,-57.954056006,813.8,georef+ministerio,
La Providencia,06441A02,-35.0225323564937,-58.2310637673068,064410441000016,064410441000016,-35.0232476,-58.2307028,86.1,georef+ministerio,
Lisandro Olmos,0644103016,-34.999057389434,-58.0486158300406,064410441030016,064410441030016,-34.997608601,-58.043377426,503.6,georef+ministerio,
Lomas de Copello,06441040,-34.9517977258432,-57.8412335725619,064410441040000,064410441040000,-34.952038566,-57.840938598,37.9,georef+ministerio,
Los Hornos,0644103017,-34.9593559474995,-57.9807340188431,064410441030017,064410441030017,-34.973715514,-57.985053906,1644.5,georef+ministerio,
Manuel B. Gonnet,0644103018,-34.8818546802863,-58.0103208206183,064410441030018,064410441030018,-34.881951193,-58.018991534,791.0,georef+ministerio,
Martín García,06441A03,-34.1876433363408,-58.2536644736184,064410441000022,064410441000022,-34.1871001,-58.2526073,114.5,georef+ministerio,
Poblet,06441A04,-35.0587842886967,-57.9527158336463,064410441000020,064410441000020,-35.0604581,-57.9547426,262.1,georef+ministerio,
Ringuelet,0644103019,-34.8848037325506,-57.9915077360675,064410441030019,064410441030019,-34.891054494,-57.991378192,695.2,georef+ministerio,
Rufino de Elizalde,0644103020,-34.9612545572956,-57.9503822406101,064410441030020,064410441030020,-34.971090077,-57.952435129,1109.5,georef+ministerio,
Ruta Sol,06441050,-34.952068957617,-58.1699294674348,064410441050000,064410441050000,-34.943733354,-58.173265239,975.5,georef+ministerio,
Tolosa,0644103021,-34.89176451333,-57.9741732381676,064410441030021,064410441030021,-34.900769931,-57.98212935,1236.6,georef+ministerio,
Transradio,0644103022,-34.8766725098732,-58.0839931356978,064410441030022,064410441030022,-34.879005554,-58.081733865,331.3,georef+ministerio,
Villa Elisa,0644103023,-34.8514668822838,-58.085432935183,064410441030023,064410441030023,-34.877620519,-58.090713919,2947.8,georef+ministerio,
Villa Elvira,0644103024,-34.939443760817,-57.9208330967288,064410441030024,064410441030024,-34.940643763,-57.921498468,146.6,georef+ministerio,
Villa Garibaldi,0644103025,-34.9989648281153,-57.8583627572539,064410441030025,064410441030025,-34.99865172,-57.840496624,1627.7,georef+ministerio,
Villa Montoro,0644103026,-34.9614360980661,-57.9005707784341,064410441030026,064410441030026,-34.963449053,-57.902500131,284.6,georef+ministerio,
Villa Parque Sicardi,0644103027,-34.9874908734581,-57.8597523447218,064410441030027,064410441030027,-34.983028846,-57.867465307,860.2,georef+ministerio,
Ángel Etcheverry,0644103002,-35.0244808823111,-58.0781379447636,064410441030002,064410441030002,-35.026158091,-58.095906006,1628.6,georef+ministerio,
