concepto,id_datos_gob,periodicidad_fuente,dimension,cobertura_desde,auditable_estadisticasbcra,notas
tipo_cambio_oficial,175.1_DR_ESTANSE_0_0_20,diaria,monetario_cambiario,1992-01,si (usd_of),"Dólar Estadounidense - referencia oficial. auditable_estadisticasbcra corregido de ""usd"" a ""usd_of"" tras la auditoría del 2026-08: el endpoint ""usd"" de estadisticasbcra.com es el dólar informal/blue, no el oficial -- comparado por error contra tipo_cambio_oficial daba -26,9% de diferencia en 2024-08 (953 vs 1305), consistente con la brecha cambiaria real de ese momento, no con un error de dato. Ver SISTEMATIZACION_VARIABLES_MACRO.md"
tipo_cambio_mayorista,175.1_DR_REFE500_0_0_25,diaria,monetario_cambiario,2002-03,si (usd_of),Comunicación A 3500
reservas_internacionales,92.1_RID_0_0_32,mensual,monetario_cambiario,2003-01,si (reservas),en millones de USD
base_monetaria,331.1_SALDO_BASERIA__15,mensual,monetario_cambiario,2003-01,si (base),
tasa_badlar,89.1_TIB_0_0_20,mensual,monetario_cambiario,1999-01,si (tasa_badlar),
tasa_politica_monetaria,89.1_IR_BCRARIA_0_M_34,mensual,monetario_cambiario,2016-01,si (tasa_leliq aprox.),no hay serie homogénea antes de dic-2015
ipc_nacional,148.3_INIVELNAL_DICI_M_26,mensual,precios,2016-12,si (inflacion_mensual_oficial),no existe medición nacional homogénea antes de dic-2016
canasta_basica_alimentaria,150.1_CSTA_BARIA_0_D_26,mensual,precios,2016-04,no,valor por adulto equivalente; en rigor es la serie de GBA usada como referencia nacional (ver plan)
canasta_basica_total,150.1_CSTA_BATAL_0_D_20,mensual,precios,2016-04,no,idem CBA
emae,143.3_NO_PR_2004_A_21,mensual,actividad,2004-01,no,índice base 2004=100
pbi,166.2_PPIB_0_0_3,trimestral,actividad,2006-01,no,millones de pesos corrientes; base 2004
tasa_desocupacion,42.3_EPH_PUNTUATAL_0_M_30,trimestral,empleo,2003-01,no,"EPH continua total país. UNIDAD: fracción 0-1 (0.074 = 7,4%), pese a que la fuente la describe como ""Porcentaje"" -- no está pre-multiplicada por 100, a diferencia de tasa_badlar/tasa_politica_monetaria/gasto_deuda_publica_pib. Hueco real 2015-10 y 2016-01 (2 trimestres) -- distinto del hueco EPH de 3 trimestres (2015T3-2016T1) ya documentado en eph_client.py para la microdata de Gran La Plata"
tasa_empleo,44.2_ECTET_0_T_30,trimestral,empleo,2003-01,no,"EPH continua total país. Misma salvedad de unidad (fracción 0-1) y mismo hueco (2015-10, 2016-01) que tasa_desocupacion"
tasa_actividad,43.2_ECTAT_0_T_33,trimestral,empleo,2003-01,no,"EPH continua total país. Misma salvedad de unidad (fracción 0-1) y mismo hueco (2015-10, 2016-01) que tasa_desocupacion"
ripte,158.1_REPTE_0_0_5,mensual,ingresos,1994-07,no,serie más larga y estable del catálogo
indice_salarios_total,149.1_TL_INDIIOS_OCTU_0_21,mensual,ingresos,2016-10,no,índice base oct-2016=100
indice_salarios_privado_registrado,149.1_SOR_PRIADO_OCTU_0_25,mensual,ingresos,2015-10,no,índice base oct-2016=100
indice_salarios_publico,149.1_SOR_PUBICO_OCTU_0_14,mensual,ingresos,2015-10,no,índice base oct-2016=100
gasto_deuda_publica_nivel,451.3_GPN_SERVICICA_0_0_27_85,anual,finanzas_publicas,1980-01,no,millones de pesos
gasto_deuda_publica_pib,451.4_GPN_SERVICPIB_0_0_31_93,anual,finanzas_publicas,1980-01,no,% del PBI
comercio_exterior_cobros,183.1_COBROS_EXPNES_0_M_27,mensual,sector_externo,2003-01,no,"Total agregado (dataset 183, ""cobros de exportaciones de bienes""), no un sector -- ver nota en el plan sobre el error de id inicial (dataset 184 es por sector, no trae total). Balance Cambiario BCRA -- base caja, no aduanero"
comercio_exterior_pagos,183.1_PAGOS_IMPONES_0_M_26,mensual,sector_externo,2003-01,no,idem
