anio,trimestre,tramo_etario,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_informalidad,ingreso_ocupacion_principal_medio_todos_ocupados,ingreso_ocupacion_principal_medio_perceptores
2011,1,10-24,0.21534031148582902,0.16953985814964595,0.21268871127827405,0.5464579160364632,1828.136549115881,1828.136549115881
2011,1,25-39,0.7793137786108629,0.7404874524677708,0.049821172432368103,0.2586123086485668,2727.2422658325477,2727.2422658325477
2011,1,40-59,0.8129294844096289,0.7769120332297228,0.044305750831590135,0.18468067095854404,3200.1661972083675,3200.1661972083675
2011,1,60+,0.2643132472397047,0.24592216729458394,0.06958062124083382,0.2697741240322452,3073.2897941111355,3073.2897941111355
2011,2,10-24,0.21159475137631498,0.18001785809320506,0.14923287594667858,0.6448787549764748,1527.9016522681734,1527.9016522681734
2011,2,25-39,0.7993047728515472,0.7496791688520382,0.062085959805379294,0.249561429781699,3047.6992237215222,3047.6992237215222
2011,2,40-59,0.8043318011015288,0.7659700705385984,0.04769391252514716,0.14924024232793723,3509.5239380638295,3509.5239380638295
2011,2,60+,0.2239414199299586,0.21797994269340973,0.026620699459766847,0.06209001753588361,3587.2494249096285,3587.2494249096285
2011,3,10-24,0.2278841935955549,0.19335533599314855,0.15151931802557403,0.719385867554569,1627.0987954410414,1627.0987954410414
2011,3,25-39,0.8305837222225542,0.7775892254282761,0.06380391931167448,0.2407462162511781,3116.2512160448764,3116.2512160448764
2011,3,40-59,0.7938952256462597,0.756656579583505,0.04690624765055259,0.14693169269600884,3854.822001877401,3854.822001877401
2011,3,60+,0.2298618025409216,0.22501095224819787,0.021103333564349572,0.20623286226534487,3394.5283018867926,3394.5283018867926
2011,4,10-24,0.24354604321159148,0.2134293590921719,0.12365909838762751,0.4866521539871677,2180.3236707720034,2180.3236707720034
2011,4,25-39,0.8101134587369607,0.7622576906308817,0.05907292070013323,0.23209956226365133,3518.2751621678176,3518.2751621678176
2011,4,40-59,0.7864230173283864,0.7606223435256656,0.032807627999457724,0.13705892163636796,3920.2950427510164,3920.2950427510164
2011,4,60+,0.24043527978534968,0.23370877211339397,0.027976375505129002,0.24153087478559176,3234.219379597058,3234.219379597058
2012,1,10-24,0.2136066127892327,0.1905478904833605,0.10794947780303248,0.5416997017404764,2094.2400903080147,2094.2400903080147
2012,1,25-39,0.808898328213933,0.7693143642598042,0.04893564811974725,0.30950499371552004,3253.285481155625,3253.285481155625
2012,1,40-59,0.8233874703560045,0.8039382436926565,0.02362098934410399,0.11142271240924458,4176.445199353263,4176.445199353263
2012,1,60+,0.1735235348796358,0.1597634435360507,0.07929812721444238,0.22888724135606928,4268.245372915521,4268.245372915521
2012,2,10-24,0.2427576176960428,0.1933921324857498,0.20335298096434437,0.5538415104463597,2237.896779671296,2237.896779671296
2012,2,25-39,0.8036807237460795,0.7686912573617102,0.04353652557607452,0.23077172845418903,3796.560776407067,3796.560776407067
2012,2,40-59,0.8560025622990354,0.834819634244373,0.024746337204610315,0.15272363032868183,4104.372165801549,4104.372165801549
2012,2,60+,0.21466497509632554,0.1970679447420355,0.08197438984349349,0.30351056578050445,3401.845890955333,3401.845890955333
2012,3,10-24,0.2303315232439213,0.18111441987670296,0.21367940729110446,0.5742077430810206,2220.028703357045,2220.028703357045
2012,3,25-39,0.803343529450116,0.7529515313191022,0.06272783222080197,0.263618627534142,3796.1883595745603,3796.1883595745603
2012,3,40-59,0.8128178079855475,0.7947015684317578,0.022288192231772332,0.14991054056960726,4617.781114378825,4617.781114378825
2012,3,60+,0.22995496333792384,0.22995496333792384,0.0,0.30444104134762634,4017.757599300767,4017.757599300767
2012,4,10-24,0.1597662039221346,0.12786069927896224,0.19970121252127992,0.6802690582959642,2209.1617104406337,2209.1617104406337
2012,4,25-39,0.7973780883094432,0.7638617235246206,0.042033215203946914,0.2700965756363222,3924.165935253625,3924.165935253625
2012,4,40-59,0.8305629885451405,0.8041337674492177,0.031820850989541176,0.15960772732364534,4159.7183955150485,4159.7183955150485
2012,4,60+,0.23807359307359308,0.23534632034632036,0.011455586871533776,0.4941118475105439,3906.189644072473,3906.189644072473
2013,1,10-24,0.20820854198050576,0.19259051962821605,0.07501143902997026,0.5464062125825322,3011.5970938321225,3011.5970938321225
2013,1,25-39,0.8474677644447078,0.7967152871698987,0.05988720681082662,0.2081949841045567,4191.164615176518,4191.164615176518
2013,1,40-59,0.8121583001988072,0.7983846918489066,0.01695926563396443,0.20422357352398346,4867.313747004077,4867.313747004077
2013,1,60+,0.17628834424528372,0.17628834424528372,0.0,0.15560602703301574,5698.266494452443,5698.266494452443
2013,2,10-24,0.28640286757644523,0.22556473761797863,0.21242151125539277,0.6194099275699382,2838.02481288643,2838.02481288643
2013,2,25-39,0.8322497149724216,0.7729228936205179,0.0712848803485258,0.2591836573227948,4587.724169778475,4587.724169778475
2013,2,40-59,0.8690968039006667,0.8534411525385242,0.01801370260697904,0.19885199663516256,5132.4101639295795,5132.4101639295795
