anio,trimestre,var_interanual_pct,confianza,boletin_fuente
2018,1,2.8,alta,1T2025
2018,2,-3.2,alta,1T2025
2018,3,-6.7,alta,1T2025
2018,4,-8.5,alta,1T2025
2019,1,-10.4,alta,1T2025
2019,2,-7.0,alta,1T2025
2019,3,-4.6,alta,1T2025
2019,4,0.6,alta,1T2025
2020,1,-8.0,alta,1T2025
2020,2,-22.1,alta,1T2025
2020,3,-15.3,alta,1T2025
2020,4,-3.5,alta,1T2025
2021,1,3.0,alta,1T2025
2021,2,27.9,alta,1T2025
2021,3,14.3,alta,1T2025
2021,4,6.9,alta,1T2025
2022,1,5.3,alta,1T2025
2022,2,3.9,alta,1T2025
2022,3,1.2,alta,1T2025
2022,4,2.3,alta,1T2025
2023,1,2.0,alta,1T2025
2023,2,1.5,alta,1T2025
2023,3,0.2,alta,1T2025
2023,4,-5.8,alta,1T2025
2024,1,-7.3,alta,1T2025
2024,2,-5.8,alta,1T2025
2024,3,-2.4,alta,1T2025
2024,4,,faltante,
2025,1,4.2,alta,4T2025
2025,2,3.8,media,4T2025
2025,3,2.2,media,4T2025
2025,4,-0.9,alta,4T2025
