año,mes,icg_la_plata,icg_pais,brecha,n_la_plata,n_pais
2001,11,,1.036523,,,600
2001,12,,0.75665617,,,601
2002,1,,1.3573885,,,602
2002,2,,0.982509,,,600
2002,3,,0.8615673,,,603
2002,4,,0.78325313,,,601
2002,5,,0.46615788,,,602
2002,6,,0.4826169,,,602
2002,7,,0.40158096,,,602
2002,8,,0.42703524,,,625
2002,9,,0.32289863,,,600
2002,10,,0.50720006,,,600
2002,11,,0.71885794,,,600
2002,12,,0.70207554,,,601
2003,1,,0.90729,,,800
2003,2,,0.82803094,,,800
2003,3,,0.8852465,,,801
2003,4,,0.8431708,,,808
2003,5,,1.2190962,,,800
2003,6,,3.142688,,,802
2003,7,,3.262584,,,804
2003,8,,3.195294,,,801
2003,9,,2.86873,,,801
2003,10,,2.9209855,,,801
2003,11,,2.7847338,,,800
2003,12,,2.652758,,,799
2004,1,,2.9854946,,,795
2004,2,,3.316434,,,802
2004,3,,3.1413488,,,801
2004,4,,2.6784818,,,800
2004,5,,2.6355457,,,800
2004,6,,2.6851683,,,798
2004,7,,2.488281,,,800
2004,8,,2.0716703,,,802
2004,9,,2.1308908,,,800
2004,10,,2.2676036,,,800
2004,11,,2.4604735,,,801
2004,12,,2.4290643,,,810
2005,1,,2.3515558,,,800
2005,2,,2.3869128,,,802
2005,3,,2.8000479,,,801
2005,4,,2.4892857,,,800
2005,5,,2.3712044,,,800
2005,6,,2.311606,,,800
2005,7,,2.0700946,,,803
2005,8,,2.4206128,,,801
2005,9,,2.114266,,,800
2005,10,,2.1918445,,,800
2005,11,,2.422091,,,800
2005,12,,2.2615557,,,800
2006,1,,2.632394,,,802
2006,2,,2.622481,,,800
2006,3,,2.7017198,,,800
2006,4,,2.5368514,,,802
2006,5,,2.4966674,,,801
2006,6,,2.6917496,,,801
2006,7,,2.5335968,,,800
2006,8,,2.4123166,,,801
2006,9,,2.4807434,,,803
2006,10,,2.5433333,,,788
2006,11,,2.4376338,,,799
2006,12,,2.3340573,,,802
2007,1,,2.687876,,,801
2007,2,,2.5826955,,,802
2007,3,,2.594649,,,801
2007,4,,2.143407,,,800
2007,5,,2.22958,,,800
2007,6,,2.0747118,,,799
2007,7,,1.9988102,,,805
2007,8,,1.8639983,,,801
2007,9,,1.8891346,,,800
2007,10,,1.6782936,,,800
2007,11,,1.9806715,,,802
2007,12,,2.0437558,,,799
2008,1,,2.369079,,,843
2008,2,,1.9765222,,,784
2008,3,1.4285715,1.8399081,-0.41133666,21.0,1203
2008,4,1.9565217,1.7394639,0.21705782,23.0,1198
2008,5,1.2857143,1.3251413,-0.039427042,28.0,1204
2008,6,0.83333343,1.2076209,-0.37428743,30.0,1217
2008,7,0.77777785,1.2687429,-0.49096507,18.0,1221
2008,8,1.6296297,1.3946799,0.23494983,27.0,1209
2008,9,0.9,1.4418354,-0.5418354,40.0,1204
2008,10,1.3428571,1.3792139,-0.036356807,35.0,1214
2008,11,1.0,1.4278694,-0.42786944,17.0,1165
2008,12,1.7692307,1.3677204,0.40151036,13.0,1205
2009,1,1.0454546,1.5045873,-0.45913267,22.0,1201
2009,2,1.2777778,1.374955,-0.09717727,18.0,1198
2009,3,1.6,1.3578119,0.2421881,20.0,1205
2009,4,1.25,1.353924,-0.103924036,20.0,1198
2009,5,1.7777778,1.3216586,0.45611918,18.0,1204
2009,6,1.125,1.340302,-0.21530199,24.0,1214
2009,7,1.0434784,1.2347846,-0.19130623,23.0,1203
2009,8,1.0,1.1109501,-0.11095011,18.0,1206
2009,9,1.4736842,1.2235606,0.25012362,19.0,1202
2009,10,1.2142857,1.1456895,0.068596244,28.0,1208
2009,11,1.2173913,1.1585518,0.05883944,23.0,1202
2009,12,0.7083333,1.0443641,-0.33603078,24.0,1196
2010,1,1.5217391,1.2279929,0.29374623,23.0,1296
2010,2,1.0000001,1.2178468,-0.21784663,12.0,1108
2010,3,1.2800001,1.3337739,-0.05377376,25.0,1005
2010,4,1.0384616,1.3902211,-0.35175955,26.0,1201
2010,5,1.8125,1.591854,0.22064602,16.0,1229
2010,6,2.1764705,1.610034,0.5664365,17.0,1205
2010,7,1.0714285,1.7070893,-0.63566077,28.0,1371
2010,8,1.4011956,1.7785171,-0.37732148,25.0,1417
2010,9,1.25,1.7759796,-0.52597964,20.0,818
2010,10,1.15625,1.7037137,-0.54746366,32.0,1209
2010,11,2.1379309,2.4218976,-0.28396678,29.0,1210
2010,12,1.4375,2.3362248,-0.8987248,16.0,1196
2011,1,1.5882353,2.125428,-0.5371927,17.0,1207
2011,2,2.1739132,2.1786108,-0.0046975613,23.0,1075
2011,3,2.521739,2.4216988,0.1000402,23.0,1336
2011,4,2.3809524,2.1729782,0.2079742,21.0,1131
2011,5,2.3076923,2.3384838,-0.030791521,26.0,1147
2011,6,2.3478262,2.3126967,0.035129547,23.0,1211
2011,7,1.2764562,2.3854988,-1.1090425,22.0,1538
2011,8,1.8571427,2.3377197,-0.480577,14.0,964
2011,9,2.047619,2.6196613,-0.5720422,21.0,1205
2011,10,1.9831866,2.6218169,-0.6386303,22.0,1320
2011,11,1.1666666,2.687811,-1.5211443,6.0,1006
2011,12,2.2857144,2.7104712,-0.42475677,14.0,1208
2012,1,2.2766666,2.7491195,-0.47245288,15.0,1205
2012,2,2.7142859,2.4934132,0.22087264,14.0,1421
2012,3,2.5,2.2586558,0.24134421,8.0,1197
2012,4,1.875,1.8896799,-0.014679909,16.0,1017
2012,5,1.0,2.1415381,-1.1415381,15.0,1197
2012,6,2.25,1.9857274,0.26427257,8.0,1236
2012,7,0.5,1.8332213,-1.3332213,10.0,1381
2012,8,0.4373432,1.7565434,-1.3192002,16.0,1330
2012,9,1.25,1.7122264,-0.4622264,16.0,884
2012,10,1.480968,1.6274712,-0.14650321,15.0,1399
2012,11,1.3603121,1.7548834,-0.3945713,21.0,1012
2012,12,1.0000001,1.8389816,-0.8389815,10.0,1201
2013,1,1.7333335,1.7623827,-0.029049277,15.0,1206
2013,2,0.94036204,1.8320243,-0.8916623,7.0,493
2013,3,1.5,1.913988,-0.413988,20.0,1215
2013,4,1.2142857,1.758607,-0.5443213,28.0,1216
2013,5,1.2,1.4201472,-0.22014713,25.0,1195
2013,6,1.4333334,1.7441266,-0.31079316,30.0,1206
2013,7,1.9310347,1.679016,0.2520187,29.0,1206
2013,8,1.5,1.8688059,-0.3688059,32.0,1208
2013,9,1.5000001,1.7716092,-0.27160907,28.0,1211
2013,10,1.9670175,1.9162456,0.05077195,37.0,1590
2013,11,2.777778,1.9041387,0.8736392,18.0,820
2013,12,2.7741935,1.6809168,1.0932767,31.0,1206
2014,1,1.6428572,1.462484,0.18037319,28.0,1211
