año,mes,sexo,n,icg
2001,11,0,335,0.9826479
2001,11,1,265,1.0993868
2001,12,0,341,0.6757455
2001,12,1,260,0.85745746
2002,1,0,358,1.3183602
2002,1,1,244,1.4145
2002,2,0,335,1.0014216
2002,2,1,265,0.96022916
2002,3,0,342,0.7246814
2002,3,1,261,1.0252854
2002,4,0,340,0.7919369
2002,4,1,261,0.7724425
2002,5,0,340,0.4569922
2002,5,1,262,0.4782543
2002,6,0,337,0.35792467
2002,6,1,265,0.6319721
2002,7,0,334,0.3683588
2002,7,1,268,0.44220626
2002,8,0,362,0.44220465
2002,8,1,263,0.4053619
2002,9,0,339,0.3400159
2002,9,1,261,0.30139405
2002,10,0,341,0.4669677
2002,10,1,259,0.5601834
2002,11,0,339,0.6458166
2002,11,1,261,0.8076306
2002,12,0,331,0.7780262
2002,12,1,270,0.6105517
2003,1,0,441,0.84929514
2003,1,1,359,0.9757922
2003,2,0,442,0.7329156
2003,2,1,358,0.9406158
2003,3,0,444,0.77952486
2003,3,1,357,1.0104439
2003,4,0,443,0.7670311
2003,4,1,365,0.9306713
2003,5,0,483,1.0829085
2003,5,1,317,1.4430442
2003,6,0,453,3.2163775
2003,6,1,349,3.050126
2003,7,0,451,3.1800716
2003,7,1,353,3.3646052
2003,8,0,448,3.2474084
2003,8,1,353,3.132152
2003,9,0,434,2.8524904
2003,9,1,367,2.8891566
2003,10,0,435,2.834686
2003,10,1,366,3.0205631
2003,11,0,435,2.770661
2003,11,1,365,2.800974
2003,12,0,442,2.6102595
2003,12,1,357,2.7037833
2004,1,0,441,2.9697924
2004,1,1,354,3.004226
2004,2,0,437,3.3103154
2004,2,1,365,3.3235312
2004,3,0,437,3.1070127
2004,3,1,364,3.1810913
2004,4,0,438,2.6324368
2004,4,1,362,2.7329736
2004,5,0,443,2.6183107
2004,5,1,357,2.6559877
2004,6,0,439,2.6365738
2004,6,1,359,2.7432382
2004,7,0,437,2.3040748
2004,7,1,363,2.7024584
2004,8,0,440,1.9733855
2004,8,1,362,2.1880562
2004,9,0,434,1.956716
2004,9,1,366,2.3304436
2004,10,0,437,2.2211072
2004,10,1,363,2.321665
2004,11,0,435,2.3861997
2004,11,1,366,2.5460014
2004,12,0,448,2.3647335
2004,12,1,362,2.5052192
2005,1,0,441,2.3652291
2005,1,1,359,2.3352757
2005,2,0,443,2.3856251
2005,2,1,359,2.3884387
2005,3,0,444,2.680086
2005,3,1,357,2.9427755
2005,4,0,441,2.3796227
2005,4,1,359,2.6184368
2005,5,0,447,2.3565369
2005,5,1,353,2.3893633
2005,6,0,442,2.271005
2005,6,1,358,2.359728
2005,7,0,444,2.0084574
2005,7,1,359,2.1431499
2005,8,0,435,2.1739874
2005,8,1,366,2.704424
2005,9,0,436,2.0754128
2005,9,1,364,2.159523
2005,10,0,436,2.0200453
2005,10,1,364,2.3911428
2005,11,0,434,2.320825
2005,11,1,366,2.5389879
2005,12,0,440,2.1885495
2005,12,1,360,2.348397
2006,1,0,443,2.6079466
2006,1,1,359,2.661949
2006,2,0,435,2.5876052
2006,2,1,365,2.6630797
2006,3,0,438,2.6018465
2006,3,1,362,2.8198116
2006,4,0,443,2.5196292
2006,4,1,359,2.5572388
2006,5,0,442,2.4945128
2006,5,1,359,2.4992304
2006,6,0,441,2.6601677
2006,6,1,360,2.7292342
2006,7,0,444,2.5982754
2006,7,1,356,2.4467986
2006,8,0,438,2.2360542
2006,8,1,363,2.618278
2006,9,0,453,2.4361625
2006,9,1,350,2.5350811
2006,10,0,461,2.4078133
2006,10,1,327,2.7142038
2006,11,0,437,2.5693533
2006,11,1,362,2.2836096
2006,12,0,436,2.357769
2006,12,1,366,2.306268
2007,1,0,436,2.5815578
2007,1,1,365,2.811072
2007,2,0,436,2.580737
2007,2,1,366,2.5849473
2007,3,0,442,2.5261893
2007,3,1,359,2.6771185
2007,4,0,443,1.9816036
2007,4,1,357,2.3363295
2007,5,0,448,2.2191772
2007,5,1,352,2.2421756
2007,6,0,453,2.0075443
2007,6,1,346,2.1572213
2007,7,0,459,1.9520587
2007,7,1,346,2.0567162
2007,8,0,452,1.8085684
2007,8,1,349,1.9303178
2007,9,0,430,1.797814
2007,9,1,370,1.9917014
2007,10,0,430,1.6221932
2007,10,1,370,1.7414889
2007,11,0,433,1.9671211
2007,11,1,369,1.9963728
2007,12,0,424,1.9223468
2007,12,1,375,2.178611
2008,1,0,448,2.2284048
2008,1,1,395,2.5281937
2008,2,0,438,1.9390528
2008,2,1,346,2.023424
2008,3,0,689,1.7632685
2008,3,1,514,1.9447374
2008,4,0,660,1.6822386
2008,4,1,538,1.8082143
2008,5,0,664,1.278627
2008,5,1,540,1.3841692
2008,6,0,678,1.0642666
2008,6,1,539,1.3806323
2008,7,0,686,1.240064
2008,7,1,535,1.3041098
2008,8,0,672,1.321159
2008,8,1,537,1.4877992
2008,9,0,691,1.3800305
2008,9,1,513,1.526048
2008,10,0,688,1.2981569
2008,10,1,526,1.4827052
2008,11,0,670,1.275502
2008,11,1,495,1.6299891
2008,12,0,674,1.3386147
2008,12,1,531,1.4046971
2009,1,0,706,1.4314475
2009,1,1,495,1.6061549
2009,2,0,691,1.3304642
2009,2,1,507,1.4372381
2009,3,0,688,1.2478247
2009,3,1,517,1.4978688
2009,4,0,715,1.2433639
2009,4,1,483,1.5162942
2009,5,0,692,1.2633843
2009,5,1,512,1.3968189
2009,6,0,722,1.2659838
2009,6,1,492,1.451158
2009,7,0,697,1.1722665
2009,7,1,506,1.318054
2009,8,0,701,1.0337262
2009,8,1,505,1.2140607
2009,9,0,677,1.1233177
2009,9,1,525,1.3534219
2009,10,0,699,1.1147189
2009,10,1,509,1.1881071
2009,11,0,696,1.0355414
2009,11,1,506,1.3209774
2009,12,0,693,0.9408285
2009,12,1,503,1.1940951
2010,1,0,769,1.1587816
2010,1,1,527,1.326248
2010,2,0,622,1.1176624
2010,2,1,486,1.3482597
2010,3,0,573,1.2020887
2010,3,1,432,1.5143063
2010,4,0,696,1.3158648
2010,4,1,505,1.4887244
2010,5,0,733,1.4313396
2010,5,1,496,1.8247478
2010,6,0,673,1.4908067
2010,6,1,532,1.7600425
2010,7,0,763,1.6438057
2010,7,1,608,1.7866615
2010,8,0,811,1.683596
2010,8,1,606,1.9062469
2010,9,0,452,1.5195184
2010,9,1,366,2.0798116
2010,10,0,704,1.528373
2010,10,1,505,1.9392226
2010,11,0,722,2.335045
2010,11,1,488,2.5527058
2010,12,0,710,2.2051811
2010,12,1,486,2.5253985
2011,1,0,677,2.0145822
2011,1,1,530,2.264975
2011,2,0,658,2.0940592
2011,2,1,417,2.3106952
2011,3,0,782,2.3039255
2011,3,1,554,2.5853412
2011,4,0,666,2.118127
2011,4,1,465,2.2517557
2011,5,0,654,2.2771845
2011,5,1,493,2.4195704
2011,6,0,668,2.21509
2011,6,1,543,2.434277
2011,7,0,917,2.3199983
2011,7,1,621,2.4806938
2011,8,0,576,2.3585172
2011,8,1,388,2.3055649
2011,9,0,683,2.487268
2011,9,1,522,2.791946
2011,10,0,754,2.4719512
2011,10,1,566,2.787464
2011,11,0,576,2.4746976
2011,11,1,430,2.971265
2011,12,0,705,2.5828838
2011,12,1,503,2.8851857
2012,1,0,685,2.5772138
2012,1,1,520,2.9320505
2012,2,0,838,2.495665
2012,2,1,583,2.4903343
2012,3,0,681,2.1759427
2012,3,1,516,2.3638964
2012,4,0,588,1.9089575
2012,4,1,429,1.8636808
2012,5,0,679,2.1091065
2012,5,1,518,2.1847658
2012,6,0,727,1.9138678
2012,6,1,509,2.0871305
2012,7,0,819,1.8234586
2012,7,1,562,1.8473402
2012,8,0,768,1.6056787
2012,8,1,562,1.9578983
2012,9,0,499,1.5534029
2012,9,1,385,1.919522
2012,10,0,807,1.4512423
2012,10,1,592,1.8698689
2012,11,0,592,1.6230831
2012,11,1,420,1.941322
2012,12,0,713,1.7851429
2012,12,1,488,1.9175886
2013,1,0,690,1.6064124
2013,1,1,516,1.964809
2013,2,0,313,1.7205291
2013,2,1,180,1.9619575
2013,3,0,694,1.8435788
2013,3,1,521,2.0072873
2013,4,0,716,1.6582894
2013,4,1,500,1.9007977
2013,5,0,707,1.3829988
2013,5,1,488,1.4740763
2013,6,0,741,1.6181761
2013,6,1,465,1.947085
2013,7,0,713,1.507493
2013,7,1,493,1.9247174
2013,8,0,732,1.7879511
2013,8,1,476,1.996345
2013,9,0,730,1.6316026
2013,9,1,481,1.9811763
2013,10,0,957,1.8541002
2013,10,1,633,2.010609
2013,11,0,452,1.8999181
2013,11,1,368,1.909308
2013,12,0,741,1.5839851
2013,12,1,465,1.8329103
2014,1,0,739,1.3878156
2014,1,1,472,1.5772947
2014,2,0,710,1.2605945
2014,2,1,518,1.5506439
2014,3,0,703,1.3556839
2014,3,1,498,1.7899114
2014,4,0,699,1.2424828
2014,4,1,506,1.6161519
2014,5,0,591,1.4333478
2014,5,1,418,1.618311
2014,6,0,707,1.6595343
2014,6,1,493,1.7569441
2014,7,0,718,1.8117666
2014,7,1,483,1.9613717
2014,8,0,678,1.7584506
2014,8,1,527,1.8999405
2014,9,0,696,1.560457
2014,9,1,513,1.8972056
2014,10,0,693,1.5765212
2014,10,1,513,1.7390071
2014,11,0,716,1.4243634
2014,11,1,487,1.866908
2014,12,0,705,1.560643
2014,12,1,504,1.7382135
2015,1,0,696,1.6955688
2015,1,1,508,2.0065012
2015,2,0,731,1.5537024
2015,2,1,469,1.8094274
2015,3,0,754,1.7646903
2015,3,1,451,2.027271
2015,4,0,720,1.75913
2015,4,1,480,2.104526
2015,5,0,702,2.0079265
2015,5,1,500,2.2030199
2015,6,0,700,1.81738
2015,6,1,500,2.1013649
2015,7,0,707,1.9412564
2015,7,1,502,2.1671977
2015,8,0,694,1.7813337
2015,8,1,512,2.100827
2015,9,0,695,1.5855963
2015,9,1,509,2.0431461
2015,10,0,706,1.8056802
2015,10,1,502,2.0493464
2015,11,0,701,1.6565524
2015,11,1,502,1.8789133
2015,12,0,727,1.752509
2015,12,1,476,1.8675554
2016,1,0,726,3.2250845
2016,1,1,480,3.0094001
2016,2,0,691,2.886648
2016,2,1,516,2.8289087
2016,3,0,699,3.1603863
2016,3,1,506,2.8590937
2016,4,0,693,2.7997692
2016,4,1,515,2.620579
2016,5,0,692,2.6869886
2016,5,1,509,2.5379014
2016,6,0,777,2.698542
2016,6,1,555,2.4792724
2016,7,0,621,2.7896087
2016,7,1,460,2.6382902
2016,8,0,703,2.5369852
2016,8,1,501,2.4995337
2016,9,0,847,2.557525
2016,9,1,587,2.5062609
2016,10,0,563,2.7287588
2016,10,1,420,2.5405693
2016,11,0,712,2.5323339
2016,11,1,489,2.4926581
2016,12,0,699,2.641301
2016,12,1,513,2.2954094
2017,1,0,698,2.5167415
2017,1,1,501,2.3863204
2017,2,0,698,2.466438
2017,2,1,502,2.1914678
2017,3,0,702,2.3220956
2017,3,1,503,2.3044076
2017,4,0,730,2.6600919
2017,4,1,471,2.5368695
2017,5,0,702,2.5119169
2017,5,1,500,2.524396
2017,6,0,698,2.360389
2017,6,1,503,2.201342
2017,7,0,686,2.3949955
2017,7,1,514,2.0262392
2017,8,0,684,2.5245335
2017,8,1,515,2.541593
2017,9,0,704,2.8706625
2017,9,1,501,2.8332446
2017,10,0,698,2.8512478
2017,10,1,503,2.7956572
2017,11,0,716,2.9539213
2017,11,1,484,2.9852242
2017,12,0,702,2.483767
2017,12,1,498,2.1995819
2018,1,0,668,2.3126523
2018,1,1,532,2.236547
2018,2,0,698,2.4617972
2018,2,1,506,2.1387422
2018,3,0,693,2.2531838
2018,3,1,518,2.4087667
2018,4,0,697,2.1350446
2018,4,1,503,1.9679195
2018,5,0,676,1.9784112
2018,5,1,526,1.8856974
2018,6,0,688,1.994861
2018,6,1,513,2.1063614
2018,7,0,677,2.0197532
2018,7,1,525,2.0070956
2018,8,0,688,2.0014415
2018,8,1,513,1.8688961
2018,9,0,686,1.8032596
2018,9,1,520,1.6794083
2018,10,0,698,1.8878762
2018,10,1,509,1.5963528
2018,11,0,735,1.8349532
2018,11,1,474,1.6631916
2018,12,0,710,1.9927889
2018,12,1,488,1.8275565
2019,1,0,717,1.6896479
2019,1,1,498,1.5381601
2019,2,0,693,1.8612944
2019,2,1,509,1.6996373
2019,3,0,687,1.7371724
2019,3,1,513,1.4159039
2019,4,0,707,1.5989982
2019,4,1,503,1.4304762
2019,5,0,734,1.7036355
2019,5,1,546,1.5108826
2019,6,0,789,2.0091639
2019,6,1,588,1.7745143
2019,7,0,522,1.9617352
2019,7,1,444,1.9051118
2019,8,0,693,2.3075042
2019,8,1,512,2.0601964
2019,9,0,647,2.1161263
2019,9,1,553,1.6785098
2019,10,0,670,2.0551631
2019,10,1,531,1.9570124
2019,11,0,656,2.1145658
2019,11,1,545,1.8168795
2019,12,0,687,2.1079292
2019,12,1,520,1.7810863
2020,1,0,728,2.2901864
2020,1,1,479,2.3732338
2020,2,0,696,2.2155375
2020,2,1,506,2.3426213
2020,3,0,780,2.3179975
2020,3,1,579,2.3738828
2020,4,0,579,3.4024694
2020,4,1,469,3.071504
2020,5,0,701,3.0762222
2020,5,1,504,2.898447
2020,6,0,686,2.8247359
2020,6,1,515,2.7001908
2020,7,0,676,2.5345602
2020,7,1,526,2.523183
2020,8,0,699,2.2879362
2020,8,1,505,2.504448
2020,9,0,820,2.1985888
2020,9,1,550,2.286784
2020,10,0,630,2.04276
2020,10,1,403,1.9071387
2020,11,0,701,1.9402984
2020,11,1,501,2.132104
2020,12,0,722,1.8094039
2020,12,1,481,1.9192969
2021,1,0,716,1.8388247
2021,1,1,485,1.9295437
2021,2,0,705,1.727553
2021,2,1,500,1.9409906
2021,3,0,679,1.7132349
2021,3,1,521,1.8719863
2021,4,0,672,1.759346
2021,4,1,532,1.7017976
2021,5,0,647,1.9150561
2021,5,1,553,1.9511045
2021,6,0,688,1.7374179
2021,6,1,513,1.6571425
2021,7,0,644,1.6140267
2021,7,1,557,1.795749
2021,8,0,939,1.5920366
2021,8,1,779,1.953962
2021,9,0,333,1.5328954
2021,9,1,346,1.7029954
2021,10,0,627,1.5203081
2021,10,1,575,1.5281286
2021,11,0,653,1.4106263
2021,11,1,549,1.50624
2021,12,0,661,1.2977227
2021,12,1,539,1.5688094
2022,1,0,642,1.4562865
2022,1,1,538,1.6433407
2022,2,0,635,1.4494584
2022,2,1,569,1.536972
2022,3,0,775,1.412632
2022,3,1,617,1.575733
2022,4,0,519,1.3555652
2022,4,1,491,1.554514
2022,5,0,575,1.2655857
2022,5,1,507,1.3459446
2022,6,0,546,1.352925
2022,6,1,462,1.4578387
2022,7,0,542,1.1316545
2022,7,1,476,1.0989774
2022,8,0,525,1.0695618
2022,8,1,476,1.2998857
2022,9,0,686,1.1753981
2022,9,1,518,1.2917986
2022,10,0,405,1.1785091
2022,10,1,394,1.4273688
2022,11,0,541,1.204768
