año,edad,n,icg
2011,1,73,2.7416189
2011,2,73,2.0201933
2011,3,86,1.4963818
2012,1,39,1.9699179
2012,2,61,1.7216568
2012,3,64,0.97979563
2013,1,77,2.0781982
2013,2,109,1.8715163
2013,3,114,1.5637096
2014,1,96,1.7332124
2014,2,124,1.816185
2014,3,148,1.2113067
2015,1,81,2.2136204
2015,2,130,2.1697462
2015,3,133,1.536377
2016,1,86,2.478993
2016,2,147,2.5649116
2016,3,155,2.877239
2017,1,77,2.1022224
2017,2,160,2.4558318
2017,3,169,3.0178928
2018,1,74,1.8985034
2018,2,166,1.7904323
2018,3,190,2.3979871
2019,1,65,1.1954509
2019,2,170,1.6858331
2019,3,208,2.1713674
2020,1,82,3.0506995
2020,2,170,2.8979876
2020,3,262,2.2798455
2021,1,137,1.8260498
2021,2,257,2.1839423
2021,3,276,1.5368929
2022,1,83,1.0669289
2022,2,264,1.3532617
2022,3,243,1.3521851
2023,1,82,1.447395
2023,2,232,1.4579433
2023,3,265,1.5140371
2024,1,93,2.2964225
2024,2,273,2.3676364
2024,3,269,2.5411007
2025,1,64,2.6768963
2025,2,226,2.2054515
2025,3,226,2.2202551
2026,1,33,2.3762295
2026,2,95,1.7382998
2026,3,216,2.14692
