año,edu,n,icg
2011,1.0,19,2.655189
2011,2.0,62,1.8281492
2011,3.0,150,2.054917
2012,1.0,9,1.821458
2012,2.0,37,1.420963
2012,3.0,116,1.4532778
2013,1.0,33,2.0422118
2013,2.0,84,1.5911007
2013,3.0,183,1.8678045
2014,1.0,37,1.1820078
2014,2.0,119,1.6562551
2014,3.0,212,1.5584248
2015,1.0,23,2.0493448
2015,2.0,115,1.8669629
2015,3.0,206,1.9550323
2016,1.0,29,2.188615
2016,2.0,120,2.64557
2016,3.0,239,2.741458
2017,1.0,37,2.4182663
2017,2.0,135,2.4851797
2017,3.0,234,2.7210166
2018,1.0,39,2.53375
2018,2.0,116,1.8317144
2018,3.0,275,2.1218228
2019,1.0,39,1.4968195
2019,2.0,122,1.7538534
2019,3.0,282,1.9262456
2020,1.0,29,2.6605217
2020,2.0,139,2.3429751
2020,3.0,346,2.7081118
2021,1.0,44,1.6204059
2021,2.0,179,1.6752799
2021,3.0,447,1.932415
2022,1.0,34,1.8583332
2022,2.0,161,1.1452495
2022,3.0,395,1.332787
2023,1.0,37,1.2937466
2023,2.0,173,1.4660888
2023,3.0,369,1.5083948
2024,1.0,27,1.3194147
2024,2.0,180,2.6594334
2024,3.0,428,2.405232
2025,1.0,40,1.8002415
2025,2.0,131,2.3142622
2025,3.0,345,2.3079143
2026,1.0,22,1.8807964
2026,2.0,77,1.8839815
2026,3.0,245,2.1262662
