año,sexo,n,icg
2011,0,111,1.9148163
2011,1,121,2.1929076
2012,0,86,1.2213739
2012,1,78,1.7812455
2013,0,178,1.7457947
2013,1,122,1.9044415
2014,0,207,1.3331435
2014,1,161,1.8352517
2015,0,199,1.9846585
2015,1,145,1.8597163
2016,0,231,2.7867906
2016,1,157,2.4999154
2017,0,236,2.668416
2017,1,170,2.5457222
2018,0,245,2.0893245
2018,1,185,2.0648296
2019,0,258,1.940739
2019,1,185,1.7017951
2020,0,298,2.512427
2020,1,216,2.735756
2021,0,359,1.7904406
2021,1,311,1.9043618
2022,0,329,1.2396438
2022,1,261,1.4037504
2023,0,320,1.4507684
2023,1,259,1.5210124
2024,0,350,2.139707
2024,1,285,2.7875085
2025,0,274,2.0167434
2025,1,242,2.5569773
2026,0,176,1.6426251
2026,1,168,2.4875617
