año,mes,edad,n,icg
2011,1,1,334,2.2191434
2011,1,2,448,2.213709
2011,1,3,425,1.9484973
2011,2,1,285,2.328217
2011,2,2,392,2.3587277
2011,2,3,398,1.8826909
2011,3,1,373,2.5358949
2011,3,2,480,2.5522768
2011,3,3,483,2.1903331
2011,4,1,307,2.3589323
2011,4,2,399,2.1507678
2011,4,3,425,2.05112
2011,5,1,303,2.6117935
2011,5,2,436,2.362667
2011,5,3,408,2.1045644
2011,6,1,326,2.5075762
2011,6,2,458,2.3417058
2011,6,3,427,2.1185832
2011,7,1,380,2.6863363
2011,7,2,581,2.4919217
2011,7,3,577,2.0668364
2011,8,1,260,2.5833635
2011,8,2,349,2.5684814
2011,8,3,355,1.9234413
2011,9,1,297,2.5914252
2011,9,2,452,2.7971349
2011,9,3,456,2.4572241
2011,10,1,339,2.657376
2011,10,2,507,2.7722824
2011,10,3,474,2.4050121
2011,11,1,272,2.6527014
2011,11,2,363,2.8169954
2011,11,3,371,2.5844364
2011,12,1,327,2.926849
2011,12,2,442,2.7163446
2011,12,3,439,2.5316558
2012,1,1,296,3.096882
2012,1,2,455,2.6423314
2012,1,3,454,2.53735
2012,2,1,355,2.6903641
2012,2,2,519,2.497591
2012,2,3,547,2.3477943
2012,3,1,305,2.5454977
2012,3,2,450,2.2829769
2012,3,3,442,2.0227904
2012,4,1,274,2.0638936
2012,4,2,366,1.9012148
2012,4,3,377,1.7409955
2012,5,1,302,2.3314152
2012,5,2,443,2.1534147
2012,5,3,452,1.9913787
2012,6,1,325,2.1492689
2012,6,2,448,2.1124392
2012,6,3,463,1.7428685
2012,7,1,334,1.9013237
2012,7,2,502,1.9025832
2012,7,3,545,1.7221546
2012,8,1,336,2.0645752
2012,8,2,477,1.7299217
2012,8,3,517,1.5739304
2012,9,1,245,1.7818171
2012,9,2,338,1.7213118
2012,9,3,301,1.641052
2012,10,1,350,1.8781586
2012,10,2,526,1.6660519
2012,10,3,523,1.4109389
2012,11,1,260,1.8599095
2012,11,2,356,1.8364308
2012,11,3,396,1.6070417
2012,12,1,284,1.9513274
2012,12,2,416,1.8986173
2012,12,3,501,1.7199206
2013,1,1,285,1.9705449
2013,1,2,428,1.9349182
2013,1,3,493,1.4677237
2013,2,1,93,2.0586529
2013,2,2,180,1.9662111
2013,2,3,220,1.5290064
2013,3,1,308,2.152184
2013,3,2,446,1.8012767
2013,3,3,461,1.8614548
2013,4,1,274,1.8261409
2013,4,2,462,1.7160407
2013,4,3,480,1.7607917
2013,5,1,280,1.3972069
2013,5,2,427,1.6736509
2013,5,3,488,1.1972482
2013,6,1,268,2.0121307
2013,6,2,439,1.769788
2013,6,3,499,1.5663766
2013,7,1,296,1.8613459
2013,7,2,422,1.6917362
2013,7,3,488,1.5468947
2013,8,1,268,2.2661688
2013,8,2,429,1.9342438
2013,8,3,511,1.5792228
2013,9,1,276,1.97627
2013,9,2,431,1.8087337
2013,9,3,504,1.6172322
2013,10,1,348,2.1014953
2013,10,2,533,2.0662267
2013,10,3,709,1.6945657
2013,11,1,204,2.0056505
2013,11,2,327,1.9985012
2013,11,3,289,1.7013835
2013,12,1,297,1.8351648
2013,12,2,430,1.8159859
2013,12,3,479,1.4486197
2014,1,1,250,1.8174781
2014,1,2,432,1.3929788
2014,1,3,529,1.3385763
2014,2,1,251,1.5820261
2014,2,2,480,1.3986512
2014,2,3,497,1.2605277
2014,3,1,270,1.7978177
2014,3,2,443,1.5462805
2014,3,3,488,1.3709878
2014,4,1,263,1.7085146
2014,4,2,447,1.3188907
2014,4,3,495,1.3051822
2014,5,1,241,1.7915908
2014,5,2,356,1.4196614
2014,5,3,412,1.4215522
2014,6,1,264,1.9473406
2014,6,2,424,1.6323956
2014,6,3,512,1.6222079
2014,7,1,267,2.0949469
