año,mes,edu,n,icg
2011,1,1.0,162,2.2342534
2011,1,2.0,425,2.1353266
2011,1,3.0,620,2.0864434
2011,2,1.0,138,2.353937
2011,2,2.0,367,2.2482831
2011,2,3.0,567,2.0786884
2011,3,1.0,200,2.561893
2011,3,2.0,433,2.601691
2011,3,3.0,702,2.2556455
2011,4,1.0,154,2.3011234
2011,4,2.0,401,2.1685665
2011,4,3.0,574,2.1416986
2011,5,1.0,159,2.2885764
2011,5,2.0,412,2.3313658
2011,5,3.0,576,2.3590918
2011,6,1.0,189,2.3582528
2011,6,2.0,428,2.2869403
2011,6,3.0,592,2.3172812
2011,7,1.0,190,2.4784112
2011,7,2.0,480,2.3419082
2011,7,3.0,863,2.3966155
2011,8,1.0,132,2.476034
2011,8,2.0,319,2.5121202
2011,8,3.0,512,2.1734855
2011,9,1.0,188,2.9506283
2011,9,2.0,403,2.6165705
2011,9,3.0,611,2.5137851
2011,10,1.0,181,2.890423
2011,10,2.0,454,2.7146642
2011,10,3.0,683,2.4724162
2011,11,1.0,128,3.1029937
2011,11,2.0,355,2.8421333
2011,11,3.0,520,2.4663696
2011,12,1.0,153,2.6832242
2011,12,2.0,391,2.6803777
2011,12,3.0,663,2.7335832
2012,1,1.0,173,3.112226
2012,1,2.0,412,2.7196674
2012,1,3.0,620,2.6598601
2012,2,1.0,168,2.685603
2012,2,2.0,527,2.5735786
2012,2,3.0,724,2.3764255
2012,3,1.0,157,2.2970948
2012,3,2.0,396,2.3285673
2012,3,3.0,640,2.20484
2012,4,1.0,137,1.9380038
2012,4,2.0,363,1.9006793
2012,4,3.0,516,1.8684202
2012,5,1.0,164,2.244481
2012,5,2.0,421,2.164952
2012,5,3.0,610,2.083592
2012,6,1.0,159,1.9669889
2012,6,2.0,391,2.1267455
2012,6,3.0,684,1.89872
2012,7,1.0,164,1.9871655
2012,7,2.0,447,1.8812153
2012,7,3.0,770,1.7640823
2012,8,1.0,169,1.7751304
2012,8,2.0,444,1.8392124
2012,8,3.0,715,1.6950686
2012,9,1.0,110,2.2127254
2012,9,2.0,297,1.8763379
2012,9,3.0,475,1.4732814
2012,10,1.0,167,1.7076284
2012,10,2.0,428,1.682447
2012,10,3.0,800,1.5772976
2012,11,1.0,127,1.7151437
2012,11,2.0,355,1.934753
2012,11,3.0,528,1.6413075
2012,12,1.0,163,1.8452959
2012,12,2.0,410,1.9631863
2012,12,3.0,625,1.7543435
2013,1,1.0,148,1.7862862
2013,1,2.0,380,1.7583055
2013,1,3.0,675,1.7654704
2013,2,1.0,85,2.1535625
2013,2,2.0,178,1.9198943
2013,2,3.0,228,1.6427476
2013,3,1.0,134,2.1052537
2013,3,2.0,408,1.9355503
2013,3,3.0,672,1.8601054
2013,4,1.0,152,2.0675147
2013,4,2.0,447,1.8063804
2013,4,3.0,616,1.6323326
2013,5,1.0,152,1.815442
2013,5,2.0,403,1.2306075
2013,5,3.0,639,1.4473342
2013,6,1.0,132,2.0809402
2013,6,2.0,411,1.7304678
2013,6,3.0,662,1.673186
2013,7,1.0,146,1.601943
2013,7,2.0,443,1.8032817
2013,7,3.0,616,1.6018866
2013,8,1.0,189,1.9718156
2013,8,2.0,408,1.9359974
2013,8,3.0,611,1.7827253
2013,9,1.0,148,1.7860177
2013,9,2.0,423,1.8707933
2013,9,3.0,639,1.6951255
2013,10,1.0,241,2.0409703
2013,10,2.0,542,1.9336613
2013,10,3.0,807,1.8605161
2013,11,1.0,103,1.7990485
2013,11,2.0,308,1.9611816
2013,11,3.0,409,1.8869243
2013,12,1.0,157,1.5371948
2013,12,2.0,440,1.6344986
2013,12,3.0,608,1.7625092
2014,1,1.0,144,1.6052288
2014,1,2.0,428,1.5108964
2014,1,3.0,638,1.3927606
2014,2,1.0,175,1.4997199
2014,2,2.0,431,1.2918142
2014,2,3.0,621,1.4138634
2014,3,1.0,177,1.8763267
2014,3,2.0,455,1.4481099
2014,3,3.0,568,1.5057582
2014,4,1.0,149,1.4155475
2014,4,2.0,467,1.3817445
2014,4,3.0,588,1.4148787
2014,5,1.0,143,1.6408012
2014,5,2.0,345,1.5000286
2014,5,3.0,521,1.4790679
2014,6,1.0,171,1.5576385
2014,6,2.0,448,1.7544358
2014,6,3.0,581,1.7015032
2014,7,1.0,158,1.874416
2014,7,2.0,435,1.924138
2014,7,3.0,608,1.8302768
2014,8,1.0,135,1.5794833
2014,8,2.0,452,1.8618865
2014,8,3.0,618,1.8510658
2014,9,1.0,147,1.8617944
2014,9,2.0,448,1.7704958
2014,9,3.0,613,1.6004535
2014,10,1.0,142,1.8791187
2014,10,2.0,460,1.6016054
2014,10,3.0,604,1.6191225
2014,11,1.0,181,1.6591743
2014,11,2.0,428,1.6392225
2014,11,3.0,594,1.5548677
2014,12,1.0,166,1.5228548
2014,12,2.0,453,1.7448153
2014,12,3.0,590,1.5806825
2015,1,1.0,148,1.9796791
2015,1,2.0,416,1.8910866
2015,1,3.0,640,1.7438116
2015,2,1.0,164,2.0795853
2015,2,2.0,412,1.6193038
2015,2,3.0,624,1.5448809
2015,3,1.0,142,1.980242
2015,3,2.0,413,2.0313
2015,3,3.0,650,1.716835
2015,4,1.0,142,2.174366
2015,4,2.0,432,2.009654
2015,4,3.0,626,1.7335854
2015,5,1.0,152,2.193502
2015,5,2.0,433,2.227299
2015,5,3.0,617,1.95895
2015,6,1.0,132,2.0528352
2015,6,2.0,443,2.1846197
2015,6,3.0,625,1.7106124
2015,7,1.0,149,2.0963006
2015,7,2.0,434,2.0743744
2015,7,3.0,625,1.9943898
2015,8,1.0,154,2.3201058
2015,8,2.0,448,1.9468635
2015,8,3.0,604,1.7784952
2015,9,1.0,116,1.9189873
2015,9,2.0,423,1.8593011
2015,9,3.0,664,1.696427
2015,10,1.0,127,2.139376
2015,10,2.0,466,1.8801208
2015,10,3.0,615,1.8758069
2015,11,1.0,137,1.7240072
2015,11,2.0,436,1.7759223
2015,11,3.0,629,1.739929
2015,12,1.0,120,1.9595821
2015,12,2.0,423,1.8508153
2015,12,3.0,660,1.718777
2016,1,1.0,134,3.1098611
2016,1,2.0,419,3.0931833
2016,1,3.0,653,3.174655
2016,2,1.0,115,2.67428
2016,2,2.0,447,2.7262845
2016,2,3.0,645,3.0045028
2016,3,1.0,126,2.6042783
2016,3,2.0,403,2.9654086
2016,3,3.0,676,3.163703
2016,4,1.0,139,2.4504874
2016,4,2.0,438,2.6636937
2016,4,3.0,631,2.8352268
2016,5,1.0,131,2.3017397
2016,5,2.0,390,2.508064
2016,5,3.0,680,2.7623434
2016,6,1.0,167,2.1796136
2016,6,2.0,443,2.417468
2016,6,3.0,722,2.8455663
2016,7,1.0,139,2.4310992
2016,7,2.0,356,2.6874192
2016,7,3.0,585,2.8381166
2016,8,1.0,132,1.9905473
2016,8,2.0,439,2.3560436
2016,8,3.0,633,2.7812004
2016,9,1.0,165,2.2298498
2016,9,2.0,522,2.491029
2016,9,3.0,746,2.6436982
2016,10,1.0,109,2.058818
