nivel,anio,votantes_habilitados,votos_positivos,votos_blancos,votos_nulos,ausentismo,votos_blancos_y_nulos,participacion_pct,gana_oficialismo,share_oficialismo,agrupacion_oficialismo,n_fuerzas_viables,share_marginal_acumulado,share_oposicion_principal,share_otras_fuerzas_viables,dispersion_economico_mu,dispersion_economico_sigma2,dispersion_progresismo_mu,dispersion_progresismo_sigma2,dispersion_cobertura_share,resultado_disponible
provincial,2001,410518,229230,28494,57098,95696,85592,76.6889636995211,True,31.842254504209745,PARTIDO JUSTICIALISTA,13,5.200017449722986,13.395716093007023,49.56201195306024,0.1577541579796417,1.2310348500578285,0.4494110763106009,0.8892537196729777,92.48440431008159,False
municipal,2001,410518,230541,27230,57051,95696,84281,76.6889636995211,True,31.925340828746297,PARTIDO JUSTICIALISTA,13,5.337445400167432,13.479164226753593,49.25804954433268,-0.11444223373546086,1.577375649574174,0.6854624686180665,1.204418451288126,92.26211389731111,False
provincial,2003,427601,250900,52392,4821,119488,57213,72.05619257204731,True,39.113591072140295,PARTIDO JUSTICIALISTA,8,4.767636508569151,14.102829812674372,42.01594260661618,0.13176243579086472,0.8606153038676139,0.010969972504635798,1.2747659749962117,93.49740932642487,False
municipal,2003,427601,277168,25930,5015,119488,30945,72.05619257204731,True,32.246868325347805,PARTIDO JUSTICIALISTA,8,7.601887663799572,21.43393176701495,38.717312243837675,0.02349754000421713,0.6161110517104788,0.21112146131559012,0.8455626034558033,92.39811233620043,False
provincial,2005,433482,295971,27966,7251,102294,35217,76.40178830954919,True,28.831878798936383,PARTIDO JUSTICIALISTA,11,4.584908656591355,16.739139983309176,49.84407256116309,-0.7817455208104497,1.0034986133113104,1.0769946807935953,0.5559599424904241,93.81763753881293,False
municipal,2005,433482,295146,28770,7272,102294,36042,76.40178830954919,True,28.38459609820225,PARTIDO JUSTICIALISTA,11,5.799502619042778,15.741700717610946,50.07420056514403,-0.6588471616519347,1.2062192032875447,1.0400151100509278,0.6437806508356096,92.60772634560523,False
provincial,2007,459229,318387,34242,3516,103084,37758,77.55281134248926,True,41.19860421436805,PARTIDO JUSTICIALISTA,8,5.242048199204113,22.333198277567863,31.226149308859974,-0.34953633943990164,1.7197366957571425,0.9132073636794533,0.8775378738075648,94.7579518007959,False
municipal,2007,459229,321163,31335,3647,103084,34982,77.55281134248926,False,21.012383120097894,PARTIDO JUSTICIALISTA,10,5.995086607112277,25.75358929889184,47.23894097389799,-0.43863325704102896,1.003738776108428,0.7960211454444882,0.570380116978982,94.00491339288773,False
provincial,2009,470363,327372,20079,5136,117776,25215,74.96061552460547,False,21.23272607309116,ALIANZA FRENTE PARA LA VICTORIA,7,3.556809989858632,27.36092274232372,47.84954119472649,-0.20780635230324837,1.4551308061508,0.9025275268585619,0.8059740927594767,96.44319001014136,False
municipal,2009,470363,324824,22817,4946,117776,27763,74.96061552460547,False,20.763551954289092,PARTIDO PROGRESO SOCIAL,7,4.0745141984582425,27.21196709602739,47.94996675122528,-0.19511152832738,1.4486914706336844,0.88926900179403,0.8087985650289569,95.92548580154175,False
nacional,2011,455794,354798,12279,2565,85973,14844,81.09847869871038,True,43.294776182503846,ALIANZA FRENTE PARA LA VICTORIA,7,0,22.1855816549135,34.519642162582656,-1.11806078388266,0.6587681833187751,1.545437200886138,0.6236388080211076,100.0,True
provincial,2011,479365,330831,45032,2470,100860,47502,78.92378459003056,True,45.639012063561154,ALIANZA FRENTE PARA LA VICTORIA,7,0,18.52849339995345,35.8324945364854,-1.2150014750733757,0.6035404742822776,1.696555715758197,0.25916821218921227,100.0,True
municipal,2011,493225,352284,28864,2941,108952,31805,77.8729788636018,True,45.44032655471154,PARTIDO PROGRESO SOCIAL,9,1.2694303459708645,12.820621998160576,40.469621101157024,-1.2470596097891966,0.607667188323319,1.674206510988695,0.4816885167559923,98.73056965402913,True
nacional,2013,500621,380688,22248,4867,92576,27115,81.45942739118016,False,27.11511789181692,ALIANZA FRENTE PARA LA VICTORIA,5,1.2340814525280546,36.875866851595006,34.77493380406001,-0.5931747440091493,0.8762874139657149,1.108631772121599,0.8662119349898939,98.76591854747194,True
provincial,2013,525404,384591,30045,4628,105659,34673,79.79840275292918,False,28.28641335860694,ALIANZA FRENTE PARA LA VICTORIA,6,0,34.58999300555655,37.12359363583651,-0.6445254933162763,0.8766703829933639,1.1561828695939322,0.8433980409910306,100.0,True
municipal,2013,525404,393422,20754,4979,105741,25733,79.77765681266226,False,17.394045071195816,ALIANZA FRENTE PARA LA VICTORIA,8,1.4734814016501365,31.4410480349345,49.69142549221955,-0.6634684811351177,1.026749352815655,1.1475598245727183,0.8424882888589438,98.52651859834987,True
nacional,2015,531539,398598,8778,2271,121310,11049,77.06809848383655,False,29.890767138821573,ALIANZA FRENTE PARA LA VICTORIA,5,0.9071796647248607,41.10708031650937,28.0949728799442,-0.016297211012147397,2.005435923552232,0.8009901995533973,0.9586179204547614,99.09282033527515,True
provincial,2015,531539,395874,24350,2112,108620,26462,79.45531748375943,False,28.882927396090675,ALIANZA FRENTE PARA LA VICTORIA,5,0,46.512021501790976,24.60505110211835,0.08827658800527435,2.032542929900102,0.7507634247260493,0.9413659530703692,100.0,True
municipal,2015,531539,392483,27958,2262,108235,30220,79.52436227633343,False,28.42568977509854,ALIANZA FRENTE PARA LA VICTORIA,6,0,41.33631265557999,30.237997569321475,-0.07291075282241523,2.0961564263314587,0.8273462366522881,0.9418679589159502,100.0,True
nacional,2017,572008,401476,13229,3140,152774,16369,73.04880351323759,True,50.09739062858054,ALIANZA CAMBIEMOS,5,0,28.308043320148652,21.59456605127081,0.13014664637487663,2.058133664774967,0.6317952953601211,0.6925955805591215,100.0,True
provincial,2017,572008,419947,10455,3306,136908,13761,75.82201647529405,True,48.35967395885671,CAMBIEMOS BUENOS AIRES,6,0.8548697811866737,27.81517667705687,22.970279582899746,0.08638262116404909,2.0925073450638996,0.6482269854956203,0.686389014565101,99.14513021881332,True
municipal,2017,567623,419518,10275,3350,134209,13625,76.30821865921571,True,48.10592155759706,CAMBIEMOS BUENOS AIRES,6,0.8900690792766937,27.312296492641558,23.6917128704847,0.08169639283858922,2.093769008622626,0.650107185461682,0.6851629260557711,99.10993092072331,True
nacional,2019,519645,418164,5450,2741,92372,8191,82.04735925487593,False,42.95730861575841,ALIANZA CAMBIEMOS,4,2.752269444524158,44.2295367367827,10.060885202934735,0.3424957052046575,0.9875464087106987,0.5283053669572487,0.4471488313947612,97.24773055547584,True
provincial,2019,555945,426157,12867,2528,113364,15395,79.42368399751774,True,45.0026633376901,CAMBIEMOS BUENOS AIRES,4,1.2232580950213183,44.76753872399139,9.006539843297189,0.35922864799118165,1.0074934187376186,0.5229039753506405,0.45638292127120866,98.77674190497868,True
municipal,2019,555945,421486,17008,2635,113780,19643,79.34759733426868,True,48.72403828359661,CAMBIEMOS BUENOS AIRES,4,1.2543714381972355,40.76766488092131,9.253925397284846,0.4190111821508461,1.0498520120998809,0.4869502449549374,0.4788160042327648,98.74562856180276,True
nacional,2021,541178,390422,5109,4545,140606,9654,73.926878032736,False,32.75942441768138,FRENTE DE TODOS,6,0,45.80761330047999,21.432962281838627,0.5414011146912827,1.4633239310485449,0.34194304111960905,0.8034553590149848,100.0,True
provincial,2021,591890,397358,14532,4331,175064,18863,70.32066769163188,False,34.53837597330367,FRENTE DE TODOS,5,0,46.205185248566785,19.256438778129546,0.5299115558262323,1.5034486122481943,0.3761738231015859,0.8073052437953643,100.0,True
municipal,2021,591890,397277,14509,4345,175153,18854,70.30546216357769,True,46.07465320167037,JUNTOS POR EL CAMBIO,5,0,34.526035990001944,19.39931080832769,0.5267117426883509,1.5081840837535252,0.3779472937018755,0.8107543770099523,100.0,True
nacional,2023,567583,428907,8685,3044,126221,11729,77.63375576787888,True,39.90935097818408,FRENTE DE TODOS,5,0,30.145229618542015,29.945419403273903,0.768906236083813,1.828218354051555,0.1726961427535573,1.0123022935184052,100.0,True
provincial,2023,625734,428598,29581,2752,163801,32333,73.66245081775963,True,42.28461168740871,FRENTE DE TODOS,4,0,32.69660614375242,25.018782168838865,0.7221151381947652,1.8267227357947549,0.24538015459708162,0.9916713222747912,100.0,True
municipal,2023,625734,423261,34335,3087,164033,37422,73.62281736328855,False,38.13533493518184,JUNTOS POR EL CAMBIO,4,0,38.33757421543681,23.527090849381352,0.7432512539544157,1.7678117187932434,0.24061502004673238,0.9543293980467644,100.0,True
nacional,2025,576612,393871,4233,8831,169359,13064,70.57345320596866,True,44.146433730840805,ALIANZA LA LIBERTAD AVANZA,5,6.016944634156869,38.88658977177807,10.950031863224254,0.979114419783236,2.690817070169408,-0.03335205526079764,1.5392683863631134,93.98305536584313,True
provincial,2025,639839,393945,15186,,230708,15186,63.94280436172225,True,44.15641777405475,UNION POR LA PATRIA,5,5.8904161748467425,36.58962545533006,13.363540595768445,0.7817533905162647,2.6314944445406163,0.14385944327561095,1.509886759382827,94.10958382515325,False
municipal,2025,639839,395040,14091,,230708,14091,63.94280436172225,True,43.71304171729445,UNION POR LA PATRIA,5,6.2345585257189144,36.36846901579587,13.683930741190766,0.7731462159601092,2.6517462452922396,0.15074653020563644,1.5229168228595475,93.76544147428109,False
