# Total de votos, elección general -- La Plata, municipal 2003 (cargo: intendente)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0001,MOVIMIENTO DE INTEGRACION Y DESARROLLO,1336,0.4336,,,,,
0002,PARTIDO JUSTICIALISTA,89378,29.0082,3,peronistas,-0.416,0.268,0.658
0003,UNION CIVICA RADICAL,22413,7.2743,3,radicalismo,0.039,0.895,0.338
0005,PARTIDO DEMOCRATA CRISTIANO,1536,0.4985,4,liberales,,,
0045,PARTIDO DE LOS TRABAJADORES SOCIALISTAS,1676,0.5440,1,marxistas,-1.991,2.325,0.723
0051,PARTIDO POPULAR DE LA RECONSTRUCCION,665,0.2158,,,,,
0100,PARTIDO DEL OBRERO,2871,0.9318,1,marxistas,-1.991,2.325,0.723
0207,PARTIDO HUMANISTA ECOLOGISTA,4142,1.3443,,,,,
0210,MOVIMIENTO PARA LA JUSTICIA SOCIAL,18,0.0058,,,,,
0213,PARTIDO ENCUENTRO POPULAR,960,0.3116,,,,,
0503,AZA.MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO,9801,3.1810,4,radicalismo,0.039,0.874,0.354
0505,FRENTE POPULAR BONAERENSE,16180,5.2513,4,nacionalistas,1.579,-1.862,0.425
0506,FRENTE CAMBIA BUENOS AIRES,893,0.2898,2,peronistas,,,
0507,AZA. IZQUIERDA UNIDA-PARTIDO SOCIALISTA,21221,6.8874,2,progresistas,-1.683,2.154,0.481
0508,AZA.AFIRMACION PARA UNA REPUBLICA IGUALITARIA,26399,8.5680,4,otros,0.452,0.299,0.372
0514,LA PLATA AGRUPACION COMUNAL ALTERNATIVA,2120,0.6881,,,,,
1121,FRENTE UNION Y LIBERTAD,1035,0.3359,,,,,
1124,FRENTE RENOVADOR PLATENSE,59408,19.2812,4,peronistas,0.376,-0.016,0.363
1128,FRENTE AMPLIO POR LA CIUDAD,2676,0.8685,,,,,
1142,"AFEBA-PLATENSE (SECCION CAPITAL, DISTRITO LA PLATA)",11298,3.6668,5,nacionalistas,1.579,-1.862,0.425
1508,RENACER PLATENSE,1142,0.3706,,,,,
BLANCO,BLANCO,25930,8.4157,,,,,
NULO,NULO,5015,1.6276,,,,,
