# Total de votos, elección general -- La Plata, nacional 2005 (cargo: nacional) // Fuente https://web.archive.org/web/20110902191750/http://www.elecciones.gob.ar/estadistica/archivos/2005/BSAS_TOTAL_23_Oct_2005.pdf
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
,UNION CIVICA RADICAL,24820,9.17,3,radicalismo,0.032,0.829,0.356
,DEMOCRATA CRISTIANO,1064,0.39,4,liberales,2.365,-1.020,0.045
,OBRERO,4507,1.66,1,marxistas,-1.991,2.325,0.723
,HUMANISTA,4637,1.71,2,progresistas,-1.412,1.557,0.723
,SOCIALISTA AUTENTICO,2263,0.84,2,progresistas,-1.683,2.154,0.481
,MOV. SOC. DE LOS TRABAJADORES,6590,2.43,1,marxistas,-1.991,2.325,0.723
,AFIRM. P/UNA REP. IGUALITARIA,38440,14.20,4,radicales,0.452,0.299,0.372
,POPULAR DE LA RECONSTRUCCION,766,0.28,,,,,
,MOV. VECINALISTA PCIAL.,992,0.37,,vecinalismo,,,
,NUEVO - PANU -,16,0.01,,,,,
,MOV. INDEPTE. DE JUB. Y DESOCUP.,438,0.16,1,nacionalistas,-1.991,2.325,0.723
,CONVERGENCIA SOCIALISTA,1018,0.38,,,,,
,ACCION SOLIDARIA BONAERENSE,433,0.16,,,,,
,CONVOC. DE INTEGR. CIUDADANA,6,0.00,,,,,
,RENOVACION FEDERAL,25,0.01,,,,,
,AL. FTE. P/LA VICTORIA,97687,36.09,3,peronistas,-1.541,1.669,0.791
,AL.PROPUESTA REPUBLICANA,21778,8.04,5,liberales,1.401,-0.142,0.186
,AL. MAS - PTS,2447,0.90,1,marxistas,-1.991,2.325,0.723
,JUSTICIALISTA,32225,11.90,3,peronistas,-1.659,1.782,0.803
,UNIDAD FEDERALISTA - PAUFE -,17380,6.42,4,nacionalistas,1.579,-1.862,0.425
,AL. ENCUENTRO AMPLIO,6395,2.36,1,progresistas,-1.991,1.557,0.821
,AL. CONFED. VECINAL,5785,2.14,,vecinalismo,,,
,AL. FTE.POPULAR AUTENTICO,31,0.01,,,,,
,AL. FTE. POPULAR,120,0.04,,,,,
,AL. FTE. UNION POPULAR,840,0.31,5,conservadores,2.365,-1.020,0.045
BLANCO,BLANCO,52457,15.88,,,,,
NULO,NULO,7160,2.17,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,424683,100.0000,,,,,
