# Total de votos, elección general -- La Plata, provincial 2005 (cargo: provincial)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0001,MOVIMIENTO DE INTEGRACION Y DESARROLLO,1272,0.3841,,,,,
0003,UNION CIVICA RADICAL,22955,6.9311,3,radicalismo,0.032,0.829,0.356
0009,PARTIDO RENOVADOR DE LA PROV. DE BS AS,547,0.1652,4,peronistas,0.376,-0.016,0.363
0014,PARTIDO OBRERO,4481,1.3530,1,marxistas,-1.991,2.325,0.723
0022,PARTIDO HUMANISTA,4634,1.3992,2,progresistas,-1.412,1.557,0.723
0030,PARTIDO SOCIALISTA AUTENTICO,935,0.2823,2,progresistas,-1.683,2.154,0.481
0033,PARTIDO NACIONALISTA CONSTITUCIONAL (UNIR),1653,0.4991,5,nacionalistas,,,
0038,MOV.SOCIALISTA DE LOS TRABAJADORES,5747,1.7353,1,marxistas,-1.991,2.325,0.723
0047,AFIRMACION PARA UNA REPUBLICA IGUALITARIA,37005,11.1734,4,otros,0.452,0.299,0.372
0210,MOVIMIENTO POR LA JUSTICIA SOCIAL,564,0.1703,,,,,
0221,PARTIDO NUEVO BUENOS AIRES,0,0.0000,4,otros,,,
0226,MOVIMIENTO VECINALISTA PROVINCIAL,1105,0.3336,,,,,
0229,PARTIDO PROYECTO POPULAR,3030,0.9149,,,,,
0501,FRENTE PARA LA VICTORIA,85334,25.7660,3,peronistas,-1.541,1.669,0.791
0503,PROPUESTA REPUBLICANA,19428,5.8662,5,liberales,1.401,-0.142,0.186
0504,FRENTE MAS - PTS,2501,0.7552,1,marxistas,-1.991,2.325,0.723
0505,FRENTE JUSTICIALISTA,41936,12.6623,3,peronistas,-1.659,1.782,0.803
0506,ENCUENTRO AMPLIO,6610,1.9958,1,progresistas,-1.991,1.557,0.821
0507,CONFEDERACION VECINAL,4728,1.4276,,,,,
0509,FRENTE POPULAR,122,0.0368,,,,,
0510,FRENTE UNION POPULAR,886,0.2675,,,,,
0557,NUEVA CAPITAL,0,0.0000,,,,,
1203,FRENTE RENOVADOR PLATENSE,0,0.0000,4,peronistas,0.376,-0.016,0.363
1214,FTE. BONAERENSE AUTONOMISTA AUTENTICO,49543,14.9592,4,nacionalistas,-0.416,0.268,0.658
1230,FED.DEMOCRATA CRIST. DE RENOVACION FEDERAL,955,0.2884,,,,,
BLANCO,BLANCO,27966,8.4441,,,,,
NULO,NULO,7251,2.1894,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,433482,100.0000,,,,,
