# Total de votos, elección general -- La Plata, nacional 2007 (cargo: presidente) // Fuente: https://web.archive.org/web/20131107071107/http://www.elecciones.gov.ar/estadistica/archivos/2009/Bs_As_28_de_junio_de_2009_8%C2%BA.pdf
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
,OBRERO,1954,0.61,1,marxistas,-1.991,2.325,0.723
,UNION POPULAR,1381,0.43,5,conservadores,2.365,-1.020,0.045
,SOCIALISTA AUTENTICO,10183,3.18,2,progresistas,-1.683,2.154,0.481
,MOV. POR LA DIG. Y LA INDEPENDENCIA,42,0.01,,,,,
,MOV. SOC. DE LOS TRABAJADORES,3407,1.06,1,marxistas,-1.991,2.325,0.723
,RECREAR PARA EL CRECIMIENTO,5114,1.60,4,radicalismo,0.039,0.874,0.354
,POPULAR DE LA RECONSTRUCCION,712,0.22,,,,,
,CONF. LEALTAD POPULAR,320,0.10,,,,,
,EL MOV. DE LAS PROVINCIAS UNIDAS,1859,0.58,,,,,
,MOV. DE ACCION VECINAL,760,0.24,,vecinalismo,,,
,CONF. COALICION CIVICA,116402,36.33,4,radicalismo,0.452,0.299,0.372
,MOV. INDEP. DE JUB. Y DESOCUPADOS,1157,0.36,1,nacionalistas,-1.991,2.325,0.723
,CONCERTACION UNA,44960,14.03,5,conservadores,0.185,0.925,0.351
,FTE. AMPLIO HACIA LA UNIDAD LATINOAM,805,0.25,,,,,
,FTE. JUSTICIA UNION Y LIBERTAD,20545,6.41,4,peronismo provincial,0.447,-0.547,0.375
,FTE. PARA LA VICTORIA,108991,34.02,3,peronistas,-1.659,1.782,0.803
,FTE. PTS - MAS IZQUIERDA SOCIALISTA,1827,0.57,1,marxistas,-1.991,2.325,0.723
BLANCO,BLANCO,24670,7.07,,,,,
NULO,NULO,3948,1.13,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,441981,100.0000,,,,,
