# Total de votos, elección general -- La Plata, provincial 2011 (cargo: gobernador)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
0131,ALIANZA FRENTE PARA LA VICTORIA,150988,39.9088,3,peronistas,-1.686,2.097,0.871
0137,ALIANZA UNIÓN PARA EL DESARROLLO SOCIAL,61298,16.2021,4,radicales,0.185,0.925,0.351
0134,ALIANZA FRENTE AMPLIO PROGRESISTA,58629,15.4967,2,progresistas,-1.268,1.642,0.492
0132,ALIANZA FRENTE POPULAR,19745,5.2189,2,progresistas,-1.412,1.557,0.723
0160,NUEVO ENCUENTRO,16923,4.4730,2,progresistas,-1.991,1.557,0.821
0135,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,13642,3.6058,1,marxistas,-1.991,2.325,0.723
0047,COALICIÓN CÍVICA - AFIRMACIÓN PARA UNA REPÚBLICA IGUALITARIA ARI,9606,2.5390,4,otros,0.452,0.299,0.372
BLANCO,BLANCO,45032,11.9027,,,,,
NULO,NULO,2470,0.6529,,,,,
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,479365,100.0000,,,,,
