# Total de votos, elección general -- La Plata, nacional 2025 (cargo: municipal)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
2200,ALIANZA FUERZA PATRIA,172684,43.71,3,peronistas,-0.465,1.069,0.642
2206,ALIANZA LA LIBERTAD AVANZA,143670,36.37,6,liberales,2.641,-1.260,0.237
2203,FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,23160,5.86,1,marxistas,-1.991,2.325,0.723
2204,ALIANZA SOMOS BUENOS AIRES,20829,5.27,4,radicalismo,0.325,0.533,0.334
1006,PARTIDO LIBERTARIO,10068,2.55,6,liberales,2.641,-1.260,0.237
2207,ALIANZA UNION Y LIBERTAD,5761,1.46,6,liberales,2.641,-1.260,0.237
2205,ALIANZA NUEVOS AIRES,3333,0.84,4,liberales,,,
2201,ALIANZA POTENCIA,3292,0.83,4,liberales,,,
2208,ALIANZA UNION LIBERAL,2583,0.65,6,liberales,2.641,-1.260,0.237
0995,ORG. SOC. DE LOS TRABAJADORES DE LA PLATA,2578,0.65,1,marxistas,-1.991,2.325,0.723
1008,VALORES REPUBLICANOS,1904,0.48
0959,MOVIMIENTO AVANZADA SOCIALISTA,1322,0.33,1,marxistas,-1.991,2.325,0.723
2202,ALIANZA ES CON VOS ES CON NOSOTROS,1237,0.31
0974,PARTIDO POLITICA OBRERA,1065,0.27,1,marxistas,-1.991,2.325,0.723
1003,CONSTRUYENDO PORVENIR,821,0.21
0980,PARTIDO TIEMPO DE TODOS,733,0.19
0963,PARTIDO FRENTE PATRIOTA FEDERAL,0,0,6,nacionalistas,,,
BLANCO,BLANCO,14091,3.44
