# Total de votos, elección general -- La Plata, nacional 2025 (cargo: nacional)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
110,ALIANZA LA LIBERTAD AVANZA,173880,42.7292,6,liberales,2.641,-1.260,0.237
248,ALIANZA FUERZA PATRIA,153163,37.6382,3,peronistas,-0.465,1.069,0.642
372,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,21472,5.2765,1,marxistas,-1.991,2.325,0.723
259,ALIANZA PROVINCIAS UNIDAS,12296,3.0216,4,peronismo provincial,,,
258,PROPUESTA FEDERAL PARA EL CAMBIO,9361,2.3004,5,liberales,,,
252,PARTIDO NUEVO BUENOS AIRES,4192,1.0301,4,otros,,,
316,COALICIÓN CÍVICA - A.R.I.,4054,0.9962,4,otros,0.452,0.288,0.403
11,FRENTE PATRIOTA FEDERAL,3250,0.7987,6,nacionalistas,,,
260,ALIANZA POTENCIA,3031,0.7448,4,liberales,,,
265,MOVIMIENTO POLÍTICO SOCIAL Y CULTURAL PROYECTO SUR,2243,0.5512,2,progresistas,-1.412,1.557,0.723
263,MOVIMIENTO AVANZADA SOCIALISTA,1824,0.4482,1,marxistas,-1.991,2.325,0.723
315,UNIÓN LIBERAL,1634,0.4015,6,liberales,2.641,-1.260,0.237
317,ALIANZA UNIÓN FEDERAL,1622,0.3986,4,peronismo provincial,,,
262,ALIANZA NUEVOS AIRES,1265,0.3109,4,liberales,,,
253,LIBER.AR,584,0.1435,6,liberales,2.641,-1.260,0.237
BLANCO,BLANCO,4233,1.0402,,,,,
NULO,NULO,8831,2.1701,,,,,
