# Total de votos, elección general -- La Plata, nacional 2025 (cargo: provincial)
id_agrupacion,agrupacion,votos,votos_porcentaje,campo_ideologico,filiacion_politica,vparty_economico,vparty_progresismo,vparty_populismo
2200,ALIANZA FUERZA PATRIA,173952,44.16,3,peronistas,-0.465,1.069,0.642
2206,ALIANZA LA LIBERTAD AVANZA,144143,36.59,6,liberales,2.641,-1.260,0.237
2203,FTE. DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,21806,5.54,1,marxistas,-1.991,2.325,0.723
2204,ALIANZA SOMOS BUENOS AIRES,20724,5.26,4,radicalismo,0.325,0.533,0.334
1006,PARTIDO LIBERTARIO,10115,2.57,6,liberales,2.641,-1.260,0.237
2207,ALIANZA UNION Y LIBERTAD,5766,1.46,6,liberales,2.641,-1.260,0.237
2205,ALIANZA NUEVOS AIRES,3365,0.85,5,liberales,1.401,-0.142,0.186
2201,ALIANZA POTENCIA,3252,0.83,4,liberales,2.641,-1.260,0.237
2208,ALIANZA UNION LIBERAL,2573,0.65,6,liberales,2.641,-1.260,0.237
0995,ORG. SOC. DE LOS TRABAJADORES DE LA PLATA,0,0,1,marxistas,-1.991,2.325,0.723
1008,VALORES REPUBLICANOS,1850,0.47
0959,MOVIMIENTO AVANZADA SOCIALISTA,1315,0.33,1,marxistas,-1.991,2.325,0.723
2202,ALIANZA ES CON VOS ES CON NOSOTROS,1202,0.31
0974,PARTIDO POLITICA OBRERA,1059,0.27,1,marxistas,-1.991,2.325,0.723
1003,CONSTRUYENDO PORVENIR,831,0.21
0980,PARTIDO TIEMPO DE TODOS,736,0.19,6,liberales,2.641,-1.260,0.237
0963,PARTIDO FRENTE PATRIOTA FEDERAL,1256,0.32,6,nacionalistas,1.579,-1.862,0.425
BLANCO,BLANCO,15186,3.71
VOTANTES_HABILITADOS,VOTANTES_HABILITADOS,639839,100
