id_transicion,nivel,anio_t,anio_t_menos_2,orden,tipo_fila,fecha_inicio,fecha_fin,n_meses,periodo_intervenido,gana_oficialismo,share_oficialismo,agrupacion_oficialismo,desocupacion,emae,icc,icg,ipc,reservas,resultado_fiscal,salario_real,tc_oficial
municipal_2001_2005,municipal,2005,2001,0,eleccion_t_menos_2,2001-10-14,2001-10-14,,,True,31.925340828746297,PARTIDO JUSTICIALISTA,,,,,,,,,
municipal_2001_2005,municipal,2005,2001,1,trimestre,2001-11-01,2002-01-01,3,False,,,,,,33.24173033333333,1.050189216931661,1.879610412529753,,-2375.552972046502,1860.4906804716584,1.3499999999999999
municipal_2001_2005,municipal,2005,2001,2,trimestre,2002-02-01,2002-04-01,3,False,,,,,,31.232239333333336,0.875776489575704,18.358900195704564,,-2509.392105837871,1697.4781304796743,2.7099999999999995
municipal_2001_2005,municipal,2005,2001,3,trimestre,2002-05-01,2002-07-01,3,False,,,,,,30.899061,0.45011858145395917,11.214704881782623,,1164.8313533447565,1461.674367583161,3.6999999999999997
municipal_2001_2005,municipal,2005,2001,4,trimestre,2002-08-01,2002-10-01,3,False,,,,,,32.600983,0.4190446436405182,3.9510704533215923,,1193.5126994457723,1376.1990271876814,3.6333333333333333
municipal_2001_2005,municipal,2005,2001,5,trimestre,2002-11-01,2003-01-01,3,False,,,,0.204,,39.24745523333333,0.776074488957723,2.025815429792255,9914.678687358575,1773.0588845841623,1353.3468770821312,3.4066666666666667
municipal_2001_2005,municipal,2005,2001,6,trimestre,2003-02-01,2003-04-01,3,False,,,,0.19533333333333333,,39.33029393333334,0.8521494269371033,1.2089602461183402,10204.408938893239,2897.377697357579,1325.32860667227,2.9966666666666666
municipal_2001_2005,municipal,2005,2001,7,trimestre,2003-05-01,2003-07-01,3,False,,,,0.17248988830669654,,50.93326953333334,2.5414560635884604,-0.026864803248694002,11874.751157088709,4012.720840641117,1344.6900454110585,2.856666666666667
municipal_2001_2005,municipal,2005,2001,8,trimestre,2003-08-01,2003-10-01,3,False,,,,0.15580366642022417,,51.83328306666667,2.9950031439463296,0.6538363894691424,13034.094310234612,2817.061375613071,1442.2942241633166,2.9120000000000004
municipal_2001_2005,municipal,2005,2001,9,trimestre,2003-11-01,2004-01-01,3,False,,,,0.14390420859788175,92.62750602691052,52.40890820525322,2.807662089665731,0.8817538316761686,13862.966255866262,2808.902741277079,1528.845901321268,2.9493333333333336
municipal_2001_2005,municipal,2005,2001,10,trimestre,2004-02-01,2004-04-01,3,False,,,,0.1440244518061539,98.21230253670764,55.50581762003056,3.045421520868937,1.5584586479907125,14590.207509816953,6514.790538505552,1592.1383145244292,2.874333333333333
municipal_2001_2005,municipal,2005,2001,11,trimestre,2004-05-01,2004-07-01,3,False,,,,0.14146098549026836,105.54896914421211,50.31297353156848,2.6029983361562095,1.7676258702800318,17138.061574324853,9659.665033338611,1552.9509258096366,2.9659999999999997
municipal_2001_2005,municipal,2005,2001,12,trimestre,2004-08-01,2004-10-01,3,False,,,,0.12761519323634773,98.09259248603796,47.82075989209545,2.156721591949463,1.3746282972264101,18216.71472005636,4771.450143208551,1522.250116544735,2.982666666666667
municipal_2001_2005,municipal,2005,2001,13,trimestre,2004-11-01,2005-01-01,3,False,,,,0.12320740560216974,100.09475366713191,54.322484877734354,2.413697878519694,2.336592710846652,19290.1173553816,2285.0275033201574,1516.6882288999152,2.949333333333333
municipal_2001_2005,municipal,2005,2001,14,trimestre,2005-02-01,2005-04-01,3,False,,,,0.12600480322676813,107.77349416092612,55.54956624464625,2.558748801549276,3.0089603364319206,20628.68261877249,6875.95718889388,1500.3173149799397,2.921666666666667
municipal_2001_2005,municipal,2005,2001,15,trimestre,2005-05-01,2005-07-01,3,False,,,,0.11683598889593427,116.91510194413853,50.84933062483933,2.2509682973225913,2.541537101093594,22725.36992884902,8462.73048106115,1563.4181878503387,2.8770000000000002
municipal_2001_2005,municipal,2005,2001,16,trimestre,2005-08-01,2005-10-01,3,False,,,,0.10759676401065182,105.05789763493623,50.70449027224067,2.242241064707438,2.39889079379505,25569.11020541283,5393.612427071506,1668.6202697846645,2.9410000000000003
municipal_2001_2005,municipal,2005,2001,17,eleccion_t,2005-10-23,2005-10-23,,,True,28.38459609820225,PARTIDO JUSTICIALISTA,,,,,,,,,
municipal_2003_2007,municipal,2007,2003,0,eleccion_t_menos_2,2003-04-27,2003-04-27,,,True,32.246868325347805,PARTIDO JUSTICIALISTA,,,,,,,,,
municipal_2003_2007,municipal,2007,2003,1,trimestre,2003-05-01,2003-07-01,3,False,,,,0.17248988830669654,,50.93326953333334,2.5414560635884604,-0.026864803248694002,11874.751157088709,4012.720840641117,1344.6900454110585,2.856666666666667
municipal_2003_2007,municipal,2007,2003,2,trimestre,2003-08-01,2003-10-01,3,False,,,,0.15580366642022417,,51.83328306666667,2.9950031439463296,0.6538363894691424,13034.094310234612,2817.061375613071,1442.2942241633166,2.9120000000000004
municipal_2003_2007,municipal,2007,2003,3,trimestre,2003-11-01,2004-01-01,3,False,,,,0.14390420859788175,92.62750602691052,52.40890820525322,2.807662089665731,0.8817538316761686,13862.966255866262,2808.902741277079,1528.845901321268,2.9493333333333336
municipal_2003_2007,municipal,2007,2003,4,trimestre,2004-02-01,2004-04-01,3,False,,,,0.1440244518061539,98.21230253670764,55.50581762003056,3.045421520868937,1.5584586479907125,14590.207509816953,6514.790538505552,1592.1383145244292,2.874333333333333
municipal_2003_2007,municipal,2007,2003,5,trimestre,2004-05-01,2004-07-01,3,False,,,,0.14146098549026836,105.54896914421211,50.31297353156848,2.6029983361562095,1.7676258702800318,17138.061574324853,9659.665033338611,1552.9509258096366,2.9659999999999997
municipal_2003_2007,municipal,2007,2003,6,trimestre,2004-08-01,2004-10-01,3,False,,,,0.12761519323634773,98.09259248603796,47.82075989209545,2.156721591949463,1.3746282972264101,18216.71472005636,4771.450143208551,1522.250116544735,2.982666666666667
municipal_2003_2007,municipal,2007,2003,7,trimestre,2004-11-01,2005-01-01,3,False,,,,0.12320740560216974,100.09475366713191,54.322484877734354,2.413697878519694,2.336592710846652,19290.1173553816,2285.0275033201574,1516.6882288999152,2.949333333333333
municipal_2003_2007,municipal,2007,2003,8,trimestre,2005-02-01,2005-04-01,3,False,,,,0.12600480322676813,107.77349416092612,55.54956624464625,2.558748801549276,3.0089603364319206,20628.68261877249,6875.95718889388,1500.3173149799397,2.921666666666667
municipal_2003_2007,municipal,2007,2003,9,trimestre,2005-05-01,2005-07-01,3,False,,,,0.11683598889593427,116.91510194413853,50.84933062483933,2.2509682973225913,2.541537101093594,22725.36992884902,8462.73048106115,1563.4181878503387,2.8770000000000002
municipal_2003_2007,municipal,2007,2003,10,trimestre,2005-08-01,2005-10-01,3,False,,,,0.10759676401065182,105.05789763493623,50.70449027224067,2.242241064707438,2.39889079379505,25569.11020541283,5393.612427071506,1668.6202697846645,2.9410000000000003
municipal_2003_2007,municipal,2007,2003,11,trimestre,2005-11-01,2006-01-01,3,False,,,,0.10459775319128052,108.34600872023888,53.81363420104511,2.4386802514394126,3.638724643528035,24457.016072888717,3886.0952229409945,1693.5014104413751,3.021333333333333
municipal_2003_2007,municipal,2007,2003,12,trimestre,2006-02-01,2006-04-01,3,False,,,,0.10980527511753256,114.9218402650115,56.70319306781948,2.6203507582346597,2.5946047208692313,20932.419322501868,6303.163936028742,1722.9558958435573,3.068
municipal_2003_2007,municipal,2007,2003,13,trimestre,2006-05-01,2006-07-01,3,False,,,,0.10248139276578987,124.90313175977475,57.6754790263935,2.574004570643107,1.5774602463180853,24856.730624010877,7526.205789137063,1794.1281868141905,3.081
municipal_2003_2007,municipal,2007,2003,14,trimestre,2006-08-01,2006-10-01,3,False,,,,0.09604521228485507,115.86119885407788,58.17751677691766,2.478797753651937,2.335397491493385,27717.560795081718,5496.052477178634,1846.2234985702862,3.0966666666666662
municipal_2003_2007,municipal,2007,2003,15,trimestre,2006-11-01,2007-01-01,3,True,,,,0.08979356766756247,117.48190640074002,58.557700034134285,2.486522356669108,2.8594991171357886,31251.55093158961,3505.975165308469,1871.413053049598,3.079
municipal_2003_2007,municipal,2007,2003,16,trimestre,2007-02-01,2007-04-01,3,True,,,,0.0922215158994032,125.16303213519588,57.06077362789228,2.440250555674235,1.822766786321428,35916.01538559328,5717.973001333801,1941.3533312849086,3.0966666666666662
municipal_2003_2007,municipal,2007,2003,17,trimestre,2007-05-01,2007-07-01,3,True,,,,0.08225189128909627,137.03881631485865,51.4715451483982,2.1010339657465615,1.3617977821777094,41813.092831541224,8979.316543426494,2002.3424758179733,3.097
municipal_2003_2007,municipal,2007,2003,18,trimestre,2007-08-01,2007-10-01,3,True,,,,0.07907488955553833,126.1736912113733,47.905738579313436,1.810475508371989,2.085522541049656,43128.564157706096,5995.378394810309,2087.2250427726726,3.1493333333333333
municipal_2003_2007,municipal,2007,2003,19,eleccion_t,2007-10-28,2007-10-28,,,False,21.012383120097894,PARTIDO JUSTICIALISTA,,,,,,,,,
municipal_2005_2009,municipal,2009,2005,0,eleccion_t_menos_2,2005-10-23,2005-10-23,,,True,28.38459609820225,PARTIDO JUSTICIALISTA,,,,,,,,,
municipal_2005_2009,municipal,2009,2005,1,trimestre,2005-11-01,2006-01-01,3,False,,,,0.10459775319128052,108.34600872023888,53.81363420104511,2.4386802514394126,3.638724643528035,24457.016072888717,3886.0952229409945,1693.5014104413751,3.021333333333333
municipal_2005_2009,municipal,2009,2005,2,trimestre,2006-02-01,2006-04-01,3,False,,,,0.10980527511753256,114.9218402650115,56.70319306781948,2.6203507582346597,2.5946047208692313,20932.419322501868,6303.163936028742,1722.9558958435573,3.068
municipal_2005_2009,municipal,2009,2005,3,trimestre,2006-05-01,2006-07-01,3,False,,,,0.10248139276578987,124.90313175977475,57.6754790263935,2.574004570643107,1.5774602463180853,24856.730624010877,7526.205789137063,1794.1281868141905,3.081
municipal_2005_2009,municipal,2009,2005,4,trimestre,2006-08-01,2006-10-01,3,False,,,,0.09604521228485507,115.86119885407788,58.17751677691766,2.478797753651937,2.335397491493385,27717.560795081718,5496.052477178634,1846.2234985702862,3.0966666666666662
municipal_2005_2009,municipal,2009,2005,5,trimestre,2006-11-01,2007-01-01,3,True,,,,0.08979356766756247,117.48190640074002,58.557700034134285,2.486522356669108,2.8594991171357886,31251.55093158961,3505.975165308469,1871.413053049598,3.079
municipal_2005_2009,municipal,2009,2005,6,trimestre,2007-02-01,2007-04-01,3,True,,,,0.0922215158994032,125.16303213519588,57.06077362789228,2.440250555674235,1.822766786321428,35916.01538559328,5717.973001333801,1941.3533312849086,3.0966666666666662
municipal_2005_2009,municipal,2009,2005,7,trimestre,2007-05-01,2007-07-01,3,True,,,,0.08225189128909627,137.03881631485865,51.4715451483982,2.1010339657465615,1.3617977821777094,41813.092831541224,8979.316543426494,2002.3424758179733,3.097
municipal_2005_2009,municipal,2009,2005,8,trimestre,2007-08-01,2007-10-01,3,True,,,,0.07907488955553833,126.1736912113733,47.905738579313436,1.810475508371989,2.085522541049656,43128.564157706096,5995.378394810309,2087.2250427726726,3.1493333333333333
municipal_2005_2009,municipal,2009,2005,9,trimestre,2007-11-01,2008-01-01,3,True,,,,0.07785168454252256,128.28663678065797,52.66910921885317,2.131168802579244,2.7363089825199527,45471.042043010755,3615.662436884221,2106.905290195233,3.1506666666666665
municipal_2005_2009,municipal,2009,2005,10,trimestre,2008-02-01,2008-04-01,3,True,,,,0.08191734386393797,133.4798434495574,47.71949851898402,1.8519647518793743,2.447470059726875,49592.114250401675,7635.013900454932,2239.2745591010494,3.1643333333333334
municipal_2005_2009,municipal,2009,2005,11,trimestre,2008-05-01,2008-07-01,3,True,,,,0.07894345789416195,143.7661120610933,40.127146333333336,1.267168362935384,1.5699999999999825,48322.53046594982,8416.811085195945,2396.4272680025847,3.0559999999999996
municipal_2005_2009,municipal,2009,2005,12,trimestre,2008-08-01,2008-10-01,3,True,,,,0.07609485803437227,131.30734625599024,41.96622233333333,1.4052430788675945,1.4177414590922588,46993.6046594982,5840.100425836809,2517.330865314086,3.184333333333333
municipal_2005_2009,municipal,2009,2005,13,trimestre,2008-11-01,2009-01-01,3,True,,,,0.0763943045809428,121.91732942958781,39.117252666666666,1.4333923657735188,1.2134744199592262,46217.0917562724,932.1354247996846,2509.3178921063554,3.438
municipal_2005_2009,municipal,2009,2005,14,trimestre,2009-02-01,2009-04-01,3,True,,,,0.08487090891311112,123.00500765689749,38.14662933333333,1.3622303406397502,1.409936696719738,46753.2402201741,1913.3507737811524,2530.2140318705133,3.6670000000000003
municipal_2005_2009,municipal,2009,2005,15,trimestre,2009-05-01,2009-06-01,2,True,,,,0.0873917902564734,131.17416426310106,39.6486855,1.3309803009033203,0.7566442826066444,46470.69569892473,-1104.186311463262,2576.8406975304474,3.773
municipal_2005_2009,municipal,2009,2005,16,eleccion_t,2009-06-28,2009-06-28,,,False,20.763551954289092,PARTIDO PROGRESO SOCIAL,,,,,,,,,
municipal_2007_2011,municipal,2011,2007,0,eleccion_t_menos_2,2007-10-28,2007-10-28,,,False,21.012383120097894,PARTIDO JUSTICIALISTA,,,,,,,,,
municipal_2007_2011,municipal,2011,2007,1,trimestre,2007-11-01,2008-01-01,3,True,,,,0.07785168454252256,128.28663678065797,52.66910921885317,2.131168802579244,2.7363089825199527,45471.042043010755,3615.662436884221,2106.905290195233,3.1506666666666665
municipal_2007_2011,municipal,2011,2007,2,trimestre,2008-02-01,2008-04-01,3,True,,,,0.08191734386393797,133.4798434495574,47.71949851898402,1.8519647518793743,2.447470059726875,49592.114250401675,7635.013900454932,2239.2745591010494,3.1643333333333334
municipal_2007_2011,municipal,2011,2007,3,trimestre,2008-05-01,2008-07-01,3,True,,,,0.07894345789416195,143.7661120610933,40.127146333333336,1.267168362935384,1.5699999999999825,48322.53046594982,8416.811085195945,2396.4272680025847,3.0559999999999996
municipal_2007_2011,municipal,2011,2007,4,trimestre,2008-08-01,2008-10-01,3,True,,,,0.07609485803437227,131.30734625599024,41.96622233333333,1.4052430788675945,1.4177414590922588,46993.6046594982,5840.100425836809,2517.330865314086,3.184333333333333
municipal_2007_2011,municipal,2011,2007,5,trimestre,2008-11-01,2009-01-01,3,True,,,,0.0763943045809428,121.91732942958781,39.117252666666666,1.4333923657735188,1.2134744199592262,46217.0917562724,932.1354247996846,2509.3178921063554,3.438
municipal_2007_2011,municipal,2011,2007,6,trimestre,2009-02-01,2009-04-01,3,True,,,,0.08487090891311112,123.00500765689749,38.14662933333333,1.3622303406397502,1.409936696719738,46753.2402201741,1913.3507737811524,2530.2140318705133,3.6670000000000003
municipal_2007_2011,municipal,2011,2007,7,trimestre,2009-05-01,2009-07-01,3,True,,,,0.08855295135492913,129.90379563373872,40.548537,1.2989150683085124,1.380875815757121,46311.184229390674,-965.9342023556084,2589.6480042808016,3.7920000000000003
municipal_2007_2011,municipal,2011,2007,8,trimestre,2009-08-01,2009-10-01,3,True,,,,0.08849077613356955,125.75609207212312,39.916546000000004,1.1600667238235474,2.3882824890381515,45258.878145917515,-499.41491649938604,2564.0286406293144,3.837666666666667
municipal_2007_2011,municipal,2011,2007,9,trimestre,2009-11-01,2010-01-01,3,True,,,,0.08348118753135166,124.96147803836043,42.09118900000001,1.1436362663904827,2.824601366742585,47545.63799586488,-261.70322242252524,2630.0998532824237,3.8153333333333332
municipal_2007_2011,municipal,2011,2007,10,trimestre,2010-02-01,2010-04-01,3,True,,,,0.08166666666666667,134.16414506850626,42.799141999999996,1.3139472405115764,3.252104563579983,47730.805043522785,1028.1243101843675,2785.548625042931,3.875
municipal_2007_2011,municipal,2011,2007,11,trimestre,2010-05-01,2010-07-01,3,True,,,,0.07766666666666666,149.15929005574017,48.112016000000004,1.636325756708781,2.3000343288705816,49382.71831998723,3382.281797248239,2881.585988184162,3.9333333333333336
municipal_2007_2011,municipal,2011,2007,12,trimestre,2010-08-01,2010-10-01,3,True,,,,0.07433333333333332,136.36041730523388,49.75397266666667,1.7527368068695068,2.323825503355703,50912.218592640886,-2384.4658273307286,3053.3184398902395,3.955666666666667
municipal_2007_2011,municipal,2011,2007,13,trimestre,2010-11-01,2011-01-01,3,True,,,,0.07333333333333332,137.05113083833032,54.755413,2.2945168018341064,2.3120439452324337,52244.439412693144,-6975.764427699815,3139.1755324348596,3.9906666666666664
municipal_2007_2011,municipal,2011,2007,14,trimestre,2011-02-01,2011-04-01,3,True,,,,0.07366666666666666,142.51584965908788,55.25189833333334,2.257762591044108,2.436092635627851,52117.14416282642,1179.3825183634224,3325.6212240374675,4.054666666666667
municipal_2007_2011,municipal,2011,2007,15,trimestre,2011-05-01,2011-07-01,3,True,,,,0.07266666666666666,156.41669629124704,56.445114,2.3455597559611,2.260815145114603,51977.76666666666,-594.0550915673153,3546.8559867998338,4.114999999999999
