id_variable,descripcion,fuente,url_fuente,periodicidad_nativa,cobertura_desde,cobertura_hasta,nivel_geografico,polaridad,es_flujo,nominal,bloque_tematico,estado,paquete_atributos,nota_metodologica
icg,Índice de Confianza en el Gobierno,UTDT (Poliarquía Consultores),https://www.utdt.edu/icg,mensual,2001-11,presente,nacional,positiva,false,false,percepcion,nucleo,completo,"Serie país (no La Plata) vía socioeconomia.icg_construir_series.construir_serie_headline sobre el mismo microdato ya cargado en el repo -- verificado que cubre 2001-2026 completo, ver docs/adquisicion_datos_especializacion.md."
desocupacion,Tasa de desocupación EPH continua total país,INDEC-EPH vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=42.3_EPH_PUNTUATAL_0_M_30,trimestral,2003-01,presente,nacional,negativa,false,false,real,nucleo,completo,"Unidad: fracción 0-1, no pre-multiplicada por 100 (igual que en macroeconomia/catalogo_series.csv). Hueco real 2015T4-2016T1 documentado en esa misma fuente -- no se imputa."
salario_real,RIPTE deflactado por IPC empalmado,Min. Trabajo (RIPTE) + INDEC (IPC) vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=158.1_REPTE_0_0_5,mensual,1994-07,presente,nacional,positiva,false,true,real,nucleo,completo,"Se carga RIPTE nominal (cobertura real 1994-2025); la deflactación (nominal=true) la aplica cargar_series_economicas.py dividiendo por 'ipc' -- el resultado solo existe donde 'ipc' tiene dato real, así que hereda el hueco de 'ipc' (2014-01 a 2016-03) como celdas vacías, no imputadas. Índice, no pesos constantes de un año calendario: cambia de base de precios en el mismo punto que 'ipc' (abril 2008=100 hasta 2013, diciembre 2016=100 desde 2016) -- comparable dentro de cada tramo, no linealmente entre tramos sin renormalizar."
tc_oficial,Tipo de cambio de referencia $/USD,BCRA vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=175.1_DR_ESTANSE_0_0_20,diaria,1992-01,presente,nacional,negativa,false,false,nominal_cambiario,nucleo,completo,"Mismo id_datos_gob que macroeconomia/catalogo_series.csv (tipo_cambio_oficial) -- reusa la serie ya cacheada en ese pipeline, no se refetchea con un cliente nuevo."
reservas,Reservas internacionales BCRA,BCRA vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=92.1_RID_0_0_32,diaria,2003-01,presente,nacional,positiva,false,false,nominal_cambiario,nucleo,completo,"En millones de USD, ya en moneda extranjera -- no aplica deflactación por IPC en pesos. Mismo id_datos_gob que macroeconomia/catalogo_series.csv (reservas_internacionales)."
ipc,Índice de precios al consumidor empalmado (bases 1943-2008-2016),INDEC vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=178.1_NL_GENERAL_0_0_13,mensual,2001-01,presente,nacional,negativa,true,false,nominal_cambiario,nucleo,completo,"Encadena 3 series oficiales por vintage metodológico: empalme histórico base abr-2008=100 (178.1_NL_GENERAL_0_0_13, hasta 2008-04), base abr-2008=100 (97.2_ING_2008_M_17, 2008-04 a 2013-12) y base dic-2016=100 (148.3_INIVELNAL_DICI_M_26, ya en macroeconomia/catalogo_series.csv, desde 2016-12). Hueco real 2014-01 a 2016-11: sin serie nacional mensual oficial publicada en ese tramo de transición metodológica (no es una falla de búsqueda, ver docs/adquisicion_datos_especializacion.md §1.b) -- coincide con el final del período con reservas por intervención INDEC. Período 2007-2015 usa series oficiales con reservas conocidas por intervención INDEC (D6): se incluye, no se excluye a priori."
icc,Índice de Confianza del Consumidor,UTDT (CIF / Poliarquía Consultores) vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=380.3_ICC_NACIONNAL_0_T_12,mensual,2001-03,presente,nacional,positiva,false,false,percepcion,nucleo,completo,"Serie nacional en datos.gob.ar (catálogo 'Índice de Confianza del Consumidor', UTDT/CIF) -- no requirió scrapear utdt.edu ni colocar un archivo manual, a diferencia de lo previsto originalmente."
resultado_fiscal,Resultado primario del Sector Público Nacional no financiero,Secretaría de Hacienda vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=379.4_RESULTADO_006__36_27,trimestral,2001-01,presente,nacional,ambigua,false,true,fiscal,nucleo,completo,"Encadena 3 series por vintage metodológico: 1993-2006 (379.4_RESULTADO_006__36_27, trimestral), 2007-2014 (379.5_RESULTADO_014__36_68, trimestral) y 2015-presente (379.9_RESULTADO_017__31_73, mensual real) -- periodicidad_nativa se declara 'trimestral' (la más restrictiva de los 3 tramos); la homogeneización mensual usa el valor exacto del mes cuando existe (tramo 2015+) y repite el valor trimestral dentro de su propio trimestre en los tramos 2001-2014, nunca hacia trimestres sin dato propio. En millones de pesos corrientes -- nominal=true, deflactado por 'ipc' igual que salario_real, mismo hueco heredado 2014-2016. es_flujo=false a propósito, aunque conceptualmente sea un flujo (monto por período): el feature `_acum` de features_ventana.py se define como variación % (fin/inicio), sentido para un índice de precios (inflación acumulada) pero no para un resultado fiscal con signo, que puede cruzar cero -- `_nivel`/`_final` ya capturan su magnitud promedio/reciente sin ese problema."
emae,Estimador Mensual de Actividad Económica,INDEC vía datos.gob.ar,https://apis.datos.gob.ar/series/api/series/?ids=143.3_NO_PR_2004_A_21,mensual,2004-01,presente,nacional,positiva,false,false,real,complementaria,completo,Mismo id_datos_gob que macroeconomia/catalogo_series.csv. No cubre 2001-2003 (la serie INDEC arranca en 2004) -- ver PBI trimestral como alternativa no incorporada en esta ronda.
tasa_informalidad,Tasa de informalidad laboral (asalariados sin descuento jubilatorio),INDEC-EPH (microdatos trimestrales; aglomerado Gran La Plata) vía src/socioeconomia/eph_client.py,https://www.indec.gob.ar/ftp/cuadros/menusuperior/eph/,trimestral,2003-07,presente,aglomerado,negativa,false,false,social,complementaria,completo,"Aglomerado Gran La Plata (INDEC, código 2: incluye los partidos de La Plata, Berisso y Ensenada), no el Partido de La Plata exclusivamente -- mismo desajuste ya vigente para 'desocupacion' (ahí nacional, acá aglomerado). Calculada solo sobre asalariados con PP07H válido (CAT_OCUP=3): patrón/cuentapropia queda excluido del denominador, no solo del numerador -- no es informalidad sobre el total de ocupados (ver data/socioeconomia/SISTEMATIZACION_VARIABLES.md §5 y src/socioeconomia/eph_client.py). Unidad: fracción 0-1, no pre-multiplicada por 100 (igual que 'desocupacion'). Huecos reales sin dato propio en 2007T3, 2015T3, 2015T4 y 2016T1 (INDEC no publicó esos trimestres) -- no se imputan, quedan como celda vacía (mismo criterio ya vigente para el resto del registro, ver Corrección a D6). Paquete de atributos de ventana: completo (D26) -- es la única de las 6 EPH con comportamiento cíclico esperable, comparable a desocupacion."
