anio,nivel,id_agrupacion,agrupacion,votos,porcentaje
2001,provincial,0002,PARTIDO JUSTICIALISTA,72992,31.842254504209745
2001,provincial,0020,UNION DEL CENTRO DEMOCRATICO,11179,4.876761331413864
2001,provincial,0133,FRENTE COMPROMISO SOCIAL,2111,0.9209091305675522
2001,provincial,0017,PARTIDO PROGRESO SOCIAL,1231,0.537015224883305
2001,provincial,1034,ALIANZA FRENTE PLATENSE,30707,13.395716093007023
2001,provincial,,PARTIDO SOCIALISTA DEMOCRATICO (ARI),27538,12.013261789469091
2001,provincial,0138,FRENTE POLO SOCIAL,18705,8.159926711163461
2001,provincial,0092,FRENTE GRANDE,13133,5.729180299262749
2001,provincial,0135,IZQUIERDA UNIDA,9880,4.310081577454958
2001,provincial,0046,PARTIDO HUMANISTA,7752,3.3817563146185052
2001,provincial,0099,PARTIDO UNIDAD FEDERALISTA,6750,2.944640753828033
2001,provincial,1019,FRENTE VECINALISTA PROVINCIAL,5308,2.315578240195437
2001,provincial,0100,PARTIDO DEL OBRERO,5112,2.2300745975657636
2001,provincial,0044,ACCION POR LA REPUBLICA,4806,2.0965842167255593
2001,provincial,0058,MOVIMIENTO POPULAR BONAERENSE,3448,1.5041661213628235
2001,provincial,0045,PARTIDO DE LOS TRABAJADORES SOCIALISTAS,3171,1.3833267896872137
2001,provincial,0065,PARTIDO LABORISTA,1487,0.6486934519914497
2001,provincial,0105,PARTIDO POPULAR DE LA RECONSTRUCCION,1372,0.5985254984077127
2001,provincial,0106,MOVIMIENTO POPULAR PARA LA RECONQUISTA,1318,0.5749683723770885
2001,provincial,0131,FRENTE RENOVADOR POPULAR,1230,0.5365789818086638
2001,municipal,0002,PARTIDO JUSTICIALISTA,73601,31.925340828746297
2001,municipal,0017,PARTIDO PROGRESO SOCIAL,1329,0.576470128957539
2001,municipal,0020,UNION DEL CENTRO DEMOCRATICO,11201,4.858571794171103
2001,municipal,0044,ACCION POR LA REPUBLICA,4742,2.056900941698006
2001,municipal,0045,PARTIDO DE LOS TRABAJADORES SOCIALISTAS,3206,1.390642011616155
2001,municipal,0046,PARTIDO HUMANISTA,7799,3.382912366997627
2001,municipal,0058,MOVIMIENTO POPULAR BONAERENSE (MO.PO.BO.),3505,1.5203369465734946
2001,municipal,0065,PARTIDO LABORISTA DE LA PCIA.DE BS.AS.,1544,0.6697290286760272
2001,municipal,0092,FRENTE GRANDE,13013,5.644549125752035
2001,municipal,0099,PARTIDO UNIDAD FEDERALISTA (PAUFE),6815,2.9560902399139417
2001,municipal,0100,PARTIDO DEL OBRERO,5196,2.2538290369175114
2001,municipal,0105,PARTIDO POP.DE LA RECONSTRUCCION (P.P.R.),1438,0.6237502223031912
2001,municipal,0106,MOVIMIENTO POPULAR PARA LA RECONQUISTA,1380,0.598592007495413
2001,municipal,0131,FRENTE RENOVADOR POPULAR EN BS.AS.-FREPEBA-,1234,0.5352627081516953
2001,municipal,0133,FRENTE COMPROMISO SOCIAL,2174,0.9429992929674114
2001,municipal,0134,PARTIDO SOCIALISTA,27174,11.78705739976837
2001,municipal,0135,IZQUIERDA UNIDA -I.U.-,9921,4.303356019102893
2001,municipal,0138,FRENTE POLO SOCIAL,18660,8.094004970916236
2001,municipal,1019,FRENTE VECINALISTA PROVINCIAL,5534,2.4004407025214602
2001,municipal,1034,ALIANZA FRENTE PLATENSE,31075,13.479164226753593
2003,provincial,0001,MOVIMIENTO DE INTEG. Y DESARROLLO - MID,1348,0.5372658429653249
2003,provincial,0002,PARTIDO JUSTICIALISTA,98136,39.113591072140295
2003,provincial,0003,UNION CIVICA RADICAL,17353,6.916301315265046
2003,provincial,0005,PARTIDO DEMOCRATA CRISTIANO,1627,0.6484655241131925
2003,provincial,0033,P. NACIONALISTA CONSTITUCIONAL,0,0.0
2003,provincial,0045,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL,1681,0.6699880430450379
2003,provincial,0051,P. POPULAR DE LA RECONSTRUCCION - PPR,661,0.26345157433240335
2003,provincial,0052,P. UNION Y LIBERTAD - PUL,0,0.0
2003,provincial,0100,PARTIDO DEL OBRERO,2902,1.1566361100039857
2003,provincial,0104,PARTIDO DEL SOCIALISTA AUTENTICO,1625,0.6476683937823834
2003,provincial,0170,PARTIDO DEMOCRATA CONSERVADOR,0,0.0
2003,provincial,0206,MOVIMIENTO POPULAR PARA LA RECONQUISTA,0,0.0
2003,provincial,0207,P. HUMANISTA ECOLOGISTA,4353,1.7349541650059783
2003,provincial,0210,MOV. POR LA JUSTICIA SOCIAL - MOJUSO,24,0.009565563969709047
2003,provincial,0213,PARTIDO ENCUENTRO POPULAR,0,0.0
2003,provincial,0222,VOLUNT. P. LA INTEG. Y EL DES. AUT. - VIDA,0,0.0
2003,provincial,0226,MOV. VECINALISTA PROVINCIAL - MOVEPRO,68,0.027102431247508968
2003,provincial,0503,AZA. MOV. FED. P. RECREAR EL CRECIMIENTO,13203,5.262255878836189
2003,provincial,0505,AZA. FTE. POPULAR BONAERENSE - FREPOBO,23212,9.251494619370266
2003,provincial,0506,AZA. FTE. CAMBIA BUENOS AIRES,1197,0.47708250298923877
2003,provincial,0507,AZA. IZQUIERDA UNIDA - P. SOCIALISTA,17408,6.938222399362296
2003,provincial,0508,AZA. AFIRM. P/ UNA REP. IGUALIT. - ARI,35384,14.102829812674372
2003,provincial,0514,AGRUPACION COMUNAL ALTERNATIVA,0,0.0
2003,provincial,1100,AZA. AC. FEDERALISTA P/ BS. AS. - AFEBA,29889,11.912714228776405
2003,provincial,1121,FRENTE UNION Y LIBERTAD,0,0.0
2003,provincial,1124,FRENTE RENOVADOR PLATENSE,0,0.0
2003,provincial,1128,FRENTE AMPLIO POR LA CIUDAD,0,0.0
2003,provincial,1142,AFEBA - PLATENSE,0,0.0
2003,provincial,1188,FTE. POLO SOCIAL PARA LA VICTORIA,829,0.3304105221203667
2003,provincial,1508,RENACER PLATENSE,0,0.0
2003,municipal,0001,MOVIMIENTO DE INTEGRACION Y DESARROLLO,1336,0.4820181261906136
2003,municipal,0002,PARTIDO JUSTICIALISTA,89378,32.246868325347805
2003,municipal,0003,UNION CIVICA RADICAL,22413,8.086431334064539
2003,municipal,0005,PARTIDO DEMOCRATA CRISTIANO,1536,0.554176528314957
2003,municipal,0045,PARTIDO DE LOS TRABAJADORES SOCIALISTAS,1676,0.6046874098019973
2003,municipal,0051,PARTIDO POPULAR DE LA RECONSTRUCCION,665,0.23992668706344167
2003,municipal,0100,PARTIDO DEL OBRERO,2871,1.035833862494949
2003,municipal,0207,PARTIDO HUMANISTA ECOLOGISTA,4142,1.4944005079951508
2003,municipal,0210,MOVIMIENTO PARA LA JUSTICIA SOCIAL,18,0.006494256191190903
2003,municipal,0213,PARTIDO ENCUENTRO POPULAR,960,0.3463603301968481
2003,municipal,0503,AZA.MOVIMIENTO FEDERAL PARA RECREAR EL CRECIMIENTO,9801,3.5361224961034465
2003,municipal,0505,FRENTE POPULAR BONAERENSE,16180,5.837614731859378
2003,municipal,0506,FRENTE CAMBIA BUENOS AIRES,893,0.3221872654851931
2003,municipal,0507,AZA. IZQUIERDA UNIDA-PARTIDO SOCIALISTA,21221,7.656367257403451
2003,municipal,0508,AZA.AFIRMACION PARA UNA REPUBLICA IGUALITARIA,26399,9.524548288402702
2003,municipal,0514,LA PLATA AGRUPACION COMUNAL ALTERNATIVA,2120,0.7648790625180396
2003,municipal,1121,FRENTE UNION Y LIBERTAD,1035,0.37341973099347686
2003,municipal,1124,FRENTE RENOVADOR PLATENSE,59408,21.43393176701495
2003,municipal,1128,FRENTE AMPLIO POR LA CIUDAD,2676,0.965479420423714
2003,municipal,1142,"AFEBA-PLATENSE (SECCION CAPITAL, DISTRITO LA PLATA)",11298,4.076228136004156
2003,municipal,1508,RENACER PLATENSE,1142,0.4120244761300006
2005,provincial,0001,MOVIMIENTO DE INTEGRACION Y DESARROLLO,1272,0.4297718357541786
2005,provincial,0003,UNION CIVICA RADICAL,22955,7.755827429038656
2005,provincial,0009,PARTIDO RENOVADOR DE LA PROV. DE BS AS,547,0.18481540421189913
2005,provincial,0014,PARTIDO OBRERO,4481,1.5139996824013164
2005,provincial,0022,PARTIDO HUMANISTA,4634,1.5656939362302387
2005,provincial,0030,PARTIDO SOCIALISTA AUTENTICO,935,0.31590932895452595
2005,provincial,0033,PARTIDO NACIONALISTA CONSTITUCIONAL (UNIR),1653,0.5585006639163972
2005,provincial,0038,MOV.SOCIALISTA DE LOS TRABAJADORES,5747,1.9417442925151451
2005,provincial,0047,AFIRMACION PARA UNA REPUBLICA IGUALITARIA,37005,12.502914136858005
2005,provincial,0210,MOVIMIENTO POR LA JUSTICIA SOCIAL,564,0.19055921019289052
2005,provincial,0221,PARTIDO NUEVO BUENOS AIRES,0,0.0
2005,provincial,0226,MOVIMIENTO VECINALISTA PROVINCIAL,1105,0.37334738876443974
2005,provincial,0229,PARTIDO PROYECTO POPULAR,3030,1.023748948376699
2005,provincial,0501,FRENTE PARA LA VICTORIA,85334,28.831878798936383
2005,provincial,0503,PROPUESTA REPUBLICANA,19428,6.564156623452974
2005,provincial,0504,FRENTE MAS - PTS,2501,0.8450152210858496
2005,provincial,0505,FRENTE JUSTICIALISTA,41936,14.168955742285561
2005,provincial,0506,ENCUENTRO AMPLIO,6610,2.2333269137854725
2005,provincial,0507,CONFEDERACION VECINAL,4728,1.5974538045957207
2005,provincial,0509,FRENTE POPULAR,122,0.04122025468711461
2005,provincial,0510,FRENTE UNION POPULAR,886,0.29935365289166843
2005,provincial,0557,NUEVA CAPITAL,0,0.0
2005,provincial,1203,FRENTE RENOVADOR PLATENSE,0,0.0
2005,provincial,1214,FTE. BONAERENSE AUTONOMISTA AUTENTICO,49543,16.739139983309176
2005,provincial,1230,FED.DEMOCRATA CRIST. DE RENOVACION FEDERAL,955,0.32266674775569226
2005,municipal,0501,FRENTE PARA LA VICTORIA,83776,28.38459609820225
2005,municipal,1203,FRENTE RENOVADOR PLATENSE,46461,15.741700717610946
2005,municipal,0505,FRENTE JUSTICIALISTA,41369,14.01645287417075
2005,municipal,0047,AFIRMACION PARA UNA REPUBLICA IGUALITARIA,35773,12.120442086289497
2005,municipal,0003,UNION CIVICA RADICAL,23160,7.846963875505682
2005,municipal,0503,PROPUESTA REPUBLICANA,19388,6.5689523151253955
2005,municipal,0506,ENCUENTRO AMPLIO,8470,2.8697661496344185
2005,municipal,0038,MOV.SOCIALISTA DE LOS TRABAJADORES,5623,1.905158802762023
2005,municipal,0507,CONFEDERACION VECINAL,4701,1.5927710353519955
2005,municipal,0022,PARTIDO HUMANISTA,4659,1.578540789981907
2005,municipal,0014,PARTIDO OBRERO,4649,1.5751526363223627
2005,municipal,0229,PARTIDO PROYECTO POPULAR,3310,1.121478861309318
2005,municipal,0504,FRENTE MAS - PTS,2522,0.8544923529371904
2005,municipal,0557,NUEVA CAPITAL,2061,0.6982984692321766
2005,municipal,0033,PARTIDO NACIONALISTA CONSTITUCIONAL (UNIR),1945,0.6589958867814573
2005,municipal,0001,MOVIMIENTO DE INTEGRACION Y DESARROLLO,1267,0.4292790686643221
2005,municipal,0226,MOVIMIENTO VECINALISTA PROVINCIAL,1159,0.39268700914123855
2005,municipal,0510,FRENTE UNION POPULAR,1126,0.38150610206474084
2005,municipal,1230,FED.DEMOCRATA CRIST. DE RENOVACION FEDERAL,1070,0.3625324415712901
2005,municipal,0030,PARTIDO SOCIALISTA AUTENTICO,936,0.31713118253339023
2005,municipal,0210,MOVIMIENTO POR LA JUSTICIA SOCIAL,556,0.18838134347068908
2005,municipal,0009,PARTIDO RENOVADOR DE LA PROV. DE BS AS,529,0.1792333285899182
2005,municipal,0221,PARTIDO NUEVO BUENOS AIRES,496,0.16805242151342048
2005,municipal,0509,FRENTE POPULAR,140,0.047434151233626744
2007,provincial,0002,PARTIDO JUSTICIALISTA,0,0.0
2007,provincial,0003,UNION CIVICA RADICAL,14159,4.447103681997067
2007,provincial,0014,PARTIDO OBRERO,2119,0.6655422488983532
2007,provincial,0017,PARTIDO PROGRESO SOCIAL,0,0.0
2007,provincial,0020,UNION DE CENTRO DEMOCRATICO,6177,1.9400917751038829
2007,provincial,0023,UNION POPULAR,964,0.3027761811883023
2007,provincial,0030,PARTIDO SOCIALISTA AUTENTICO,10362,3.254529864598743
2007,provincial,0038,MOV. SOCIALISTA DE LOS TRABAJADORES,3506,1.101175613325921
2007,provincial,0041,FRENTE GRANDE,0,0.0
2007,provincial,0048,RECREAR PARA EL CRECIMIENTO,2744,0.8618442335899392
2007,provincial,0050,PARTIDO SOCIALISTA,0,0.0
2007,provincial,0060,MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y DESOCUPADOS,1146,0.35993931913049215
2007,provincial,0134,FRENTE PARA LA VICTORIA,131171,41.19860421436805
2007,provincial,0135,FRENTE PTS - MAS - IZQUIERDA SOCIALISTA,2107,0.6617732507922749
2007,provincial,0199,PARTIDO UNIDAD FEDERALISTA (PA.U.FE.),5394,1.694164648682264
2007,provincial,0203,PARTIDO DE LOS COMUNISTAS DE LA PCIA,826,0.2594327029684001
2007,provincial,0240,CONVOCATORIA DE INTEGRACION CIUDADANA,0,0.0
2007,provincial,0502,SOCIEDAD JUSTA,10971,3.4458065184822244
2007,provincial,0505,UNION PRO,52357,16.444452819995792
2007,provincial,0507,FRENTE COALICION CIVICA,71106,22.333198277567863
2007,provincial,0580,FUERZA PLATENSE,0,0.0
2007,provincial,1303,VAMOS,3278,1.0295646493104305
2007,municipal,0017,PARTIDO PROGRESO SOCIAL,82711,25.75358929889184
2007,municipal,0002,PARTIDO JUSTICIALISTA,67484,21.012383120097894
2007,municipal,0507,FRENTE COALICION CIVICA,50039,15.580561895361544
2007,municipal,0041,FRENTE GRANDE,32993,10.27297665048589
2007,municipal,0505,UNION PRO,25243,7.859871778504996
2007,municipal,0003,UNION CIVICA RADICAL,13852,4.313074669248949
2007,municipal,0502,SOCIEDAD JUSTA,9939,3.09469023517653
2007,municipal,0030,PARTIDO SOCIALISTA AUTENTICO,8944,2.7848787064512415
2007,municipal,0050,PARTIDO SOCIALISTA,5658,1.7617222407313422
2007,municipal,0020,UNION DE CENTRO DEMOCRATICO,5046,1.5711647979374959
2007,municipal,0038,MOV. SOCIALISTA DE LOS TRABAJADORES,3331,1.0371680423959173
2007,municipal,0048,RECREAR PARA EL CRECIMIENTO,3229,1.005408468596943
2007,municipal,0199,PARTIDO UNIDAD FEDERALISTA (PA.U.FE.),2665,0.8297967075908494
2007,municipal,0014,PARTIDO OBRERO,2206,0.686878625495465
2007,municipal,0135,FRENTE PTS - MAS - IZQUIERDA SOCIALISTA,2027,0.6311436871619707
2007,municipal,1303,VAMOS,1917,0.596893166398371
2007,municipal,0060,MOVIMIENTO INDEPENDIENTE DE JUBILADOS Y,1137,0.35402583734739057
2007,municipal,0023,UNION POPULAR,961,0.2992250041256309
2007,municipal,0203,PARTIDO DE LOS COMUNISTAS DE LA PCIA,842,0.26217216802682747
2007,municipal,0580,FUERZA PLATENSE,639,0.198964388799457
2007,municipal,0240,CONVOCATORIA DE INTEGRACION CIUDADANA,300,0.09341051117345398
2009,provincial,0503,UNION PRO,89572,27.36092274232372
2009,provincial,0510,ACUERDO CIVICO Y SOCIAL,85199,26.025133487286634
2009,provincial,0506,FRENTE JUSTICIALISTA PARA LA VICTORIA,69510,21.23272607309116
2009,provincial,1402,FRENTE RENOVADOR PLATENSE,43434,13.267475532421832
2009,provincial,0508,NUEVO ENCUENTRO,15567,4.755140940581358
